"Citation"	"PMID"	"Year Published"	"Data Used"	"Process"	"Equation"	"Notes"
	7918446	1994	6	"translation"	"Protein"	
	9748544	1998	4	"translation"	"Protein"	
	2009959	1991	4	"translation"	"Protein"	
	9171418	1997	4	"translation"	"Protein"	
	12662918	2003	6	"translation"	"Protein"	
	368055	1979	4	"translation"	"Protein"	
	6989402	1980	4	"translation"	"Protein"	
	4594761	1974	4	"translation"	"Protein"	
	15751955	2005	6	"translation"	"Protein"	
	8672449	1996	4	"translation"	"Protein"	
	12739900	2003	6	"translation"	"Protein"	
	15362869	2004	4	"translation"	"Protein"	
	9607323	1998	2	"translation"	"Protein"	
	21175197	2011	6	"translation"	"Protein"	
	16866361	2006	4	"translation"	"Protein"	
	11408489	2001	2	"translation"	"Protein"	
	8065908	1994	6	"translation"	"Protein"	
	14690420	2003	4	"translation"	"Protein"	
	8555191	1996	5	"translation"	"Protein"	
	12097643	2002	2	"translation"	"Protein"	
	12475234	2002	6	"translation"	"Protein"	
"https://doi.org/10.1006/jmbi.1996.0428"		1996	220	"transcription"	"RNA"	"trna distribution"
"GSE11183"		2009	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE1121"		2004	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE12006"		2008	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE15050"		2009	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE17519"		2009	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE17584"		2009	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE21857"		2012	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE24524"		2012	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE25318"		2011	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE26591"		2012	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE29076"		2005	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE31029"		2011	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE33147"		2011	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE34023"		2012	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE34275"		2011	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE40313"		2012	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE4724"		2006	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE50529"		2014	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE54901"		2014	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE55365"		2014	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE55662"		2014	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE65712"		2015	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE66482"		2015	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE6836"		2007	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE6992"		2007	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE72525"		2015	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE7398"		2007	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"GSE9755"		2007	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"PMC219383"		2003	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"PMC400601"		2004	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"PMC4299492"		2014	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"PMC545700 "		2005	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
	17803904	2007	4353	"transcription regulation"	"RNA"	"fold changes (counting number of mRNAs in model)"
"PMC2797255"		2009	1	"rna degradation"	"RNA"	"rnase kcat"
"PMC438955"		2004	2	"rna degradation"	"RNA"	"rnase kcat"
"PMID: 7535857"		1995	1	"rna degradation"	"RNA"	"rnase kcat"
"PMID: 7544280"		1995	1	"rna degradation"	"RNA"	"rnase kcat"
"PMC2223728"		2008	1	"rna degradation"	"RNA"	"rnase kcat"
"PMC1935014"		2007	1	"rna degradation"	"RNA"	"rnase kcat"
"PMC140075"		2002	9	"rna degradation"	"RNA"	"endornase targets (approx)"
"PMC1360286"		2006	8	"rna degradation"	"RNA"	"exornase targets (approx)"
"https://www.researchgate.net/publication/237130769"		1996	2	"dna replication"	"RNA"	"dna chain elongation (average) and d period"
"https://www.ncbi.nlm.nih.gov/nuccore/U00096.3"		2013	1	"dna replication"	"RNA"	"genome"
"10.1093/nar/gkv1156"		2016	902	"transcription regulation"	"RNA"	"network topology"
"https://www.researchgate.net/publication/237130769"		1996	10	"transcription"	"RNA"	"active RNA pol and mRNA chain elongation (both in 5 conditions)"
"us"		2017	4353	"transcription"	"RNA"	"basal transcription of mRNA"
"doi: 10.1073/pnas.112318199"		2002	3835	"rna degradation"	"RNA"	"rna half lives"
"DOI: 10.1126/science.3018930"		1986	20	"protein degradation"	"Protein"	"n-end rule for each amino acid"
"https://www.researchgate.net/publication/237130769"		1996	6	"translation"	"Protein"	"ribosome activity and peptide chain elong (5 conditions)"
"10.1016/j.cell.2014.02.033"		2014	4032	"translation"	"Protein"	"translational efficiency"
"doi:10.1186/1752-0509-8-79"		2014	2638	"complexation"	"Protein"	"complexation stoich"
"doi:10.1186/1752-0509-8-79"		2014	10321	"metabolism"	"Metabolite"	"biomass concentrations (140 total - 91 from Rabinowitz) and reaction stoich (10272)"
"doi:10.1038/nchembio.186"		2009	91	"metabolism"	"Metabolite"	"metabolite concentrations"
	9387	1976	2	"metabolism"	"Metabolite"	"kinetics"
	346589	1978	1	"metabolism"	"Metabolite"	"kinetics"
	357906	1978	2	"metabolism"	"Metabolite"	"kinetics"
	374409	1979	1	"metabolism"	"Metabolite"	"kinetics"
	1092682	1975	2	"metabolism"	"Metabolite"	"kinetics"
	1099093	1975	1	"metabolism"	"Metabolite"	"kinetics"
	1329945	1992	2	"metabolism"	"Metabolite"	"kinetics"
	1544480	1992	4	"metabolism"	"Metabolite"	"kinetics"
	1644758	1992	2	"metabolism"	"Metabolite"	"kinetics"
	1906883	1991	1	"metabolism"	"Metabolite"	"kinetics"
	1924337	1991	1	"metabolism"	"Metabolite"	"kinetics"
	1993184	1991	2	"metabolism"	"Metabolite"	"kinetics"
	2007545	1991	1	"metabolism"	"Metabolite"	"kinetics"
	2111176	1990	4	"metabolism"	"Metabolite"	"kinetics"
	2126467	1991	1	"metabolism"	"Metabolite"	"kinetics"
	2139795	1990	2	"metabolism"	"Metabolite"	"kinetics"
	2144454	1990	1	"metabolism"	"Metabolite"	"kinetics"
	2187529	1990	1	"metabolism"	"Metabolite"	"kinetics"
	2494074	1989	1	"metabolism"	"Metabolite"	"kinetics"
	2514789	1990	1	"metabolism"	"Metabolite"	"kinetics"
	2531000	1990	4	"metabolism"	"Metabolite"	"kinetics"
	2549047	1989	2	"metabolism"	"Metabolite"	"kinetics"
	2557837	1990	1	"metabolism"	"Metabolite"	"kinetics"
	2651124	1989	2	"metabolism"	"Metabolite"	"kinetics"
	2659070	1989	3	"metabolism"	"Metabolite"	"kinetics"
	2689171	1990	1	"metabolism"	"Metabolite"	"kinetics"
	2826481	1988	2	"metabolism"	"Metabolite"	"kinetics"
	2986688	1985	1	"metabolism"	"Metabolite"	"kinetics"
	3003503	1986	3	"metabolism"	"Metabolite"	"kinetics"
	4150390	1974	2	"metabolism"	"Metabolite"	"kinetics"
	6142052	1984	4	"metabolism"	"Metabolite"	"kinetics"
	6300054	1983	6	"metabolism"	"Metabolite"	"kinetics"
	6378903	1984	1	"metabolism"	"Metabolite"	"kinetics"
	6395895	1985	4	"metabolism"	"Metabolite"	"kinetics"
	6792201	1981	2	"metabolism"	"Metabolite"	"kinetics"
	7696318	1995	1	"metabolism"	"Metabolite"	"kinetics"
	7727400	1995	1	"metabolism"	"Metabolite"	"kinetics"
	7751290	1995	2	"metabolism"	"Metabolite"	"kinetics"
	7775463	1995	3	"metabolism"	"Metabolite"	"kinetics"
	7860596	1995	1	"metabolism"	"Metabolite"	"kinetics"
	7873670	1995	2	"metabolism"	"Metabolite"	"kinetics"
	7907888	1994	1	"metabolism"	"Metabolite"	"kinetics"
	7918446	1994	3	"metabolism"	"Metabolite"	"kinetics"
	8065908	1994	5	"metabolism"	"Metabolite"	"kinetics"
	8083170	1994	3	"metabolism"	"Metabolite"	"kinetics"
	8203917	1994	2	"metabolism"	"Metabolite"	"kinetics"
	8218300	1993	3	"metabolism"	"Metabolite"	"kinetics"
	8394006	1993	1	"metabolism"	"Metabolite"	"kinetics"
	8422384	1993	3	"metabolism"	"Metabolite"	"kinetics"
	8550422	1996	1	"metabolism"	"Metabolite"	"kinetics"
	8555191	1996	4	"metabolism"	"Metabolite"	"kinetics"
