Generated by runscripts/reflect/model_inspection.py on Wed Jul 10 14:47:07 2019
Gene	RNA ID	Monomer ID	Process
sdhA	EG10931_RNA	SDH-FLAVO	Metabolism
sdhB	EG10932_RNA	SDH-FE-S	Metabolism
sdhC	EG10933_RNA	SDH-MEMB1	Metabolism
sdhD	EG10934_RNA	SDH-MEMB2	Metabolism
serA	EG10944_RNA	PGLYCDEHYDROG-MONOMER	Metabolism
serB	EG10945_RNA	PSERPHOSPHA-MONOMER	Metabolism
serC	EG10946_RNA	PSERTRANSAM-MONOMER	Metabolism
serS	EG10947_RNA	SERS-MONOMER	Metabolism
setA	EG11754_RNA	B0070-MONOMER	Metabolism
setB	EG12034_RNA	B2170-MONOMER	Metabolism
sgbE	EG12287_RNA	EG12287-MONOMER	Metabolism
sgbH	EG12285_RNA	EG12285-MONOMER	Metabolism
sgbU	EG12286_RNA	EG12286-MONOMER	Metabolism
slt	EG10950_RNA	EG10950-MONOMER	Metabolism
slyD	EG11663_RNA	EG11663-MONOMER	Metabolism
sodC	G6886_RNA	G6886-MONOMER	Metabolism
speB	EG10960_RNA	AGMATIN-MONOMER	Metabolism
speC	EG10961_RNA	ORNDECARBOX-BIO-MONOMER	Metabolism
speE	EG10963_RNA	SPERMIDINESYN-MONOMER	Metabolism
speF	EG10964_RNA	ORNDECARBOXDEG-MONOMER	Metabolism
speG	G6842_RNA	SPERMACTRAN-MONOMER	Metabolism
spoT	EG10966_RNA	SPOT-MONOMER	Metabolism
spr	G7147_RNA	G7147-MONOMER	Metabolism
sra	EG11508_RNA	EG11508-MONOMER	Translation
srlD	EG10971_RNA	SORB6PDEHYDROG-MONOMER	Metabolism
sstT	EG12732_RNA	YGJU-MONOMER	Metabolism
ssuA	G6478_RNA	G6478-MONOMER	Metabolism
ssuB	EG12358_RNA	YCBE-MONOMER	Metabolism
ssuC	G6476_RNA	YCBM-MONOMER	Metabolism
ssuD	G6477_RNA	MONOMER-162	Metabolism
ssuE	G6479_RNA	MONOMER0-146	Metabolism
sthA	EG11428_RNA	UDHA-MONOMER	Metabolism
sucA	EG10979_RNA	E1O-MONOMER	Metabolism
sucB	EG10980_RNA	E2O-MONOMER	Metabolism
sucC	EG10981_RNA	SUCCCOASYN-BETA	Metabolism
sucD	EG10982_RNA	SUCCCOASYN-ALPHA	Metabolism
sufS	G6906_RNA	G6906-MONOMER	Metabolism
surA	EG10985_RNA	EG10985-MONOMER	Metabolism
surE	EG11817_RNA	EG11817-MONOMER	Metabolism
tadA	EG11372_RNA	EG11372-MONOMER	Metabolism
talA	EG11797_RNA	TRANSALDOLA-MONOMER	Metabolism
talB	EG11556_RNA	TRANSALDOLB-MONOMER	Metabolism
tcdA	G7456_RNA	G7456-MONOMER	Metabolism
tdcB	EG10990_RNA	THREDEHYDCAT-MONOMER	Metabolism
tdcC	EG10991_RNA	TDCC-MONOMER	Metabolism
tdcD	EG11172_RNA	PROPKIN-MONOMER	Metabolism
tdcG	G7624_RNA	LSERINEDEAM3-MONOMER	Metabolism
tdh	EG10993_RNA	THREODEHYD-MONOMER	Metabolism
tdk	EG10994_RNA	TDK-MONOMER	Metabolism
tesA	EG11542_RNA	THIOESTERI-MONOMER	Metabolism
thiC	EG11585_RNA	THIC-MONOMER	Metabolism
thiD	G7135_RNA	HMP-P-KIN-MONOMER	Metabolism
thiE	EG11586_RNA	THIE-MONOMER	Metabolism
thiF	EG11587_RNA	THIF-MONOMER	Metabolism
thiG	EG11589_RNA	THIG-MONOMER	Metabolism
thiH	EG11590_RNA	THIH-MONOMER	Metabolism
thiI	G6238_RNA	THII-MONOMER	Metabolism
thiL	G6234_RNA	THI-P-KIN-MONOMER	Metabolism
thrA	EG10998_RNA	ASPKINIHOMOSERDEHYDROGI-MONOMER	Metabolism
thrB	EG10999_RNA	HOMOSERKIN-MONOMER	Metabolism
thrC	EG11000_RNA	THRESYN-MONOMER	Metabolism
thrS	EG11001_RNA	THRS-MONOMER	Metabolism
thyA	EG11002_RNA	THYMIDYLATESYN-MONOMER	Metabolism
tig	EG11003_RNA	EG11003-MONOMER	Metabolism
tilS	G6096_RNA	G6096-MONOMER	Metabolism
tktA	EG11427_RNA	TRANSKETOI-MONOMER	Metabolism
tktB	EG12100_RNA	TRANSKETOII-MONOMER	Metabolism
tmk	EG12302_RNA	DTMPKI-MONOMER	Metabolism
tnaA	EG11005_RNA	TRYPTOPHAN-MONOMER	Metabolism
tnaB	EG11006_RNA	TNAB-MONOMER	Metabolism
tolB	EG11008_RNA	EG11008-MONOMER	Metabolism
tolC	EG11009_RNA	EG11009-MONOMER	Metabolism
tpiA	EG11015_RNA	TPI-MONOMER	Metabolism
tppB	G6877_RNA	B1634-MONOMER	Metabolism
tqsA	G6859_RNA	G6859-MONOMER	Metabolism
treC	EG11402_RNA	TRE6PHYDRO-MONOMER	Metabolism
treF	EG12245_RNA	TREHALACYTO-MONOMER	Metabolism
trkG	EG11020_RNA	TRKG-MONOMER	Metabolism
trkH	EG11021_RNA	TRKH-MONOMER	Metabolism
trmD	EG11023_RNA	EG11023-MONOMER	Metabolism
trpA	EG11024_RNA	TRYPSYN-APROTEIN	Metabolism
trpB	EG11025_RNA	TRYPSYN-BPROTEIN	Metabolism
trpC	EG11026_RNA	PRAI-IGPS	Metabolism
trpD	EG11027_RNA	ANTHRANSYNCOMPII-MONOMER	Metabolism
trpE	EG11028_RNA	ANTHRANSYNCOMPI-MONOMER	Metabolism
trpR	EG11029_RNA	PD00423	Transcription Regulation
trpS	EG11030_RNA	TRPS-MONOMER	Metabolism
truB	EG11177_RNA	EG11177-MONOMER	Metabolism
truC	G7449_RNA	G7449-MONOMER	Metabolism
truD	G7422_RNA	G7422-MONOMER	Metabolism
trxB	EG11032_RNA	THIOREDOXIN-REDUCT-NADPH-MONOMER	Metabolism
tsx	EG11035_RNA	EG11035-MONOMER	Metabolism
ttdA	EG11168_RNA	TTDA-MONOMER	Metabolism
ttdB	EG11169_RNA	TTDB-MONOMER	Metabolism
tyrA	EG11039_RNA	CHORISMUTPREPHENDEHYDROG-MONOMER	Metabolism
tyrB	EG11040_RNA	TYRB-MONOMER	Metabolism
tyrP	EG11041_RNA	TYRP-MONOMER	Metabolism
tyrR	EG11042_RNA	PD00413	Transcription Regulation
tyrS	EG11043_RNA	TYRS-MONOMER	Metabolism
uacT	G7507_RNA	YGFU-MONOMER	Metabolism
ubiA	EG11370_RNA	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	Metabolism
ubiC	EG11369_RNA	CHORPYRLY-MONOMER	Metabolism
ubiD	EG11396_RNA	EG11396-MONOMER	Metabolism
ubiE	EG11473_RNA	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	Metabolism
ubiF	G6365_RNA	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON	Metabolism
ubiG	EG11143_RNA	DHHB-METHYLTRANSFER-MONOMER	Metabolism
ubiH	EG11324_RNA	OCTAPRENYL-METHOXYPHENOL-OH-MONOMER	Metabolism
udk	EG11701_RNA	UDK-MONOMER	Metabolism
udp	EG11045_RNA	URPHOS-MONOMER	Metabolism
ugd	G7091_RNA	UGD-MONOMER	Metabolism
ugpA	EG11046_RNA	UGPA-MONOMER	Metabolism
ugpB	EG11047_RNA	UGPB-MONOMER	Metabolism
ugpC	EG11048_RNA	UGPC-MONOMER	Metabolism
ugpE	EG11049_RNA	UGPE-MONOMER	Metabolism
ugpQ	EG11050_RNA	GLYCPDIESTER-CYTO-MONOMER	Metabolism
ulaD	G7858_RNA	G7858-MONOMER	Metabolism
ulaE	G7859_RNA	G7859-MONOMER	Metabolism
ulaF	G7860_RNA	G7860-MONOMER	Metabolism
upp	EG11332_RNA	URACIL-PRIBOSYLTRANS-MONOMER	Metabolism
uraA	EG12129_RNA	URAA-MONOMER	Metabolism
ushA	EG11060_RNA	USHA-MONOMER	Metabolism
uxaA	EG12734_RNA	ALTRODEHYDRAT-MONOMER	Metabolism
uxaB	EG11065_RNA	ALTRO-OXIDOREDUCT-MONOMER	Metabolism
uxaC	G81_RNA	UXAC-MONOMER	Metabolism
uxuA	EG11066_RNA	MANNONDEHYDRAT-MONOMER	Metabolism
uxuB	EG20248_RNA	MANNONOXIDOREDUCT-MONOMER	Metabolism
valS	EG11067_RNA	VALS-MONOMER	Metabolism
visC	EG11333_RNA	EG11333-MONOMER	Metabolism
waaA	EG10520_RNA	KDOTRANS-MONOMER	Metabolism
waaB	EG11351_RNA	EG11351-MONOMER	Metabolism
waaC	EG11189_RNA	EG11189-MONOMER	Metabolism
waaF	EG12210_RNA	EG12210-MONOMER	Metabolism
waaG	EG11339_RNA	EG11339-MONOMER	Metabolism
waaI	EG11352_RNA	EG11352-MONOMER	Metabolism
waaJ	EG11353_RNA	EG11353-MONOMER	Metabolism
waaP	EG11340_RNA	EG11340-MONOMER	Metabolism
waaQ	EG11341_RNA	EG11341-MONOMER	Metabolism
waaU	EG11423_RNA	EG11423-MONOMER	Metabolism
waaY	EG11425_RNA	EG11425-MONOMER	Metabolism
waaZ	EG11426_RNA	EG11426-MONOMER	Metabolism
wbbI	EG11983_RNA	EG11983-MONOMER	Metabolism
wcaJ	G7098_RNA	G7098-MONOMER	Metabolism
wrbA	EG11540_RNA	PD01343	Metabolism
wza	G7107_RNA	G7107-MONOMER	Metabolism
wzb	G7106_RNA	G7106-MONOMER	Metabolism
wzc	G7105_RNA	G7105-MONOMER	Metabolism
xanP	EG11194_RNA	YICE-MONOMER	Metabolism
xanQ	G7501_RNA	YGFO-MONOMER	Metabolism
xapA	G85_RNA	XANTHOSINEPHOSPHORY-MONOMER	Metabolism
xapB	EG13159_RNA	XAPB-MONOMER	Metabolism
xdhA	G7485_RNA	G7485-MONOMER	Metabolism
xdhB	G7486_RNA	G7486-MONOMER	Metabolism
xdhC	G7487_RNA	G7487-MONOMER	Metabolism
xylA	EG11074_RNA	XYLISOM-MONOMER	Metabolism
xylB	EG11075_RNA	XYLULOKIN-MONOMER	Metabolism
xylE	EG11076_RNA	XYLE-MONOMER	Metabolism
xylF	EG20252_RNA	XYLF-MONOMER	Metabolism
xylG	EG12275_RNA	XYLG-MONOMER	Metabolism
xylH	EG12276_RNA	XYLH-MONOMER	Metabolism
yaaH	EG11512_RNA	EG11512-MONOMER	Metabolism
yagE	G6140_RNA	G6140-MONOMER	Metabolism
yagF	G6141_RNA	G6141-MONOMER	Metabolism
yahK	G6190_RNA	G6190-MONOMER	Metabolism
ybaS	G6261_RNA	G6261-MONOMER	Metabolism
ybbO	G6269_RNA	G6269-MONOMER	Metabolism
ybcF	EG12384_RNA	EG12384-MONOMER	Metabolism
ybdL	G6329_RNA	G6329-MONOMER	Metabolism
ybgT	G0-10441_RNA	MONOMER0-2663	Metabolism
ybhA	EG11239_RNA	EG11239-MONOMER	Metabolism
ybiV	G6425_RNA	G6425-MONOMER	Metabolism
ybjE	G6458_RNA	G6458-MONOMER	Metabolism
ybjG	G6439_RNA	G6439-MONOMER	Metabolism
ybjI	G6442_RNA	G6442-MONOMER	Metabolism
ycaO	G6468_RNA	G6468-MONOMER	Metabolism
ycbL	G6475_RNA	G6475-MONOMER	Metabolism
ycjG	G6661_RNA	G6661-MONOMER	Metabolism
ycjU	G6655_RNA	G6655-MONOMER	Metabolism
ydbK	G6701_RNA	G6701-MONOMER	Metabolism
yddG	EG12713_RNA	EG12713-MONOMER	Metabolism
ydeA	EG11636_RNA	YDEA-MONOMER	Metabolism
ydfG	EG12345_RNA	EG12345-MONOMER	Metabolism
ydiB	EG11234_RNA	EG11234-MONOMER	Metabolism
ydiF	EG12432_RNA	EG12432-MONOMER	Metabolism
ydiO	G6918_RNA	G6918-MONOMER	Metabolism
ydjG	G6958_RNA	G6958-MONOMER	Metabolism
yeaE	G6967_RNA	G6967-MONOMER	Metabolism
yeaG	G6969_RNA	G6969-MONOMER	Metabolism
yecC	EG12347_RNA	EG12347-MONOMER	Metabolism
yecS	G7037_RNA	G7037-MONOMER	Metabolism
yegS	G7123_RNA	G7123-MONOMER	Metabolism
yeiG	EG12026_RNA	EG12026-MONOMER	Metabolism
yejA	EG12037_RNA	YEJA-MONOMER	Metabolism
yejB	EG12038_RNA	YEJB-MONOMER	Metabolism
yejE	EG12040_RNA	YEJE-MONOMER	Metabolism
yejF	EG12041_RNA	YEJF-MONOMER	Metabolism
yfaU	G7158_RNA	G7158-MONOMER	Metabolism
yfaW	G7160_RNA	G7160-MONOMER	Metabolism
yfbR	G7185_RNA	G7185-MONOMER	Metabolism
yfbT	G7187_RNA	G7187-MONOMER	Metabolism
yfdE	G7234_RNA	G7234-MONOMER	Metabolism
yfdR	G7230_RNA	G7230-MONOMER	Metabolism
yfeX	G7266_RNA	G7266-MONOMER	Metabolism
ygaH	G7406_RNA	G7406-MONOMER	Metabolism
ygaZ	G7405_RNA	G7405-MONOMER	Metabolism
ygfQ	G7503_RNA	G7504-MONOMER	Metabolism
yggF	EG11245_RNA	EG11245-MONOMER	Metabolism
yghA	EG11292_RNA	EG11292-MONOMER	Metabolism
yghZ	G7558_RNA	G7558-MONOMER	Metabolism
ygiF	EG11603_RNA	EG11603-MONOMER	Metabolism
yhbO	G7647_RNA	G7647-MONOMER	Metabolism
yhdE	EG11298_RNA	EG11298-MONOMER	Metabolism
yhdH	EG11315_RNA	EG11315-MONOMER	Metabolism
yiaK	EG12279_RNA	EG12279-MONOMER	Metabolism
yiaY	EG12293_RNA	EG12293-MONOMER	Metabolism
yibQ	EG12298_RNA	EG12298-MONOMER	Metabolism
yidA	EG11195_RNA	EG11195-MONOMER	Metabolism
yieF	EG11723_RNA	EG11723-MONOMER	Metabolism
yigB	EG11202_RNA	EG11202-MONOMER	Metabolism
yigL	EG11470_RNA	EG11470-MONOMER	Metabolism
yihS	EG11845_RNA	EG11845-MONOMER	Metabolism
yihU	EG11847_RNA	EG11847-MONOMER	Metabolism
yihV	EG11848_RNA	EG11848-MONOMER	Metabolism
yihX	EG11850_RNA	EG11850-MONOMER	Metabolism
yijE	EG11902_RNA	EG11902-MONOMER	Metabolism
yjbB	EG11919_RNA	EG11919-MONOMER	Metabolism
yjcD	EG11939_RNA	EG11939-MONOMER	Metabolism
yjdL	EG12469_RNA	YJDL-MONOMER	Metabolism
yjeF	EG11758_RNA	EG11758-MONOMER	Metabolism
yjeH	G7833_RNA	B4141-MONOMER	Metabolism
yjhG	G7910_RNA	G7910-MONOMER	Metabolism
yjhH	G7911_RNA	G7911-MONOMER	Metabolism
yjjG	EG12115_RNA	EG12115-MONOMER	Metabolism
yjjX	EG12600_RNA	EG12600-MONOMER	Metabolism
yliI	G6437_RNA	G6437-MONOMER	Metabolism
yneH	G6810_RNA	G6810-MONOMER	Metabolism
yqhD	G7564_RNA	G7564-MONOMER	Metabolism
yrfG	G7742_RNA	G7742-MONOMER	Metabolism
ytfG	G7868_RNA	G7868-MONOMER	Metabolism
zitB	G6393_RNA	B0752-MONOMER	Metabolism
zntA	EG12215_RNA	YHHO-MONOMER	Metabolism
znuA	G7017_RNA	ZNUA-MONOMER	Metabolism
znuB	EG12368_RNA	ZNUB-MONOMER	Metabolism
znuC	G7018_RNA	ZNUC-MONOMER	Metabolism
zupT	EG11167_RNA	EG11167-MONOMER	Metabolism
zwf	EG11221_RNA	GLU6PDEHYDROG-MONOMER	Metabolism
