# M9 media + 0.4pct. glucose + amino acids (5x Supplement EZ without VA Vitamin Solution).
# F. C. Neidhardt, P. L. Bloch, D. F. Smith, Journal of bacteriology 119, 736 (1974).
# https://ecocyc.org/ECOLI/NEW-IMAGE?type=Growth-Media&object=MIX0-76
"molecule id"	"concentration (units.mmol / units.L)"
"GLC"	22.203
"OXYGEN-MOLECULE"	Infinity
"AMMONIUM"	18.695
"NA+"	103.7
"PI"	69.454
"K+"	21.883
"SULFATE"	2
"FE+2"	Infinity
"CA+2"	Infinity
"CL-"	27.25
"CO+2"	Infinity
"MG+2"	2
"MN+2"	Infinity
"NI+2"	Infinity
"ZN+2"	Infinity
"WATER"	Infinity
"CARBON-DIOXIDE"	Infinity
"CPD0-1958"	Infinity
"L-SELENOCYSTEINE"	Infinity
"GLC-D-LACTONE"	Infinity
"CYTOSINE"	Infinity
"L-ALPHA-ALANINE"	0.8
"ARG"	5.2
"ASN"	0.4
"L-ASPARTATE"	0.4
"CYS"	0.1
"GLT"	0.6
"GLN"	0.6
"GLY"	0.8
"HIS"	0.2
"ILE"	0.4
"LEU"	0.8
"LYS"	0.4
"MET"	0.2
"PHE"	0.4
"PRO"	0.4
"SER"	10.0
"THR"	0.4
"TRP"	0.1
"TYR"	0.2
"VAL"	0.6
