"^DATABASE = Geo"																																				
"!Database_name = Gene Expression Omnibus (GEO)"																																				
"!Database_institute = NCBI NLM NIH"																																				
"!Database_web_link = http://www.ncbi.nlm.nih.gov/geo"																																				
"!Database_email = geo@ncbi.nlm.nih.gov"																																				
"!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6"																																				
"^DATASET = GDS1099"																																				
"!dataset_title = Carbon source quality effect on gene expression"																																				
"!dataset_description = Analysis of MG1655 cells grown aerobically in several media each with a different carbon source.  Carbon sources used in decreasing order of quality were glucose, glycerol, succinate, L-alanine, acetate, and L-proline. Results provide insight into the response of cells to carbon source quality."																																				
"!dataset_type = Expression profiling by array"																																				
"!dataset_pubmed_id = 15705577"																																				
"!dataset_platform = GPL199"																																				
"!dataset_platform_organism = Escherichia coli K-12"																																				
"!dataset_platform_technology_type = in situ oligonucleotide"																																				
"!dataset_feature_count = 7312"																																				
"!dataset_sample_organism = Escherichia coli"																																				
"!dataset_sample_type = RNA"																																				
"!dataset_channel_count = 1"																																				
"!dataset_sample_count = 15"																																				
"!dataset_value_type = count"																																				
"!dataset_reference_series = GSE2037"																																				
"!dataset_order = none"																																				
"!dataset_update_date = Oct 10 2012"																																				
"^SUBSET = GDS1099_1"																																				
"!subset_dataset_id = GDS1099"																																				
"!subset_description = glucose"																																				
"!subset_sample_id = GSM37063,GSM37064,GSM37065,GSM37066,GSM37067"																																				
"!subset_type = growth protocol"																																				
"^SUBSET = GDS1099_2"																																				
"!subset_dataset_id = GDS1099"																																				
"!subset_description = glycerol"																																				
"!subset_sample_id = GSM37068,GSM37069"																																				
"!subset_type = growth protocol"																																				
"^SUBSET = GDS1099_3"																																				
"!subset_dataset_id = GDS1099"																																				
"!subset_description = succinate"																																				
"!subset_sample_id = GSM37070,GSM37071"																																				
"!subset_type = growth protocol"																																				
"^SUBSET = GDS1099_4"																																				
"!subset_dataset_id = GDS1099"																																				
"!subset_description = alanine"																																				
"!subset_sample_id = GSM37072,GSM37073"																																				
"!subset_type = growth protocol"																																				
"^SUBSET = GDS1099_5"																																				
"!subset_dataset_id = GDS1099"																																				
"!subset_description = acetate"																																				
"!subset_sample_id = GSM37074,GSM37075"																																				
"!subset_type = growth protocol"																																				
"^SUBSET = GDS1099_6"																																				
"!subset_dataset_id = GDS1099"																																				
"!subset_description = proline"																																				
"!subset_sample_id = GSM37076,GSM37077"																																				
"!subset_type = growth protocol"																																				
"^Annotation"																																				
"!Annotation_date = Nov 30 2012"																																				
"!Annotation_platform = GPL199"																																				
"!Annotation_platform_title = [Ecoli_ASv2] Affymetrix E. coli Antisense Genome Array"																																				
"!Annotation_platform_organism = Escherichia coli K-12"																																				
"^DATASET = GDS1099"																																				
"#ID_REF = Platform reference identifier"																																				
"#IDENTIFIER = identifier"																																				
"#GSM37063 = Value for GSM37063: glucose1; src: E. coli cell"																																				
"#GSM37064 = Value for GSM37064: glucose2; src: E. coli cell"																																				
"#GSM37065 = Value for GSM37065: glucose3; src: E. coli cell"																																				
"#GSM37066 = Value for GSM37066: glucose4; src: E. coli cell"																																				
"#GSM37067 = Value for GSM37067: glucose5; src: E. coli cell"																																				
"#GSM37068 = Value for GSM37068: glycerol1; src: E. coli cell"																																				
"#GSM37069 = Value for GSM37069: glycerol2; src: E. coli cell"																																				
"#GSM37070 = Value for GSM37070: succinate1; src: E. coli cell"																																				
"#GSM37071 = Value for GSM37071: succinate2; src: E. coli cell"																																				
"#GSM37072 = Value for GSM37072: alanine1; src: E. coli cell"																																				
"#GSM37073 = Value for GSM37073: alanine2; src: E. coli cell"																																				
