"abbreviation"	"officialName"	"equation"	"reconstruction directionality"	"subSystem"	"proteinClass"	"geneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	" "	" "	"reconstruction directionality"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	
"12DGR120tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"	"12dgr120[p] --> 12dgr120[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr120[p] --> 12dgr120"	"12dgr120[p] --> 12dgr120"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"forward only"	1524	521	323	
"12DGR140tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"	"12dgr140[p] --> 12dgr140[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr140[p] --> 12dgr140"	"12dgr140[p] --> 12dgr140"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"reversible"	553	1465	1673	
"12DGR141tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	"12dgr141[p] --> 12dgr141[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr141[p] --> 12dgr141"	"12dgr141[p] --> 12dgr141"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"reverse only"	0	10	0	
"12DGR160tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"	"12dgr160[p] --> 12dgr160[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr160[p] --> 12dgr160"	"12dgr160[p] --> 12dgr160"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"12DGR161tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"	"12dgr161[p] --> 12dgr161[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr161[p] --> 12dgr161"	"12dgr161[p] --> 12dgr161"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"total"	2077	1996	1996	
"12DGR180tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"	"12dgr180[p] --> 12dgr180[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr180[p] --> 12dgr180"	"12dgr180[p] --> 12dgr180"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"reactions not calculated"	0	81	81	
"12DGR181tipp"	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"	"12dgr181[p] --> 12dgr181[c]"	"forward only"	"Transport, Inner Membrane"			"12dgr181[p] --> 12dgr181"	"12dgr181[p] --> 12dgr181"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"		"total"	2077	2077	2077	
"12PPDRtex"	"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	"12ppd-R[e] <==> 12ppd-R[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"12ppd-R[e] <==> 12ppd-R[p]"	"12ppd-R[e] <==> 12ppd-R[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"12PPDRtpp"	"(R)-Propane-1,2-diol facilitated transport (periplasm)"	"12ppd-R[p] <==> 12ppd-R[c]"	"reversible"	"Transport, Inner Membrane"			"12ppd-R[p] <==> 12ppd-R"	"12ppd-R[p] <==> 12ppd-R"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"12PPDStex"	"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	"12ppd-S[e] <==> 12ppd-S[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"12ppd-S[e] <==> 12ppd-S[p]"	"12ppd-S[e] <==> 12ppd-S[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"					"number"	
