CPLX0-1962	3-hydroxy acid dehydrogenase	(("EG12345-MONOMER", 4))
GALACTURIDYLYLTRANS-CPLX	galactose-1-phosphate uridylyltransferase	(("GALACTURIDYLYLTRANS-MONOMER", 2))
CPLX0-7727	16S rRNA m<sup>3</sup>U1498 methyltransferase	(("EG12366-MONOMER", 2))
CPLX0-7759	MetR DNA-binding transcriptional dual regulator	(("PD03938", 2))
CPLX0-7810	EfeB dimer	(("EG11735-MONOMER", 2))
CPLX0-3941	hydroxyphenylacetyl-CoA thioesterase	(("G6717-MONOMER", 4))
CPLX0-7801	predicted structural protein, ethanolamine utilization microcompartment	(("G7271-MONOMER", 3))
PC00086	RhaS transcriptional activator	(("PD00221", 2))
ABC-12-CPLX	glutamine ABC transporter	(("GLNH-MONOMER", 1) ("GLNP-MONOMER", 2) ("GLNQ-MONOMER", 2))
HOLO-ACP-SYNTH-CPLX	holo-[acyl-carrier-protein] synthase	(("HOLO-ACP-SYNTH-MONOMER", 2))
FUMARATE-REDUCTASE	fumarate reductase	(("FUM-MEMB2", 1) ("FUM-MEMB1", 1) ("FUM-FE-S", 1) ("FUM-FLAVO", 1))
CARBPSYN-CPLX	carbamoyl phosphate synthetase	(("CARBPSYN-SMALL", 2) ("CARBPSYN-LARGE", 2))
HOMSUCTRAN-CPLX	homoserine <i>O</i>-succinyltransferase	(("HOMSUCTRAN-MONOMER", 2))
CPLX0-235	glyoxylate reductase [multifunctional]	(("MONOMER-43", 2))
ATPF-CPLX	ATP synthase F<sub>0</sub> complex - b subunit	(("ATPF-MONOMER", 2))
FORMATEDEHYDROGO-CPLX	formate dehydrogenase-O	(("FDOI-MONOMER", 1) ("FDOH-MONOMER", 1) ("FDOG-MONOMER", 1))
TRANS-CPLX-201	AcrAB-TolC multidrug efflux transport system	(("ACRB-MONOMER", 3) ("CPLX0-7964", 1) ("EG11009-MONOMER", 3) ("EG11703-MONOMER", 1))
PROS-CPLX	prolyl-tRNA synthetase	(("PROS-MONOMER", 2))
ASPS-CPLX	aspartyl-tRNA synthetase	(("ASPS-MONOMER", 2))
CPLX-64	allantoinase	(("G6281-MONOMER", 4))
ABC-19-CPLX	molybdate ABC transporter	(("MODA-MONOMER", 1) ("MODB-MONOMER", 2) ("MODC-MONOMER", 2))
CPLX0-1862	vitamin B12 transport system	(("ABC-5-CPLX", 1) ("BTUD-MONOMER", 2) ("BTUC-MONOMER", 2) ("EG12334-MONOMER", 1) ("CPLX0-1924", 1) ("EG10126-MONOMER", 1) ("EG10272-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG11012-MONOMER", 1) ("CPLX0-1923", 1))
PABASYN-CPLX	4-amino-4-deoxychorismate synthase	(("PABASYN-COMPII-MONOMER", 1) ("PABASYN-COMPI-MONOMER", 1))
CPLX0-7629	sodium:H<sup>+</sup> antiporter NhaA	(("NHAA-MONOMER", 2))
CPLX0-3382	GspC-O secreton  complex	(("EG11359-MONOMER", 1) ("EG12173-MONOMER", 1) ("G7711-MONOMER", 1) ("G7710-MONOMER", 1) ("G7709-MONOMER", 1) ("G7708-MONOMER", 1) ("G7707-MONOMER", 1) ("G7706-MONOMER", 1) ("G7705-MONOMER", 1) ("G7704-MONOMER", 1) ("G7703-MONOMER", 1) ("G7702-MONOMER", 1))
CPLX0-3281	RNase III	(("EG10857-MONOMER", 2))
HISTPHOSTRANS-CPLX	histidinol-phosphate aminotransferase	(("HISTPHOSTRANS-MONOMER", 2))
SPERMIDINESYN-CPLX	spermidine synthase	(("SPERMIDINESYN-MONOMER", 2))
CPLX0-3954	<i>S</i>-lactoylglutathione hydrolase / <i>S</i>-formylglutathione hydrolase	(("EG12026-MONOMER", 4))
CPLX0-3001	peptidase D	(("EG10695-MONOMER", 2))
AROG-CPLX	2-dehydro-3-deoxyphosphoheptonate aldolase	(("AROG-MONOMER", 4))
