"Metabolite Abbreviation"	"Metabolite Name"	"Neutral Formula"	"Charged Formula"	"Charge"	"Compartment"	"KEGG ID"	"CAS Number"	"Alternate Names"
"10fthf[c]"	"10-Formyltetrahydrofolate"	"C20H23N7O7"	"C20H21N7O7"	-2	"Cytosol"	"C00234"		"10-Formyl-THF"
"12dgr120[c]"	"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"	"C27H52O5"	"C27H52O5"	0	"Cytosol"	"C00641"		"1,2-Diacylglycerol/ D-1,2-Diacylglycerol"
"12dgr140[c]"	"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"	"C31H60O5"	"C31H60O5"	0	"Cytosol"	"C00641"		"D-1,2-Diacylglycerol/ 1,2-Diacylglycerol"
"12dgr141[c]"	"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"	"C31H56O5"	"C31H56O5"	0	"Cytosol"	"C00641"		"D-1,2-Diacylglycerol/ 1,2-Diacylglycerol"
"12dgr160[c]"	"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"	"C35H68O5"	"C35H68O5"	0	"Cytosol"	"C00641"		"D-1,2-Diacylglycerol/ 1,2-Diacylglycerol"
"12dgr161[c]"	"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"	"C35H64O5"	"C35H64O5"	0	"Cytosol"	"C00641"		"D-1,2-Diacylglycerol/ 1,2-Diacylglycerol"
"12dgr180[c]"	"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"	"C39H76O5"	"C39H76O5"	0	"Cytosol"	"C00641"		"D-1,2-Diacylglycerol/ 1,2-Diacylglycerol"
"12dgr181[c]"	"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"	"C39H72O5"	"C39H72O5"	0	"Cytosol"	"C00641"		"1,2-Diacylglycerol/ D-1,2-Diacylglycerol"
"12ppd-R[c]"	"(R)-Propane-1,2-diol"	"C3H8O2"	"C3H8O2"	0	"Cytosol"	"C02912"	"4254-14-2"	"(R)-1,2-Propanediol/ (R)-Propylene glycol/ D-1,2-propanediol"
"12ppd-S[c]"	"(S)-Propane-1,2-diol"	"C3H8O2"	"C3H8O2"	0	"Cytosol"	"C02917"	"4254-14-3"	"(S)-1,2-Propanediol/ (S)-Propylene glycol/ L-1,2-propanediol"
"13dpg[c]"	"3-Phospho-D-glyceroyl phosphate"	"C3H8O10P2"	"C3H4O10P2"	-4	"Cytosol"	"C00236"		"1,3-bis-phosphoglycerate/ 3-Phospho-D-glyceroyl phosphate/ 1,3-bisphosphoglycerate/ (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid"
"14dhncoa[c]"	"1,4-dihydroxy-2-napthoyl-CoA"	"C32H38N7O19P3S"	"C32H38N7O19P3S"	-4	"Cytosol"	"C15547"		
"14glucan[c]"	"1,4-alpha-D-glucan"	"C36H62O31"	"C36H62O31"	0	"Cytosol"	"C00718"		
"15dap[c]"	"1,5-Diaminopentane"	"C5H14N2"	"C5H16N2"	2	"Cytosol"	"C01672"	"462-94-2"	"Cadaverine/ 1,5-Pentanediamine/ Pentamethylenediamine"
"1ddecg3p[c]"	"1-dodecanoyl-sn-glycerol 3-phosphate"	"C15H31O7P1"	"C15H29O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C12:0)"
"1hdec9eg3p[c]"	"1-hexadec-9-enoyl-sn-glycerol 3-phosphate"	"C19H37O7P1"	"C19H35O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C16:1)"
"1hdecg3p[c]"	"1-hexadecanoyl-sn-glycerol 3-phosphate"	"C19H39O7P1"	"C19H37O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C16:0)"
"1odec11eg3p[c]"	"1-octadec-11-enoyl-sn-glycerol 3-phosphate"	"C21H41O7P1"	"C21H39O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C18:1)"
"1odecg3p[c]"	"1-octadecanoyl-sn-glycerol 3-phosphate"	"C21H43O7P1"	"C21H41O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C18:0)"
"1pyr5c[c]"	"1-Pyrroline-5-carboxylate"	"C5H7NO2"	"C5H6NO2"	-1	"Cytosol"	"C03912"		"(S)-1-Pyrroline-5-carboxylate/ L-1-Pyrroline-5-carboxylate/ 1-Pyrroline-5-carboxylic acid"
"1tdec7eg3p[c]"	"1-tetradec-7-enoyl-sn-glycerol 3-phosphate"	"C17H33O7P1"	"C17H31O7P1"	-2	"Cytosol"	"C00681"		"1-Acyl-sn-glycerol 3-phosphate (n-C14:1)"
