"E. coli CORE Biomass Objective Function"																																							
	"Notes"	"Macromolecule"	"overall wt%"	"overall wt% (wild type)"	"composition (molar fraction)"	"mmol/gDW (Calc.)"	"metabolite"	"location"	"type"	"formula"	"C"	"H"	"N"	"O"	"P"	"S"	"MW (mg/mmol)"	"difference b/w metabolite and structual component"	"MWcorr (mg/mmol)"	"mg (if total 1 mmol)"	"total wt (mg)"	"composition (weight fraction)"	"g/gDW"	"mmol/gDW"		"total mmols material"	"class"	"final wt%"		"g/gDW"	"g/gDW"	"g/gDW"	"consistency check"	"consistency check"		"Reference"			
	"Reactants"																																			"NH"	"Neidhardt FC, Ingraham JL, Schaechter M (1990) Physiology of the bacterial cell : a molecular approach. Sinauer Associates, Sunderland, Mass."		
	"NH pg. 96"	"Protein"	0.5794	0.55	0.096	0.513689	"ala-L"	"cytoplasm"	"AA"	"C3H7NO2"	3	7	1	2	0	0	89.094	"h2o"	71.079	6.826717575	108.3299845	0.063017803	"3.65%"	0.514						0.045766626									
	"NH pg. 96"				0.055	0.295792	"arg-L"	"cytoplasm"	"AA"	"C6H15N4O2"	6	15	4	2	0	0	175.212	"h2o"	157.197	8.693634521		0.080251415	"4.65%"	0.296						0.051826369									
	"NH pg. 96"				0.045	0.241055	"asn-L"	"cytoplasm"	"AA"	"C4H8N2O3"	4	8	2	3	0	0	132.119	"h2o"	114.104	5.142652234		0.047472103	"2.75%"	0.241						0.031847942									
	"NH pg. 96"				0.045	0.241055	"asp-L"	"cytoplasm"	"AA"	"C4H6NO4"	4	6	1	4	0	0	132.095	"h2o"	114.08	5.141570557		0.047462118	"2.75%"	0.241						0.031842157									
	"NH pg. 96"				0.017	0.09158	"cys-L"	"cytoplasm"	"AA"	"C3H7NO2S"	3	7	1	2	0	1	121.16	"h2o"	103.145	1.766111986		0.016303076	"0.94%"	0.092						0.011095813									
	"NH pg. 96"				0.049	0.26316	"gln-L"	"cytoplasm"	"AA"	"C5H10N2O3"	5	10	2	3	0	0	146.146	"h2o"	128.131	6.304418422		0.058196431	"3.37%"	0.263						0.038459847									
	"NH pg. 96"				0.049	0.26316	"glu-L"	"cytoplasm"	"AA"	"C5H8NO4"	5	8	1	4	0	0	146.122	"h2o"	128.107	6.303237552		0.05818553	"3.37%"	0.263						0.038453532						"consistency check"			
	"NH pg. 96"				0.115	0.612638	"gly"	"cytoplasm"	"AA"	"C2H5NO2"	2	5	1	2	0	0	75.067	"h2o"	57.052	6.534986026		0.060324813	"3.50%"	0.613						0.045988862								"difference"	"scaling factor"
	"NH pg. 96"				0.018	0.094738	"his-L"	"cytoplasm"	"AA"	"C6H9N3O2"	6	9	3	2	0	0	155.157	"h2o"	137.142	2.429202913		0.022424105	"1.30%"	0.095						0.014699227						"reactants"	32.403	1	0
	"NH pg. 96"				0.054	0.290529	"ile-L"	"cytoplasm"	"AA"	"C6H13NO2"	6	13	1	2	0	0	131.175	"h2o"	113.16	6.146852982		0.056741935	"3.29%"	0.291						0.03811016						"products"	31.403		
	"NH pg. 96"				0.084	0.450531	"leu-L"	"cytoplasm"	"AA"	"C6H13NO2"	6	13	1	2	0	0	131.175	"h2o"	113.16	9.532076363		0.087991117	"5.10%"	0.451						0.059098364						"difference"	1		
	"NH pg. 96"				0.064	0.343161	"lys-L"	"cytoplasm"	"AA"	"C6H15N2O2"	6	15	2	2	0	0	147.198	"h2o"	129.183	8.288458571		0.076511214	"4.43%"	0.343						0.050512647									
