"Object ID"	"Gene Name"	"Names"	"Left-End-Position"	"Right-End-Position"
"EG11979"	EG11979	"rfbC" // "rfbD" // "rmlC" // "b2038" // "ECK2032"	2109581	2110138
"EG11991"	EG11991	"yehE" // "b2112" // "ECK2105"	2192515	2192796
"EG12302"	EG12302	"tmk" // "ycfG" // "b1098" // "ECK1084"	1155124	1155765
"EG12320"	EG12320	"yadG" // "b0127" // "ECK0126"	142779	143705
"EG11428"	EG11428	"sthA" // "sth" // "udhA" // "b3962" // "ECK3954"	4159390	4160790
"EG10649"	EG10649	"ndh" // "b1109" // "ECK1095"	1166085	1167389
"EG11650"	EG11650	"yafD" // "b0209" // "ECK0209"	231122	231922
"EG11045"	EG11045	"udp" // "b3831" // "ECK3825"	4016431	4017192
"EG10818"	EG10818	"rbsK" // "b3752" // "ECK3746"	3937294	3938223
"EG11257"	EG11257	"dgcC" // "yaiC" // "adrA" // "b0385" // "ECK0380"	403703	404818
"EG10566"	EG10566	"manA" // "pmi" // "b1613" // "ECK1608"	1688576	1689751
"G7468"	G7468	"yqeJ" // "b2848" // "ECK2846"	2989304	2989786
"EG10413"	EG10413	"gpp" // "gppA" // "b3779" // "ECK3771"	3962745	3964229
"EG10290"	EG10290	"fecE" // "b4287" // "ECK4277"	4510690	4511457
"EG12411"	EG12411	"rfbD" // "rmlD" // "b2040" // "ECK2034"	2111077	2111976
"EG10468"	EG10468	"hyaA" // "b0972" // "ECK0963"	1032139	1033257
"G7015"	G7015	"yobB" // "b1843" // "ECK1844"	1925440	1926096
"EG11971"	EG11971	"nupC" // "cru" // "b2393" // "ECK2388"	2513042	2514244
"EG10053"	EG10053	"araB" // "b0063" // "ECK0064"	68348	70048
"G6273"	G6273	"ylbG" // "b0502" // "ECK0495"	529645	530016
"EG11789"	EG11789	"gmm" // "nudD" // "wcaH" // "yefC" // "b2051" // "ECK2045"	2125743	2126222
"G6742"	G6742	"ydcL" // "b1431" // "ECK1424"	1502457	1503125
"EG10994"	EG10994	"tdk" // "b1238" // "ECK1233"	1293527	1294144
"G6423"	G6423	"ybiT" // "b0820" // "ECK0810"	855963	857555
"EG11060"	EG11060	"ushA" // "b0480" // "ECK0474"	504914	506566
"EG11227"	EG11227	"fdnG" // "b1474" // "ECK1468"	1547401	1550448
"G6354"	G6354	"ybeT" // "b0647" // "ECK0640"	678852	679406
"EG10810"	EG10810	"pyrG" // "b2780" // "ECK2774"	2908029	2909666
"M009"	M009	"hcaE" // "yfhU" // "digA" // "phdC1" // "hcaA" // "hcaA1" // "b2538" // "ECK2535"	2669032	2670393
"EG11181"	EG11181	"bfd" // "yheA" // "b3337" // "ECK3324"	3466797	3466991
"EG10161"	EG10161	"cpsB" // "rfbM" // "manC" // "mni" // "b2049" // "ECK2043"	2123084	2124520
"EG12448"	EG12448	"ybcH" // "b0567" // "ECK0559"	587091	587981
"EG10223"	EG10223	"deoR" // "nucR" // "b0840" // "ECK0830"	881976	882734
"EG12275"	EG12275	"xylG" // "b3567" // "ECK3556"	3732201	3733742
"EG12412"	EG12412	"rfbB" // "som" // "rmlB" // "b2041" // "ECK2035"	2111976	2113061
"EG10318"	EG10318	"fldA" // "b0684" // "ECK0672"	710935	711465
"EG11882"	EG11882	"yiiX" // "b3937" // "ECK3929"	4127286	4127894
