pathwayId	pathwayName	genes	reactions
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	["G6397", "EG11221", "EG10411"]	["RXN-9952", "GLU6PDEHYDROG-RXN", "6PGLUCONOLACT-RXN"]
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	["EG11583", "G7545", "G7544", "G0-8601", "G6278", "EG11175", "G6283"]	["GKI-RXN", "RXN0-5289", "GLYCOLATEDEHYDRO-RXN", "GLYOCARBOLIG-RXN"]
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	["EG10633", "EG10632"]	["NAG6PDEACET-RXN", "GLUCOSAMINE-6-P-DEAMIN-RXN"]
PWY-5453	methylglyoxal degradation III	["G7558", "EG11648", "G7565", "G6967", "G7564", "EG11904"]	["RXN-8632", "RXN0-4281"]
PWY0-1527	curcumin degradation	["G6760"]	["RXN0-6677", "RXN0-6676"]
PWY0-501	lipoate biosynthesis and incorporation I	["EG11306", "EG11591", "EG50003", "EG11328"]	["RXN0-947", "RXN0-949"]
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	["G7677", "EG10637", "G7676"]	["NANK-RXN", "ACNEULY-RXN", "NANE-RXN"]
PWY0-1546	muropeptide degradation	["G6621", "G7147", "G6662", "G6661", "EG10695"]	["RXN0-6981", "RXN0-5228", "RXN0-961", "RXN0-5227"]
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	["EG11082", "G6358", "EG12030", "EG10137", "EG11701", "EG11332", "EG11539", "EG10810", "EG11265", "EG10650", "EG10032"]	["CDPKIN-RXN", "RXN-11832", "CTPSYN-RXN", "UDPKIN-RXN", "RXN-12002", "URACIL-PRIBOSYLTRANS-RXN", "CYTIKIN-RXN", "URIDINEKIN-RXN", "URIDINE-NUCLEOSIDASE-RXN", "CYTIDEAM2-RXN"]
PWY-7335	UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	["EG11452", "EG11451"]	["UDPGLCNACEPIM-RXN", "UDPMANNACADEHYDROG-RXN"]
PWY-7208	superpathway of pyrimidine nucleobases salvage	["EG11539", "EG10650", "EG10032", "EG10810", "EG11332"]	["URACIL-PRIBOSYLTRANS-RXN", "CTPSYN-RXN", "UDPKIN-RXN", "RXN-12002"]
PWY0-1518	Chemotactic Two-Component Signal Transduction	["EG10147", "EG10150", "EG10146"]	["RXN0-6542", "RXN0-6547", "RXN0-6546"]
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	["EG11981", "EG11979", "EG12411", "EG12412", "EG11453", "EG11978", "EG11454", "EG11198", "EG10382", "EG11553", "EG10702"]	["PGLUCISOM-RXN", "5.4.2.10-RXN", "L-GLN-FRUCT-6-P-AMINOTRANS-RXN", "2.3.1.157-RXN", "NAG1P-URIDYLTRANS-RXN", "DTDPGLUCOSEPP-RXN", "DTDPGLUCDEHYDRAT-RXN", "DTDPDEHYRHAMREDUCT-RXN", "DTDPDEHYDRHAMEPIM-RXN", "GALPMUT-RXN"]
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	["EG11556", "EG11797", "EG11427", "EG12100", "M004", "EG11827", "EG11443"]	["RIB5PISOM-RXN", "RIBULP3EPIM-RXN", "1TRANSKETO-RXN", "2TRANSKETO-RXN", "TRANSALDOL-RXN"]
PWY0-981	taurine degradation IV	["EG12423"]	["RXN0-299"]
PWY-6700	queuosine biosynthesis	["G7452", "EG10996", "EG10812", "G7843"]	["RXN-12104", "RXN0-1342", "RXN0-1321", "RXN0-4022"]
PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer	["EG10754", "EG10181", "EG10178", "EG10179", "EG10180"]	["RXN0-5268", "RXN-11496"]
PWY-6608	guanosine nucleotides degradation III	["G7502", "EG11934", "EG10634", "EG11817", "G7742", "G7485", "G7486", "G7487", "EG10222", "G85", "EG12159"]	["RXN0-5199", "RXN0-901", "RXN-7609", "GUANINE-DEAMINASE-RXN"]
GLYSYN-PWY	glycine biosynthesis I	["EG10408"]	["GLYOHMETRANS-RXN"]
SAM-PWY	S-adenosyl-L-methionine biosynthesis	["EG10589"]	["S-ADENMETSYN-RXN"]
PWY-7242	D-fructuronate degradation	["EG20248", "EG11066", "EG12253", "EG10256"]	["KDPGALDOL-RXN", "DEOXYGLUCONOKIN-RXN", "MANNONDEHYDRAT-RXN", "MANNONOXIDOREDUCT-RXN"]
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	["EG10326", "G6862", "EG11158", "EG10585", "EG10587", "EG10543", "EG11810", "EG10371", "EG11442", "EG10328", "EG10408", "EG11002"]	["THYMIDYLATESYN-RXN", "GLYOHMETRANS-RXN", "METHYLENETHFDEHYDROG-NADP-RXN", "METHENYLTHFCYCLOHYDRO-RXN", "GCVMULTI-RXN", "HOMOCYSMETB12-RXN", "1.5.1.20-RXN", "5-FORMYL-THF-CYCLO-LIGASE-RXN", "DIHYDROFOLATEREDUCT-RXN"]
PWY0-41	allantoin degradation IV (anaerobic)	["G6281", "G6285", "G6284", "EG12384", "G6286"]	["RXN0-7024", "CARBAMATE-KINASE-RXN", "OXAMATE-CARBAMOYLTRANSFERASE-RXN", "R165-RXN", "URUR-RXN", "ALLANTOATE-DEIMINASE-RXN", "ALLANTOINASE-RXN"]
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	["EG20257", "EG12381", "EG11418", "EG11417", "EG10572", "EG10251", "G7164", "EG11002", "EG12302", "EG10650", "EG10032", "EG10660", "EG10661", "G7401", "EG11031", "EG11887"]	["RXN-12195", "RXN0-723", "RXN0-724", "RIBONUCLEOSIDE-DIP-REDUCTII-RXN", "RXN0-722", "CDPREDUCT-RXN", "UDPREDUCT-RXN", "DTDPKIN-RXN", "DTMPKI-RXN", "THYMIDYLATESYN-RXN", "DUTP-PYROP-RXN", "DUDPKIN-RXN", "DCTP-DEAM-RXN", "DCDPKIN-RXN"]
METHGLYUT-PWY	superpathway of methylglyoxal degradation	["G6891", "G6099", "EG12026", "G6475", "EG10231", "G7558", "EG11648", "G7565", "G6967", "G7564", "EG11904", "EG10035", "EG11963"]	["1.1.1.283-RXN", "L-LACTDEHYDROGFMN-RXN", "LACTALDDEHYDROG-RXN", "RXN-8632", "RXN0-4281", "DLACTDEHYDROGFAD-RXN", "GLYOXII-RXN", "GLYOXI-RXN"]
PWY0-1021	L-alanine biosynthesis III	["G7325", "G6906"]	["RXN0-308"]
PWY0-1493	RcsCDB Two-Component Signal Transduction System	["EG12385", "EG10821", "EG10820", "EG10822"]	["RXN0-6506", "RXN0-6509", "RXN0-6505", "RXN0-6507", "RCSC-RXN"]
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	["EG12150", "G6349", "EG12151", "EG13238", "EG10130"]	["RXN-19343", "RXN-19338", "RXN-19342", "COBALAMIN5PSYN-RXN", "RXN-8770", "DMBPPRIBOSYLTRANS-RXN", "COBINAMIDEKIN-RXN", "COBINPGUANYLYLTRANS-RXN"]
TRESYN-PWY	trehalose biosynthesis I	["EG11751", "EG11752"]	["TREHALOSEPHOSPHA-RXN", "TREHALOSE6PSYN-RXN"]
PWY0-1534	hydrogen sulfide biosynthesis I	["EG10096", "EG11600"]	["RXN0-6945", "CYSTEINE-AMINOTRANSFERASE-RXN"]
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	["EG11757", "EG11171", "G6991", "G7698"]	["RXN-14569", "RXN-14570"]
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	["EG12082", "EG12088", "EG12090", "EG12091", "EG12092", "EG11773", "EG12093", "EG12089", "EG12087", "EG11774", "EG12086", "EG12084", "EG12083", "EG10173", "EG10174", "G0-10441"]	["RXN0-5266", "NADH-DEHYDROG-A-RXN"]
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	["EG10660", "EG10661", "EG11417", "EG20257", "EG12381", "EG10650", "EG10032", "G7401", "EG11031", "EG11887"]	["DGDPKIN-RXN", "RXN0-748", "RXN0-746", "GDPREDUCT-RXN"]
THIOREDOX-PWY	thioredoxin pathway	["EG11032", "EG11031", "EG11887"]	["THIOREDOXIN-RXN", "THIOREDOXIN-REDUCT-NADPH-RXN"]
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	["EG20080", "G7545", "G7544", "G0-8601"]	["GLYCOLATEDEHYDRO-RXN", "MALSYN-RXN"]
PWY0-1471	uracil degradation III	["G6523", "G6520", "G6519", "EG12345", "G6522", "G6521"]	["RXN0-6461", "RXN0-6460", "RXN-8974", "RXN0-6452", "RXN0-5222", "RXN0-6444"]
PWY-5386	methylglyoxal degradation I	["G6891", "G6099", "EG12026", "G6475", "EG10231"]	["DLACTDEHYDROGFAD-RXN", "GLYOXII-RXN", "GLYOXI-RXN"]
PWY-40	putrescine biosynthesis I	["EG10959", "EG10960"]	["AGMATIN-RXN", "ARGDECARBOX-RXN"]
PWY0-1061	superpathway of L-alanine biosynthesis	["EG10497", "EG10001", "EG11408", "EG10107", "G7325", "G6906", "G0-9281", "G7184", "G7242"]	["ALANINE-AMINOTRANSFERASE-RXN", "RXN0-308", "VALINE-PYRUVATE-AMINOTRANSFER-RXN", "ALARACECAT-RXN", "BRANCHED-CHAINAMINOTRANSFERVAL-RXN"]
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	["EG10189", "EG10191", "EG10190", "EG10186", "EG10194", "EG10185", "EG11031", "EG11887"]	["ADENYLYLSULFKIN-RXN", "SULFATE-ADENYLYLTRANS-RXN", "SULFITE-REDUCT-RXN", "1.8.4.8-RXN"]
PWY0-1519	Aerotactic Two-Component Signal Transduction System	["EG10150", "EG10146"]	["RXN0-6542", "RXN0-6546"]
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	["EG10572", "EG10251", "G7164", "G6954"]	["RXN-14188", "DUTP-PYROP-RXN", "DCTP-PYROPHOSPHATASE-RXN"]
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	["EG10092", "EG10091"]	["ASNSYNA-RXN"]
PWY-6071	superpathway of phenylethylamine degradation	["EG13139", "G7961", "G6716", "G6713", "G6709", "G6711", "G6710", "G6718", "G6715", "G6708", "G6719", "G6714"]	["RXN-2425", "RXN-10819", "RXNMETA-12672", "RXNMETA-12671", "RXN0-6510", "RXN0-6512", "RXN0-2042", "RXN0-2044", "RXN-3641", "TRANS-RXN0-284", "PHENDEHYD-RXN", "AMINEPHEN-RXN"]
PWY-5350	thiosulfate disproportionation IV (rhodanese)	["EG10395", "EG10780", "EG11600", "G7398"]	["THIOSULFATE-SULFURTRANSFERASE-RXN"]
PWY0-1554	5-(carboxymethoxy)uridine biosynthesis	["G7021", "G7020"]	["RXN0-7066", "RXN0-7067"]
PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer	["EG10181", "EG10178", "EG10179", "EG10180", "EG10801"]	["RXN0-7008", "RXN0-5268"]
PHESYN	L-phenylalanine biosynthesis I	["EG11040", "EG10096", "EG10497", "EG10707", "EG11039"]	["CHORISMATEMUT-RXN", "PREPHENATEDEHYDRAT-RXN", "PHEAMINOTRANS-RXN"]
PWY-6556	pyrimidine ribonucleosides salvage II	["EG10137", "EG11082", "G6358", "EG12030"]	["URIDINE-NUCLEOSIDASE-RXN", "CYTIDEAM2-RXN"]
PWY0-1306	L-galactonate degradation	["G7945"]	["RXN0-5229"]
LIPA-CORESYN-PWY	Lipid A-core biosynthesis	["EG11189", "EG12210", "EG11339", "EG11340", "EG11341", "EG11425", "EG11351", "EG11352", "EG11353", "EG11423"]	["RXN0-5127", "RXN0-5126", "RXN0-5125", "RXN0-5124", "RXN0-5123", "RXN0-5122", "RXN0-5121", "RXN0-5120", "RXN0-5061", "RXN0-5118"]
PWY0-1182	trehalose degradation II (trehalase)	["EG12245", "EG12957"]	["GLUCOKIN-RXN", "TREHALA-RXN"]
ARGDEG-PWY	"superpathway of L-arginine", "putrescine", "and 4-aminobutanoate degradation"	["G6645", "EG11822", "G6644", "EG11501", "EG10960", "G6811", "EG10361", "G6646", "EG11329", "G6755", "EG10036", "G7596"]	["PUTTRANSAM-RXN", "AMINOBUTDEHYDROG-RXN", "SUCCSEMIALDDEHYDROG-RXN", "SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "GABATRANSAM-RXN", "AGMATIN-RXN", "ARGDECARBOX-RXN", "RXN0-3901", "RXN0-3921", "RXN0-3922", "RXN0-3942"]
AMMASSIM-PWY	ammonia assimilation cycle III	["EG10383", "EG10403", "EG10404"]	["GLUTAMATESYN-RXN", "GLUTAMINESYN-RXN"]
RHAMCAT-PWY	L-rhamnose degradation I	["EG11866", "EG11868", "EG11867", "EG11865"]	["RXN0-5306", "RXN-15356", "RHAMNISOM-RXN", "RHAMNULOKIN-RXN", "RHAMNULPALDOL-RXN"]
PWY-5838	superpathway of menaquinol-8 biosynthesis I	["EG10017", "EG12437", "EG11532", "EG10261", "EG12362", "EG10579", "EG12438", "EG11368", "G6912", "EG11473", "EG11880"]	["DMK-RXN", "ADOMET-DMK-METHYLTRANSFER-RXN", "RXN-9311", "NAPHTHOATE-SYN-RXN", "RXN-9310", "2.5.1.64-RXN", "ISOCHORSYN-RXN", "O-SUCCINYLBENZOATE-COA-SYN-RXN", "O-SUCCINYLBENZOATE-COA-LIG-RXN", "RXN-8992"]
PWY0-1495	"KdpDE Two-Component Signal Transduction System", "potassium-dependent"	["EG10517", "EG10516"]	["KDPD-RXN", "RXN0-6501"]
PWY0-1479	tRNA processing	["EG10743", "EG11620", "G7175", "EG30069", "EG10862", "EG11547", "EG10858", "EG10863", "EG10859"]	["RXN0-6485", "RXN0-6481", "RXN0-6483", "3.1.26.5-RXN", "RXN0-6484", "RXN0-6482", "RXN0-6480", "RXN0-4222", "RXN0-6479", "RXN0-6478"]
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II	["EG10649", "EG10181", "EG10178", "EG10179", "EG10180"]	["RXN0-5268", "RXN0-5330"]
PWY0-1338	polymyxin resistance	["G7168", "G7166", "G7167", "G7170"]	["RXN0-2001", "RXN0-5409", "RXN0-3521", "RXN0-1863", "RXN0-1862", "RXN0-1861"]
PWY0-1275	lipoate biosynthesis and incorporation II	["EG11796", "EG11306", "EG11328"]	["RXN0-949", "RXN0-5098"]
LYXMET-PWY	L-lyxose degradation	["EG11867", "EG12284", "EG12286", "EG10055", "EG12287"]	["RIBULPEPIM-RXN", "LXULRU5P-RXN", "LYXK-RXN", "LYXISOM-RXN"]
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	["G7091"]	["UGD-RXN"]
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	["EG10023", "EG20080", "EG10022", "EG10576", "EG10358", "EG10357", "EG10356", "G6903", "EG11162", "EG10982", "EG10981", "EG10979", "EG10980", "EG10543", "EG10489", "EG10402", "G6198", "EG11325", "EG12316", "EG10934", "EG10933", "EG10932", "EG10931", "EG12069"]	["MALATE-DEHYDROGENASE-ACCEPTOR-RXN", "SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN", "ISOCITDEH-RXN", "2OXOGLUTARATEDEH-RXN", "SUCCCOASYN-RXN", "FUMHYDR-RXN", "ACONITATEDEHYDR-RXN", "CITSYN-RXN", "ACONITATEHYDR-RXN", "ISOCIT-CLEAV-RXN", "MALSYN-RXN", "MALATE-DEH-RXN"]
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	["EG11577", "G6986", "EG11040", "EG11226", "EG11576", "EG11575", "EG10496", "EG10497", "EG10495", "EG10500", "EG10499", "EG10494", "EG10502", "G8221", "EG10501", "EG10493", "EG10990"]	["RXN-15121", "RXN-15123", "RXN-15122", "ACETOOHBUTSYN-RXN", "ACETOOHBUTREDUCTOISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERILEU-RXN", "DIHYDROXYMETVALDEHYDRAT-RXN", "ACETOLACTSYN-RXN", "ACETOLACTREDUCTOISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERVAL-RXN", "DIHYDROXYISOVALDEHYDRAT-RXN", "RXN-8991", "RXN-7800", "2-ISOPROPYLMALATESYN-RXN", "3-ISOPROPYLMALISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERLEU-RXN", "3-ISOPROPYLMALDEHYDROG-RXN"]
PWY0-1550	YpdAB Two-Component Signal Transduction System	["G7244", "G7243"]	["RXN0-7040", "RXN0-7039"]
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	["EG10095", "EG10096", "EG10092", "EG10091", "EG10046", "EG10045", "EG12407"]	["ASPARAGHYD-RXN", "ASNSYNA-RXN", "ASPARTASE-RXN", "ASPAMINOTRANS-RXN"]
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	["G6208", "EG12026", "EG50010"]	["RXN-2962", "RXN-2961", "S-FORMYLGLUTATHIONE-HYDROLASE-RXN"]
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	["G6775", "EG10031", "M014"]	["ACETALD-DEHYDROG-RXN", "ALCOHOL-DEHYDROG-RXN"]
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	["EG10794", "EG10792", "EG10797", "EG10798", "EG11809"]	["GARTRANSFORMYL2-RXN", "AIRS-RXN", "FGAMSYN-RXN", "GLYRIBONUCSYN-RXN", "PRPPAMIDOTRANS-RXN"]
PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer	["EG10181", "EG10178", "EG10179", "EG10180", "EG10934", "EG10933", "EG10932", "EG10931"]	["SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN", "RXN0-5268"]
HEMESYN2-PWY	heme <i>b</i> biosynthesis II (anaerobic)	["EG10431", "EG11543", "EG11836", "EG11485"]	["RXN0-6259", "HEMN-RXN", "UROGENDECARBOX-RXN", "PROTOHEMEFERROCHELAT-RXN"]
PWY-5964	guanylyl molybdenum cofactor biosynthesis	["EG11829"]	["RXN0-262"]
DETOX1-PWY	superoxide radicals degradation	["EG10953", "EG10954", "G6886", "EG10509", "EG10511", "EG11692"]	["CATAL-RXN", "SUPEROX-DISMUT-RXN"]
PWY-6543	4-aminobenzoate biosynthesis	["EG10683", "EG10682", "EG11493"]	["ADCLY-RXN", "PABASYN-RXN"]
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation	["EG20248", "EG11066", "EG12253", "EG10256", "G81", "EG11055"]	["RXN-14693", "BETA-GLUCURONID-RXN", "GLUCUROISOM-RXN", "KDPGALDOL-RXN", "DEOXYGLUCONOKIN-RXN", "MANNONDEHYDRAT-RXN", "MANNONOXIDOREDUCT-RXN"]
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	["EG10979", "EG10980", "EG10543"]	["RXN-7716", "RXN0-1147", "2OXOGLUTDECARB-RXN"]
GLCMANNANAUT-PWY	"superpathway of <i>N</i>-acetylglucosamine", "<i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"	["EG10633", "EG10632", "G7677", "EG10637", "G7676"]	["NANK-RXN", "ACNEULY-RXN", "NANE-RXN", "NAG6PDEACET-RXN", "GLUCOSAMINE-6-P-DEAMIN-RXN"]
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)	["EG11589", "G6237", "EG11587", "EG11590", "G7325", "G6906", "G6238", "EG11328", "G1"]	["RXN0-308", "RXN-14382", "RXN-11319", "RXN-9789", "RXN-9788", "DXS-RXN", "THIAZOLSYN2-RXN"]
PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	["EG12189", "EG10431", "EG11735", "G7266", "EG11543", "EG11836", "EG11485"]	["RXN0-6259", "HEMN-RXN", "RXN0-1461", "PROTOHEMEFERROCHELAT-RXN", "PROTOPORGENOXI-RXN", "UROGENDECARBOX-RXN"]
PWY0-1497	RstBA Two-Component Signal Transduction System	["G6864", "EG11233"]	["RSTA-RXN", "RSTB-RXN"]
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	["EG11487", "G7259", "G6879"]	["PYRIDOXKIN-RXN", "PMPOXI-RXN", "PNPOXI-RXN", "PYRAMKIN-RXN", "PNKIN-RXN"]
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	["EG10794", "EG10792", "EG10799", "EG10797", "EG10798"]	["AIRS-RXN", "FGAMSYN-RXN", "GART-RXN", "GLYRIBONUCSYN-RXN", "PRPPAMIDOTRANS-RXN"]
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer	["EG10934", "EG10933", "EG10932", "EG10931", "EG10173", "EG10174", "G0-10441"]	["RXN0-5266", "SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN"]
PWY-7195	pyrimidine ribonucleosides salvage III	["G6358", "EG12030", "EG11082", "EG11326"]	["CYTDEAM-RXN", "RXN0-361"]
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	["EG10074", "EG10079", "EG10080", "EG10078", "EG10075", "EG10073", "EG10082", "EG10081", "EG10077", "EG10076", "EG11234", "EG11026", "EG11028", "EG11027", "EG11024", "EG11025", "EG10497", "EG11040", "EG10096", "EG10707", "EG11039"]	["PREPHENATEDEHYDROG-RXN", "TYROSINE-AMINOTRANSFERASE-RXN", "CHORISMATEMUT-RXN", "PREPHENATEDEHYDRAT-RXN", "PHEAMINOTRANS-RXN", "RXN0-2382", "RXN0-2381", "ANTHRANSYN-RXN", "PRTRANS-RXN", "PRAISOM-RXN", "IGPSYN-RXN", "RXN-7968", "3-DEHYDROQUINATE-DEHYDRATASE-RXN", "SHIKIMATE-5-DEHYDROGENASE-RXN", "SHIKIMATE-KINASE-RXN", "2.5.1.19-RXN", "CHORISMATE-SYNTHASE-RXN", "DAHPSYN-RXN", "3-DEHYDROQUINATE-SYNTHASE-RXN"]
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis	["EG10520", "EG10546", "EG11409", "EG12666", "EG10316", "EG10265", "EG10545", "EG10464", "G7241", "EG10614", "EG10519", "G7663", "EG10518", "G7662", "EG10973", "EG50003"]	["RXN-16804", "DARAB5PISOM-RXN", "KDO-8PSYNTH-RXN", "KDO-8PPHOSPHAT-RXN", "CPM-KDOSYNTH-RXN", "MYRPALMTRAN-RXN", "PALMITOTRANS-RXN", "MYRISTOYLACYLTRAN-RXN", "LAUROYLACYLTRAN-RXN", "UDPNACETYLGLUCOSAMACYLTRANS-RXN", "UDPACYLGLCNACDEACETYL-RXN", "UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN", "LIPIDXSYNTHESIS-RXN", "TETRAACYLDISACC4KIN-RXN", "LIPIDADISACCHARIDESYNTH-RXN", "KDOTRANS2-RXN", "KDOTRANS-RXN"]
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	["EG10963", "EG10962"]	["SAMDECARB-RXN", "SPERMIDINESYN-RXN"]
PWY0-1559	BtsSR Two-Component Signal Transduction System	[]	[]
NRI-PWY	Nitrogen Regulation Two-Component System	["EG11602", "EG10383", "EG11411", "EG12191", "EG10384", "EG10387", "EG10385"]	["RXN0-801", "RXN0-802", "GLUTAMINESYN-RXN", "GSDEADENYLATION-RXN", "GSADENYLATION-RXN", "URITRANS-RXN", "URIDYLREM-RXN", "NRIIPHOS-RXN", "NRIDEPHOS-RXN", "NRIPHOS-RXN"]
THREONINE-DEG2-PWY	L-threonine degradation II	["EG10993", "EG12293", "EG10512"]	["AKBLIG-RXN", "THREODEHYD-RXN"]
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	["G7334", "G7336", "M015", "M009", "M011", "M012", "G7335", "M010"]	["RXN-10040", "RXN-12071", "RXN-12070", "RXN-12073", "RXN-12072"]
