"Reactions"	"Object ID"	"EC-Number"	"Enzymatic-Reaction"
GLYCOGENSYN-RXN	"GLYCOGENSYN-RXN"	EC-2.4.1.21	GLYCOGENSYN-ENZRXN
MALTODEXGLUCOSID-RXN	"MALTODEXGLUCOSID-RXN"	EC-3.2.1.20	MALTODEXGLUCOSID-ENZRXN
RXN0-5184	"RXN0-5184"	EC-2.4.1.1	MALDEXPHOSPHORYL-ENZRXN
RXN-9983	"RXN-9983"	EC-5.3.2.8	
O-SUCCINYLBENZOATE-COA-SYN-RXN	"O-SUCCINYLBENZOATE-COA-SYN-RXN"	EC-4.2.1.113	O-SUCCINYLBENZOATE-COA-SYN-ENZRXN
RXN0-2381	"RXN0-2381"	EC-4.1.2.8	ENZRXN0-3381
TRYPSYN-RXN	"TRYPSYN-RXN"	EC-4.2.1.20	TRYPSYN-ENZRXN
RXN-13747	"RXN-13747"		
RXN0-6442	"RXN0-6442"		
RXN-14479	"RXN-14479"	EC-3.1.1	
RXN0-6944	"RXN0-6944"		
RXN-14478	"RXN-14478"	EC-3.1.1	
RXN-17962	"RXN-17962"	EC-2.3.1	ENZRXN-25001
RXN-12071	"RXN-12071"	EC-1.3.1.87	ENZRXN-18610
DIENOYLCOAREDUCT-RXN	"DIENOYLCOAREDUCT-RXN"	EC-1.3.1.34	DIENOYLCOAREDUCT-ENZRXN
RXN-17785	"RXN-17785"	EC-4.2.1.17	ENZRXN0-8272 // ENZRXN0-8259
RXN0-5391	"RXN0-5391"	EC-5.3.3.8	ENOYL-COA-DELTA-ISOM-ENZRXN
RXN-8992	"RXN-8992"	EC-2.5.1.90	ENZRXN-14556
RXN-8999	"RXN-8999"	EC-2.5.1.31	ENZRXN-17618
RXN-11776	"RXN-11776"	EC-3.6.1.68	ENZRXN0-8072
RXN-17780	"RXN-17780"	EC-4.2.1.17	ENZRXN0-8274 // ENZRXN0-8257
RXN-17789	"RXN-17789"	EC-4.2.1.17	ENZRXN0-8271 // ENZRXN0-8260
DIHYDROXYISOVALDEHYDRAT-RXN	"DIHYDROXYISOVALDEHYDRAT-RXN"	EC-4.2.1.9	DIHYDROXYISOVALDEHYDRAT-ENZRXN
ACETOLACTREDUCTOISOM-RXN	"ACETOLACTREDUCTOISOM-RXN"	EC-1.1.1.86	ACETOLACTREDUCTOISOM-ENZRXN
4.2.1.99-RXN	"4.2.1.99-RXN"	EC-4.2.1.99	ENZRXN0-1505
METHYLISOCITRATE-LYASE-RXN	"METHYLISOCITRATE-LYASE-RXN"	EC-4.1.3.30	ENZRXN0-1521
RXN-13163	"RXN-13163"	EC-4.2.1.33	3-ISOPROPYLMALISOM-ENZRXN
RXN-8991	"RXN-8991"		
RXN-13158	"RXN-13158"	EC-1.1.1.85	
3-ISOPROPYLMALDEHYDROG-RXN	"3-ISOPROPYLMALDEHYDROG-RXN"		ENZRXN0-7894 // 3-ISOPROPYLMALDEHYDROG-ENZRXN
TRANS-RXN0-453	"TRANS-RXN0-453"		ENZRXN0-7403
TRANS-RXN0-454	"TRANS-RXN0-454"	EC-3.6.3	ENZRXN0-7404
RXN-10017	"RXN-10017"		
RXN-8447	"RXN-8447"		
RXN-7800	"RXN-7800"		
DHBDEHYD-RXN	"DHBDEHYD-RXN"	EC-1.3.1.28	DHBDEHYD-ENZRXN
2-METHYLCITRATE-DEHYDRATASE-RXN	"2-METHYLCITRATE-DEHYDRATASE-RXN"	EC-4.2.1.79	ENZRXN0-1501
RXN-10018	"RXN-10018"		
RXN-15121	"RXN-15121"		
RXN0-7170	"RXN0-7170"		
RXN-13459	"RXN-13459"	EC-5.3.2.6	
MHPCHYDROL-RXN	"MHPCHYDROL-RXN"	EC-3.7.1.14	MHPCHYDROL-ENZRXN
RXN-12070	"RXN-12070"	EC-3.7.1.14	ENZRXN-18609
RXN0-5390	"RXN0-5390"	EC-3.1.2	ENZRXN0-6541
TRANS-RXN0-525	"TRANS-RXN0-525"		
PSERTRANSAMPYR-RXN	"PSERTRANSAMPYR-RXN"	EC-2.6.1.52	PSERTRANSAMPYR-ENZRXN
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	"3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN"	EC-4.2.1.55	ENZRXN0-2421
RXN-14255	"RXN-14255"		ENZRXN-23128
RXN1-42	"RXN1-42"	EC-2.3.1	ENZRXN0-8129
RXN-2425	"RXN-2425"	EC-4.2.1.17	ENZRXN0-8203
RXN0-2044	"RXN0-2044"	EC-1.1.1.35	ENZRXN0-2606
RXN-7931	"RXN-7931"	EC-5.3.3.8	
RXN-14394	"RXN-14394"	EC-2.3.1.16	ENZRXN0-8293 // ENZRXN0-7690
RXN-13990	"RXN-13990"	EC-4.1.3.42	4OH2OXOGLUTARALDOL-ENZRXN
RXN-15216	"RXN-15216"	EC-5.3.1.32	ENZRXN0-7902
RXN-17796	"RXN-17796"	EC-1.3.8	ENZRXN0-8248
RXN-17782	"RXN-17782"	EC-2.3.1.16	ENZRXN0-8294 // ENZRXN0-8287
RXN-17783	"RXN-17783"	EC-1.3.8	ENZRXN0-8244
RXN-17778	"RXN-17778"	EC-2.3.1.16	ENZRXN0-8296 // ENZRXN0-8288
RXN-17779	"RXN-17779"	EC-1.3.8	ENZRXN0-8243
