"Object ID"	"Compounds"	"Synonyms"	"Molecular-Weight"
"--TRANS-ACENAPHTHENE-12-DIOL"	--TRANS-ACENAPHTHENE-12-DIOL	"<i>trans</i>-1,2-acenaphthylene glycol"	186.21
"CPD-15291"	CPD-15291	"[(2<i>R</i>,3<i>R</i>)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate" // "(-)-epigallocatechin 3-gallate"	458.378
"CPD0-2616"	CPD0-2616	"(-)CH<sub>2</sub>H<sub>4</sub>folate"	
"CPD0-1294"	CPD0-1294		226.293
"CPD0-2064"	CPD0-2064	"11-hydroperoxyoctadeca-9,12-dienoic acid" // "(9Z,12Z)-(11S)-11-hydroperoxyoctadeca-9,12-dienoate" // "(11S)-11-hydroperoxylinoleic acid" // "(9Z,11S,12Z)-11-hydroperoxyoctadeca-9,12-dienoate"	311.44
"4-OXALOMESACONATE"	4-OXALOMESACONATE	"4-oxalmesaconic acid" // "4-oxalomesaconate" // "&gamma;-oxalomesaconate" // "(E)-3-carboxy-5-oxo-2-hexenedioic-acid" // "OMAketo"	199.096
"CPD-12849"	CPD-12849	"4-carboxy-2-hydroxyhexa-2,4-cis,cis-dienedioate" // "4-carboxy-2-hydroxy-cis,cis-muconate"	199.096
"CPD-9923"	CPD-9923	"SHCHC" // "(1<i>R</i>,6<i>R</i>)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate" // "2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID"	238.196
"INDOLE-3-GLYCEROL-P"	INDOLE-3-GLYCEROL-P	"C<sup>1</sup>-(3-Indolyl)-glycerol 3-phosphate" // "indole-3-glycerol-P" // "1-(indol-3-yl)glycerol-3-P" // "1-(indol-3-yl)glycerol-3-phosphate" // "indoleglycerol phosphate" // "indole-3-glycerol-phosphate"	285.193
"SUCCINYL-OH-CYCLOHEXADIENE-COOH"	SUCCINYL-OH-CYCLOHEXADIENE-COOH	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate" // "SHCHC" // "(1<i>S</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate"	238.196
"CPD-185"	CPD-185	"2-hydroxy-4-carboxymuconate" // "4-carboxy-2-hydroxymuconate" // "2-hydroxy-4-carboxy-hexa-2,4-dienedioate" // "OMAenol" // "(2<i>E</i>,4<i>E</i>)-4-carboxy-2-hydroxyhexa-2,4-dienedioate" // "4-carboxy-2-hydroxyhexa-2,4-dienedioate"	199.096
"CPD-62"	CPD-62	"2,3-dihydroxybenzoyl-AMP" // "2,3-dihydroxybenzoyl adenylate"	482.323
"CPD-15358"	CPD-15358		463.377
"CPD0-2483"	CPD0-2483		686.562
"CPD-19243"	CPD-19243		165.085
"CPD-1106"	CPD-1106	"(2-aminoethane)phosphonate" // "ciliatine" // "2-aminoethylphosphonate" // "2-AEPn" // "2-aminoethylphosphonic acid" // "phosphonoethylamine"	125.064
"CPD-10208"	CPD-10208	"BDHMF"	168.192
"CPD-10206"	CPD-10206	"EDHMF"	140.138
"CPD-6761"	CPD-6761	"2-hydroxypenta-2,4-dienoate" // "2-hydroxy-2,4-pentadienoate" // "2-hydroxypent-2,4-dienoate" // "2-hydroxy-2,4-pentadienoic acid" // "<i>cis</i>-2-hydroxypenta-2,4-dienoate" // "HPD"	113.093
"CPD-13034"	CPD-13034	"cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol" // "<i>cis</i>-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol" // "3-(<i>cis</i>-5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate" // "(2<i>E</i>)-3-[(5<i>R</i>,6<i>S</i>)-5,6-dihydroxycyclohexa-1,3-dien-1-yl]prop-2-enoate"	181.168
"T2-DECENOYL-COA"	T2-DECENOYL-COA	"2E-decenoyl-CoA" // "2-<i>trans</i>-decenoyl-CoA" // "trans-&Delta;<SUP>2</SUP>-decenoyl-CoA" // "<i>trans</i>-dec-2-enoyl-CoA"	915.738
"CPD-7222"	CPD-7222	"(2<i>E</i>)-dodecenoyl-CoA" // "2-<i>trans</i>-dodecenoyl-CoA" // "<i>trans</i>-dodec-2-enoyl-CoA"	943.792
