# Modified from EV table 6-2 (https://www.embopress.org/action/downloadSupplement?doi=10.15252%2Fmsb.20167402&file=msb167402-sup-0007-TableEV6.xlsx)
Metabolite name	 M9 galactose 2g per L	 M9 acetate 3.6g per L	 M9 mannose 2g per L	 M9 pyruvate 5g per L	 M9 lactate 5g per L	 M9 glycerol 2g per L	 M9 sorbitol 2g per L	 M9 fructose 2g per L	 M9 succinate 2g per L	 M9 glcNAc 2g per L	 M9 mannitol 2g per L	 M9 gluconate 2g per L	 M9 glucose 2g per L first experiment	 M9 G6P 2g per L	 M9 glucose 2g per L plus CAA 2g per L	 M9 glucose 0 mueM Chloramphenicol	 M9 glucose 0.75 mueM Chloramphenicol	 M9 glucose 1 mueM Chloramphenicol	 M9 glucose 2 mueM Chloramphenicol	 M9 glucose 4 mueM Chloramphenicol	 M9 glucose 6 mueM Chloramphenicol	 M9 glucose 8 mueM Chloramphenicol	 M9 glucose 10 mueM Chloramphenicol
Glycerol-P	1.010	0.990	0.996	0.898	0.813	15.498	1.221	1.167	0.897	0.983	1.047	0.993	1.000	1.103	1.523	1.268	1.399	1.436	1.607	1.510	1.342	1.304	1.281
F1P	0.571	0.296	1.162	0.068	0.146	2.431	1.327	10.307	0.450	0.887	0.939	1.435	1.000	2.859	1.007	1.855	1.909	1.881	2.272	2.412	1.729	2.174	1.482
Ga6P	1.099	0.901	0.693	0.849	0.948	0.650	0.991	0.860	1.484	4.420	0.804	1.246	1.000	5.516	1.374	1.030	1.057	1.206	1.060	1.321	1.029	0.837	0.924
G6P	-1.000	0.707	0.703	0.562	0.817	0.485	0.566	0.357	1.111	0.471	0.467	0.591	1.000	-1.000	1.383	1.084	1.291	1.161	1.179	1.099	0.995	1.033	1.003
F6P	-1.000	1.190	2.629	0.908	1.412	0.876	1.451	1.127	1.884	1.135	0.962	1.062	1.000	-1.000	1.297	0.961	1.238	0.965	1.086	1.088	0.818	1.012	0.871
FBP	0.414	0.108	0.617	0.024	0.062	1.080	1.076	0.799	0.142	0.818	0.913	0.831	1.000	2.654	1.062	1.011	1.344	1.361	1.436	1.334	1.306	1.153	1.110
DHAP	0.617	0.560	0.897	0.232	0.318	2.491	1.366	1.045	0.674	0.888	1.076	1.348	1.000	2.382	1.293	0.969	1.225	1.271	1.329	1.426	1.413	1.485	1.541
BPG	1.484	0.747	1.131	0.639	0.847	3.008	1.029	1.606	1.038	0.708	0.804	1.376	1.000	1.183	1.637	1.473	1.140	1.452	1.496	1.832	2.075	1.841	1.867
xPG	0.896	0.968	1.030	0.750	0.714	1.618	0.792	0.977	1.567	0.830	0.735	1.251	1.000	1.475	1.158	0.928	1.125	1.154	1.248	1.343	1.370	1.533	1.658
PEP	4.112	7.981	3.728	6.588	6.176	4.677	1.291	1.725	15.443	0.756	1.081	2.434	1.000	2.351	2.640	1.072	1.049	0.976	1.079	1.681	1.774	2.028	2.380
6PG	0.965	0.382	0.478	0.225	0.341	0.246	0.358	0.287	0.410	0.539	0.529	2.507	1.000	2.897	1.220	0.602	0.966	0.857	1.068	1.000	0.707	0.779	0.776
Ru5P	0.602	0.273	0.450	0.082	0.183	0.332	0.594	0.258	0.360	0.610	0.650	1.719	1.000	2.512	0.782	1.084	1.294	1.218	1.412	1.395	1.193	1.235	1.087
R5P	0.521	0.290	0.454	0.094	0.211	0.312	0.592	0.263	0.382	0.604	0.607	1.780	1.000	1.933	1.342	0.905	1.130	1.035	1.032	1.072	0.972	0.918	0.803
Xu5P	0.564	0.299	0.405	0.056	0.177	0.249	0.538	0.220	0.357	0.713	0.606	1.914	1.000	2.270	0.865	0.998	1.093	1.167	1.185	1.187	1.202	1.019	0.969
R1P	2.332	1.409	1.350	2.588	1.045	1.856	1.120	0.838	1.129	0.954	1.035	1.318	1.000	2.618	2.474	1.407	1.365	1.529	1.745	1.998	2.920	2.845	2.869
S7P	0.963	0.762	1.064	0.475	0.938	0.279	1.151	0.231	1.088	0.757	0.854	1.650	1.000	2.157	0.999	1.066	1.231	1.313	1.343	1.166	1.183	1.112	0.875
Lactate	1.916	1.702	1.223	-1.000	-1.000	1.151	0.847	0.991	1.160	1.461	1.404	1.177	1.000	4.260	1.552	1.508	0.929	1.023	1.329	0.943	1.008	0.999	1.206
