# Modified from EV table 6-1 (https://www.embopress.org/action/downloadSupplement?doi=10.15252%2Fmsb.20167402&file=msb167402-sup-0007-TableEV6.xlsx)
Metabolite name	 M9 galactose 2g per L	 M9 acetate 3.6g per L	 M9 mannose 2g per L	 M9 pyruvate 5g per L	 M9 lactate 5g per L	 M9 glycerol 2g per L	 M9 sorbitol 2g per L	 M9 fructose 2g per L	 M9 succinate 2g per L	 M9 glcNAc 2g per L	 M9 mannitol 2g per L	 M9 gluconate 2g per L	 M9 glucose 2g per L first experiment	 M9 G6P 2g per L	 M9 glucose 2g per L plus CAA 2g per L	 M9 glucose 0 mueM Chloramphenicol	 M9 glucose 0.75 mueM Chloramphenicol	 M9 glucose 1 mueM Chloramphenicol	 M9 glucose 2 mueM Chloramphenicol	 M9 glucose 4 mueM Chloramphenicol	 M9 glucose 6 mueM Chloramphenicol	 M9 glucose 8 mueM Chloramphenicol	 M9 glucose 10 mueM Chloramphenicol
Glycerol-P	0.304	0.297	0.299	0.270	0.244	4.656	0.367	0.351	0.270	0.295	0.315	0.298	0.300	0.331	0.458	0.381	0.420	0.431	0.483	0.454	0.403	0.392	0.385
F1P	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Ga6P	0.160	0.131	0.101	0.123	0.138	0.094	0.144	0.125	0.215	0.642	0.117	0.181	0.145	0.801	0.200	0.150	0.154	0.175	0.154	0.192	0.149	0.121	0.134
G6P	-1.000	0.698	0.694	0.555	0.806	0.478	0.559	0.352	1.097	0.465	0.461	0.583	0.987	-1.000	1.365	1.070	1.274	1.146	1.164	1.085	0.982	1.020	0.991
F6P	-1.000	0.379	0.837	0.289	0.450	0.279	0.462	0.359	0.600	0.361	0.306	0.338	0.318	-1.000	0.413	0.306	0.394	0.307	0.346	0.347	0.261	0.322	0.277
FBP	0.571	0.149	0.851	0.033	0.086	1.491	1.485	1.103	0.196	1.128	1.260	1.147	1.380	3.661	1.465	1.395	1.855	1.878	1.982	1.841	1.802	1.590	1.532
DHAP	0.573	0.519	0.832	0.215	0.295	2.312	1.268	0.970	0.626	0.825	0.999	1.251	0.928	2.210	1.201	0.900	1.137	1.180	1.234	1.324	1.311	1.378	1.430
BPG	0.022	0.011	0.017	0.009	0.013	0.045	0.015	0.024	0.015	0.010	0.012	0.020	0.015	0.018	0.024	0.022	0.017	0.022	0.022	0.027	0.031	0.027	0.028
xPG	0.608	0.657	0.698	0.508	0.484	1.097	0.537	0.662	1.063	0.563	0.498	0.848	0.678	1.000	0.786	0.630	0.763	0.783	0.847	0.911	0.929	1.040	1.125
PEP	0.199	0.387	0.181	0.320	0.300	0.227	0.063	0.084	0.749	0.037	0.052	0.118	0.049	0.114	0.128	0.052	0.051	0.047	0.052	0.082	0.086	0.098	0.115
6PG	0.371	0.147	0.184	0.086	0.131	0.094	0.137	0.110	0.158	0.207	0.204	0.964	0.384	1.114	0.469	0.232	0.372	0.330	0.410	0.385	0.272	0.300	0.299
Ru5P	0.207	0.094	0.154	0.028	0.063	0.114	0.204	0.089	0.124	0.209	0.223	0.591	0.344	0.863	0.269	0.373	0.445	0.419	0.485	0.479	0.410	0.424	0.373
R5P	0.100	0.056	0.087	0.018	0.041	0.060	0.114	0.051	0.074	0.116	0.117	0.343	0.193	0.373	0.259	0.174	0.218	0.200	0.199	0.207	0.187	0.177	0.155
Xu5P	0.089	0.047	0.064	0.009	0.028	0.039	0.085	0.035	0.056	0.113	0.096	0.303	0.158	0.359	0.137	0.158	0.173	0.185	0.188	0.188	0.190	0.161	0.153
R1P	0.007	0.004	0.004	0.008	0.003	0.005	0.003	0.002	0.003	0.003	0.003	0.004	0.003	0.008	0.007	0.004	0.004	0.004	0.005	0.006	0.009	0.008	0.008
