# Created from running fit_sim_data_1.py with the --optimize-trna-charging option, on Sun Sep 11 16:41:13 2022.
"Synthetase"	"k_cat (1/units.s)"	"K_A (units.umol/units.L)"	"K_T"	"f basal"	"f with_aa"
"ALAS-CPLX[c]"	476.05681788094125	1242.7689954661826	{"alaT-tRNA[c]": 21.917449550884747, "alaU-tRNA[c]": 21.917449550884747, "alaV-tRNA[c]": 21.917449550884747, "alaW-tRNA[c]": 3.9756727391423943, "alaX-tRNA[c]": 3.9756727391423943}	{"alaT-tRNA[c]": 0.19869553935561546, "alaU-tRNA[c]": 0.19869553935561546, "alaV-tRNA[c]": 0.19869553935561546, "alaW-tRNA[c]": 0.19883478859455386, "alaX-tRNA[c]": 0.19883478859455386}	{"alaT-tRNA[c]": 0.19598316886803144, "alaU-tRNA[c]": 0.19598316886803144, "alaV-tRNA[c]": 0.19598316886803144, "alaW-tRNA[c]": 0.20310037010431864, "alaX-tRNA[c]": 0.20310037010431864}
"ARGS-MONOMER[c]"	210.98877840244637	199.18222871718385	{"argQ-tRNA[c]": 7.52161345629933, "argU-tRNA[c]": 57.37169156173537, "argV-tRNA[c]": 7.52161345629933, "argW-tRNA[c]": 558.4752622054999, "argX-tRNA[c]": 26.311122849870628, "argY-tRNA[c]": 7.52161345629933, "argZ-tRNA[c]": 7.52161345629933}	{"argQ-tRNA[c]": 0.11851807367757616, "argU-tRNA[c]": 0.11294074492335818, "argV-tRNA[c]": 0.11851807367757616, "argW-tRNA[c]": 0.1793871788266344, "argX-tRNA[c]": 0.11923144199043731, "argY-tRNA[c]": 0.11851807367757616, "argZ-tRNA[c]": 0.11851807367757616}	{"argQ-tRNA[c]": 0.11035469224763247, "argU-tRNA[c]": 0.10455991639594607, "argV-tRNA[c]": 0.11035469224763247, "argW-tRNA[c]": 0.16542052893607462, "argX-tRNA[c]": 0.11948853911447768, "argY-tRNA[c]": 0.11035469224763247, "argZ-tRNA[c]": 0.11035469224763247}
"ASNS-CPLX[c]"	140.3239667865895	865.8260301984418	{"asnT-tRNA[c]": 10.377815737350941, "asnU-tRNA[c]": 10.377815737350941, "asnV-tRNA[c]": 10.377815737350941, "RNA0-304[c]": 10.377815737350941}	{"asnT-tRNA[c]": 0.3131850437813924, "asnU-tRNA[c]": 0.3131850437813924, "asnV-tRNA[c]": 0.3131850437813924, "RNA0-304[c]": 0.3131850437813924}	{"asnT-tRNA[c]": 0.37596119106907644, "asnU-tRNA[c]": 0.37596119106907644, "asnV-tRNA[c]": 0.37596119106907644, "RNA0-304[c]": 0.37596119106907644}
"ASPS-CPLX[c]"	579.7735996419383	2130.9131271522256	{"aspT-tRNA[c]": 12.876740365369919, "aspU-tRNA[c]": 12.876740365369919, "aspV-tRNA[c]": 12.876740365369919}	{"aspT-tRNA[c]": 0.16824333957989915, "aspU-tRNA[c]": 0.16824333957989915, "aspV-tRNA[c]": 0.16824333957989915}	{"aspT-tRNA[c]": 0.17938976501073556, "aspU-tRNA[c]": 0.17938976501073556, "aspV-tRNA[c]": 0.17938976501073556}
"CYSS-MONOMER[c]"	69.44687999356155	6.2823775910653215	{"cysT-tRNA[c]": 10.590831109818014}	{"cysT-tRNA[c]": 0.15179798213556406}	{"cysT-tRNA[c]": 0.19000919166307872}
"GLURS-MONOMER[c]"	59.130887226664896	37449.66064815518	{"gltT-tRNA[c]": 7.8385965440169825, "gltU-tRNA[c]": 7.8385965440169825, "gltV-tRNA[c]": 7.8385965440169825, "gltW-tRNA[c]": 7.8385965440169825}	{"gltT-tRNA[c]": 0.19303725151681514, "gltU-tRNA[c]": 0.19303725151681514, "gltV-tRNA[c]": 0.19303725151681514, "gltW-tRNA[c]": 0.19303725151681514}	{"gltT-tRNA[c]": 0.20796947564833043, "gltU-tRNA[c]": 0.20796947564833043, "gltV-tRNA[c]": 0.20796947564833043, "gltW-tRNA[c]": 0.20796947564833043}
"GLNS-MONOMER[c]"	208.54450891451893	5891.2026847542165	{"glnU-tRNA[c]": 11.789195921416557, "glnV-tRNA[c]": 14.728109634082383, "glnW-tRNA[c]": 11.789195921416557, "glnX-tRNA[c]": 14.728109634082383}	{"glnU-tRNA[c]": 0.2861504909147174, "glnV-tRNA[c]": 0.21762329572406564, "glnW-tRNA[c]": 0.2861504909147174, "glnX-tRNA[c]": 0.21762329572406564}	{"glnU-tRNA[c]": 0.27696621807140615, "glnV-tRNA[c]": 0.20098722520558354, "glnW-tRNA[c]": 0.27696621807140615, "glnX-tRNA[c]": 0.20098722520558354}
"GLYS-CPLX[c]"	169.94136811889862	434.04609681918265	{"glyT-tRNA[c]": 33.60405548322834, "glyU-tRNA[c]": 24.734561674906516, "glyV-tRNA[c]": 6.183190814685005, "glyW-tRNA[c]": 6.183190814685005, "glyX-tRNA[c]": 6.183190814685005, "glyY-tRNA[c]": 6.183190814685005}	{"glyT-tRNA[c]": 0.2734629477577414, "glyU-tRNA[c]": 0.09448019766238461, "glyV-tRNA[c]": 0.15938674671234723, "glyW-tRNA[c]": 0.15938674671234723, "glyX-tRNA[c]": 0.15938674671234723, "glyY-tRNA[c]": 0.15938674671234723}	{"glyT-tRNA[c]": 0.29883746044401266, "glyU-tRNA[c]": 0.10550254937574609, "glyV-tRNA[c]": 0.16772670149754754, "glyW-tRNA[c]": 0.16772670149754754, "glyX-tRNA[c]": 0.16772670149754754, "glyY-tRNA[c]": 0.16772670149754754}
"HISS-CPLX[c]"	386.2083914658153	87.98410008544961	{"hisR-tRNA[c]": 10.403862989153824}	{"hisR-tRNA[c]": 0.32718533711923725}	{"hisR-tRNA[c]": 0.34193310649378683}
"ILES-MONOMER[c]"	41.40987037184108	0.014172155256699317	{"ileT-tRNA[c]": 4.381343567846773, "ileU-tRNA[c]": 4.381343567846773, "ileV-tRNA[c]": 4.381343567846773, "ileX-tRNA[c]": 63.61153511419024, "RNA0-305[c]": 63.61153511419024}	{"ileT-tRNA[c]": 0.194933092700779, "ileU-tRNA[c]": 0.194933092700779, "ileV-tRNA[c]": 0.194933092700779, "ileX-tRNA[c]": 0.08752949872644421, "RNA0-305[c]": 0.08752949872644421}	{"ileT-tRNA[c]": 0.2513772600059707, "ileU-tRNA[c]": 0.2513772600059707, "ileV-tRNA[c]": 0.2513772600059707, "ileX-tRNA[c]": 0.10475993528572251, "RNA0-305[c]": 0.10475993528572251}
