"process"	"stoichiometry"	"id"	"dir"
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "1-PFK-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "1-PFK", "location": "c", "form": "mature"}]	"1-PFK_RXN"	1
"complexation"	[{"type": "proteincomplex", "coeff": -1.0, "molecule": "E2O", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": -1.0, "molecule": "E3-CPLX", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": -1.0, "molecule": "E1O", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "2OXOGLUTARATEDEH-CPLX", "location": "c", "form": "mature"}]	"2OXOGLUTARATEDEH-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "3-ISOPROPYLMALDEHYDROG-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "3-ISOPROPYLMALDEHYDROG-CPLX", "location": "c", "form": "mature"}]	"3-ISOPROPYLMALDEHYDROG-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "LEUC-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "LEUD-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "3-ISOPROPYLMALISOM-CPLX", "location": "c", "form": "mature"}]	"3-ISOPROPYLMALISOM-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -10.0, "molecule": "3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "3-METHYL-2-OXOBUT-OHCH3XFER-CPLX", "location": "c", "form": "mature"}]	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "3-OXOACYL-ACP-SYNTHII-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "3-OXOACYL-ACP-SYNTHII-CPLX", "location": "c", "form": "mature"}]	"3-OXOACYL-ACP-SYNTHII-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -4.0, "molecule": "6PFK-1-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "6PFK-1-CPX", "location": "c", "form": "mature"}]	"6PFK-1-CPX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "6PFK-2-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "6PFK-2-CPX", "location": "c", "form": "mature"}]	"6PFK-2-CPX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "6PGLUCONDEHYDROG-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "6PGLUCONDEHYDROG-CPLX", "location": "c", "form": "mature"}]	"6PGLUCONDEHYDROG-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -4.0, "molecule": "7-ALPHA-HYDROXYSTEROID-DEH-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "7-ALPHA-HYDROXYSTEROID-DEH-CPLX", "location": "c", "form": "mature"}]	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "7KAPSYN-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "7KAPSYN-CPLX", "location": "c", "form": "mature"}]	"7KAPSYN-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "FEPG-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "FEPD-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "FEPC-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "FEPB-MONOMER", "location": "p", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-10-CPLX", "location": "i", "form": "mature"}]	"ABC-10-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "FHUC-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "FHUB-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "FHUD-MONOMER", "location": "p", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-11-CPLX", "location": "i", "form": "mature"}]	"ABC-11-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "GLNH-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "GLNQ-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "GLNP-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-12-CPLX", "location": "i", "form": "mature"}]	"ABC-12-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "G6359-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "GLTL-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "GLTK-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "GLTJ-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-13-CPLX", "location": "i", "form": "mature"}]	"ABC-13-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "HISP-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "HISQ-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "HISJ-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "HISM-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-14-CPLX", "location": "i", "form": "mature"}]	"ABC-14-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "LIVJ-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "LIVH-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "LIVG-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "LIVF-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "LIVM-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-15-CPLX", "location": "i", "form": "mature"}]	"ABC-15-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "MALK-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "MALF-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "MALG-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "MALE-MONOMER", "location": "p", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-16-CPLX", "location": "i", "form": "mature"}]	"ABC-16-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "MGLA-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "MGLB-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "MGLC-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-18-CPLX", "location": "i", "form": "mature"}]	"ABC-18-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "MODA-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "MODB-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "MODC-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-19-CPLX", "location": "i", "form": "mature"}]	"ABC-19-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "ARAF-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "ARAG-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "ARAH-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-2-CPLX", "location": "i", "form": "mature"}]	"ABC-2-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "NIKD-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "NIKE-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "NIKB-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "NIKC-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "NIKA-MONOMER", "location": "p", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-20-CPLX", "location": "i", "form": "mature"}]	"ABC-20-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "YADG-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "YADH-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-21-CPLX", "location": "i", "form": "mature"}]	"ABC-21-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "OPPD-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "OPPF-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "OPPA-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "OPPC-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "OPPB-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-22-CPLX", "location": "i", "form": "mature"}]	"ABC-22-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -2.0, "molecule": "PHNC-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "PHND-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "PHNE-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-23-CPLX", "location": "i", "form": "mature"}]	"ABC-23-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "POTC-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "POTB-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "POTA-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "POTD-MONOMER", "location": "p", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-24-CPLX", "location": "i", "form": "mature"}]	"ABC-24-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "POTI-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "POTH-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "POTG-MONOMER", "location": "c", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "POTF-MONOMER", "location": "p", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-25-CPLX", "location": "i", "form": "mature"}]	"ABC-25-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "PROX-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "PROW-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "PROV-MONOMER", "location": "c", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-26-CPLX", "location": "i", "form": "mature"}]	"ABC-26-CPLX_RXN"	1
"complexation"	[{"type": "proteinmonomers", "coeff": -1.0, "molecule": "PSTS-MONOMER", "location": "p", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "PSTC-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -2.0, "molecule": "PSTB-MONOMER", "location": "i", "form": "mature"}, {"type": "proteinmonomers", "coeff": -1.0, "molecule": "PSTA-MONOMER", "location": "i", "form": "mature"}, {"type": "proteincomplex", "coeff": 1.0, "molecule": "ABC-27-CPLX", "location": "i", "form": "mature"}]	"ABC-27-CPLX_RXN"	1
