# Created with runscripts/reconstruction/metabolite_concentrations/merge_files.py reconstruction/ecoli/flat/metaboliteConcentrations.tsv runscripts/reconstruction/metabolite_concentrations/out/park_concentrations.tsv runscripts/reconstruction/metabolite_concentrations/out/lempp_concentrations.tsv runscripts/reconstruction/metabolite_concentrations/out/kochanowski_concentrations.tsv on Thu May 21 20:38:55 2020
"Metabolite"	"Bennett Concentration (units.mol/units.L)"	"Park Concentration (units.mol/units.L)"	"Lempp Concentration (units.mol/units.L)"	"Kochanowski Concentration (units.mol/units.L)"
"2-3-DIHYDROXYBENZOATE"	1.40e-4	1.38e-4	NaN	NaN
"2-KETOGLUTARATE"	4.40e-4	4.43e-4	NaN	2.63e-4
"2-PG"	NaN	9.18e-5	NaN	NaN
#unable to produce in metabolism# "23-DIPHOSPHOGLYCERATE"	NaN	8.29e-5	NaN	NaN
"2K-4CH3-PENTANOATE"	NaN	NaN	1.38e-4	NaN
"4-AMINO-BUTYRATE"	NaN	NaN	3.04e-4	NaN
"4-hydroxybenzoate"	5.20e-5	5.22e-5	NaN	NaN
"ACETOACETYL-COA"	2.20e-5	2.18e-5	NaN	NaN
"ACETYL-COA"	6.10e-4	6.06e-4	1.51e-3	NaN
"ACETYL-P"	1.10e-3	1.07e-3	NaN	NaN
"ADENINE"	1.50e-6	1.47e-6	8.98e-6	NaN
"ADENOSINE"	1.30e-7	1.31e-7	NaN	NaN
"ADP"	5.60e-4	5.55e-4	2.58e-4	6.74e-4
"ADP-D-GLUCOSE"	4.30e-6	4.27e-6	NaN	NaN
"AMP"	2.80e-4	2.81e-4	7.07e-5	NaN
"ANTHRANILATE"	3.50e-6	3.48e-6	NaN	NaN
"APS"	6.60e-6	6.63e-6	NaN	NaN
"ARG"	5.70e-4	5.69e-4	1.53e-4	NaN
"ASN"	5.10e-4	5.11e-4	4.99e-4	2.64e-4
"ATP"	9.60e-3	9.63e-3	1.55e-3	1.31e-3
"CAMP"	3.50e-5	3.52e-5	2.97e-6	2.00e-6
