# Generated by reconstruction/ecoli/scripts/nca/fold_changes.py on Mon Mar  1 12:14:12 2021
# Command: reconstruction/ecoli/scripts/nca/fold_changes.py --split -v -m robust_nca --robust-iterations 10 -i --iterative-iterations 1 --attenuation-only
"tRNA"	"Target"	"log2 FC"
"tRNA-His"	"hisA"	-2.87
"tRNA-His"	"hisB"	-2.53
"tRNA-His"	"hisC"	-2.78
"tRNA-His"	"hisD"	-2.65
"tRNA-His"	"hisF"	-2.81
"tRNA-His"	"hisG"	-2.95
"tRNA-His"	"hisH"	-2.7
"tRNA-His"	"hisI"	-2.6
"tRNA-Ile"	"ilvA"	-1.15
"tRNA-Ile"	"ilvD"	-1.97
"tRNA-Ile"	"ilvE"	-1.61
"tRNA-Ile"	"ilvM"	-0.54
"tRNA-Ile"	"thrA"	-2.47
"tRNA-Ile"	"thrB"	-2.34
"tRNA-Ile"	"thrC"	-2.39
"tRNA-Leu"	"ilvA"	-1.24
"tRNA-Leu"	"ilvB"	-2.73
"tRNA-Leu"	"ilvD"	-0.41
"tRNA-Leu"	"ilvE"	-0.9
"tRNA-Leu"	"ilvM"	-1.96
"tRNA-Leu"	"ilvN"	-2.59
"tRNA-Leu"	"leuA"	-2.56
"tRNA-Leu"	"leuB"	-2.43
"tRNA-Leu"	"leuC"	-2.61
"tRNA-Leu"	"leuD"	-2.4
"tRNA-Leu"	"uhpA"	-2.65
"tRNA-Leu"	"uhpB"	-2.37
"tRNA-Leu"	"uhpC"	-2.51
"tRNA-Phe"	"ihfA"	-1.79
"tRNA-Phe"	"pheS"	-1.69
"tRNA-Phe"	"pheT"	-1.75
"tRNA-Thr"	"thrA"	-2.73
"tRNA-Thr"	"thrB"	-2.58
"tRNA-Thr"	"thrC"	-2.64
"tRNA-Trp"	"trpA"	-2.88
"tRNA-Trp"	"trpB"	-2.8
"tRNA-Trp"	"trpC"	-2.84
"tRNA-Trp"	"trpD"	-2.74
"tRNA-Trp"	"trpE"	-2.58
"tRNA-Val"	"ilvA"	-1.46
"tRNA-Val"	"ilvB"	-1.55
"tRNA-Val"	"ilvD"	-1.54
"tRNA-Val"	"ilvE"	-1.58
"tRNA-Val"	"ilvM"	-1.46
"tRNA-Val"	"ilvN"	-1.47
"tRNA-Val"	"uhpA"	-1.51
"tRNA-Val"	"uhpB"	-1.34
"tRNA-Val"	"uhpC"	-1.43
