"id"	"common_name"	"synonyms"	"chemical_formula"	"mw"	
"--TRANS-ACENAPHTHENE-12-DIOL"	"(+/-)-<i>trans</i>-acenaphthene-1,2-diol"	["<i>trans</i>-1,2-acenaphthylene glycol"]	"C12H10O2"	186.21	
"1-2-Beta-D-Glucans"	"a 1,2-&beta;-D-glucan"	[]	null	null	
"1-2-Diglycerides"	"a 1,2-diglyceride"	["a 1,2-diacylglycerol"]	null	null	
"1-2-Mannan"	"a (1&rarr;2)-&beta;-D-mannan oligosaccharide"	["a (1-&rarr;2)-&beta;-oligomannan", "a &beta;-(1,2)-D-mannan"]	null	null	
"1-3-alpha-D-Glucans"	"a 1,3-&alpha;-D-glucan"	["1,3-&alpha;-D-glucan", "(1,3-&alpha;-D-glucosyl)<sub>(n)</sub>", "(1,3-&alpha;-D-glucosyl)<sub>(n+1)</sub>", "(1,3-&alpha;-D-glucosyl)<sub>(n-1)</sub>"]	null	null	
"1-3-beta-D-Glucans"	"a 1,3-&beta;-D-glucan"	["1,3-&beta;-D-glucan<sub>(n-1)</sub>", "1,3-&beta;-D-glucan<sub>(n+1)</sub>", "1,3-&beta;-D-glucan<sub>(n)</sub>", "(1,3-&beta;-D-Glucosyl)<sub>(n)</sub>", "(1,3-&beta;-D-Glucosyl)<sub>(n+1)</sub>", "(1,3-&beta;-D-Glucosyl)<sub>(n-1)</sub>"]	null	null	
"1-3-D-xylooligosaccharides"	"a (1->3)-&beta;-D-xylan oligosaccharide"	[]	null	null	
"1-3-Diglycerides"	"a 1,3-diglyceride"	["a 1,3-DAG", "a 1,3-diacyl-<i>sn</i>-glycerol", "a 1,3-diacylglycerol"]	null	null	
"1-4-alpha-D-galacturonosyl"	"a homogalacturonan"	["a 1,4-&alpha;-poly-D-galacturonate", "a 1,4-&alpha;-D-D-galactosyluronate"]	null	null	
"1-4-alpha-D-Glucan"	"a (1&rarr;4)-&alpha;-D-glucan"	["a 1,4-&alpha;-D-glucan"]	null	null	
"1-4-beta-D-Glucan"	"a 1,4-&beta;-D-glucan"	["(1,4-&beta;-D-glucosyl)<sub>(n)</sub>", "(1,4-&beta;-D-glucosyl)<sub>(n+1)</sub>", "(1,4-&beta;-D-glucosyl)<sub>(n-1)</sub>"]	null	null	
"1-4-beta-Xylan"	"a (1&rarr;4)-&beta;-D-xylan"	[]	null	null	
"1-4-D-xylooligosaccharides"	"a (1->4)-&beta;-D-xylan oligosaccharide"	[]	null	null	
"1-4-Mannan"	"a &beta;-(1,4)-D-mannan"	["a &beta;-1,4-mannoglycan"]	null	null	
"1-5-Galactofuran"	"a galactofuran ending with a galactofuranosyl (1->5) linkage"	["a &beta;-D-Gal<i>f</i>-(1->5)-&beta;-(D-Gal<i>f</i>)<sub>n-Rha-GlcNAc-P-P-C<sub>50</sub>"]	"C88H145NO36P2"	1855.046	
"1-5-L-Arabinooligosaccharides"	"an &alpha;(1,5)-L-arabinan"	["a (1->5)-&alpha;-L-arabinan"]	null	null	
"1-6-alpha-D-glucan"	"a (1&rarr;6)-&alpha;-D-glucan"	[]	null	null	
"1-6-anhydro-MurNAc-pentapeptide"	"1,6-anhydro-MurNAc-pentapeptide"	[]	null	null	
"1-6-anhydro-MurNAc-tetrapeptide"	"1,6-anhydro-MurNAc-tetrapeptide"	["1,6-anhydrous-N-Acetylmuramyl-tetrapeptide"]	null	null	
"1-6-beta-D-Glucan"	"a 1,6-&beta;-D-glucan"	["(1,6-&beta;-D-glucosyl)<sub>(n)</sub>", "(1,6-&beta;-D-glucosyl)<sub>(n+1)</sub>", "(1,6-&beta;-D-glucosyl)<sub>(n-1)</sub>"]	null	null	
"1-6-Galactofuran"	"a galactofuran ending with a galactofuranosyl (1->6) linkage"	["a &beta;-D-Gal<i>f</i>-(1->6)-&beta;-(D-Gal<i>f</i>)<sub>n-Rha-GlcNAc-P-P-C<sub>50</sub>"]	"C82H135NO31P2"	1692.904	
"1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC"	"a 1-acyl-2-linoleoyl-<i>sn</i>-glycero-3-phosphocholine"	[]	null	null	
"1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL"	"a 1-acyl-2-oleoyl-<i>sn</i>-glycero-3-phosphocholine"	[]	null	null	
"1-acyl-2-palmitoleoyl-glycerolipids"	"a 1-acyl-2-palmitoleoyl-[glycerolipid]"	[]	null	null	
"1-acyl-2-palmitoyl-glycerolipids"	"1-acyl-2-palmitoyl-[glycerolipid]"	[]	null	null	
"1-Acyl-sn-glycero-3-phosphocholines"	"a 1-acyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine"	[]	null	null	
"1-Acyl-sn-glycerols"	"a 1-acyl-<i>sn</i>-glycerol"	[]	null	null	
"1-Alkenes"	"a 1-alkene"	["an &alpha; alkene"]	null	null	
"1-ALKENYL-2-ACYLGLYCEROL"	"a 2-acyl-1-Z-alk-1-enyl-<i>sn</i>-glycerol"	["a (Z) 2-acyl1-alkenyl-<i>sn</i>-glycerol"]	null	null	
"1-Alkenyl-phosphoglycerol"	"a 1-O-(alk-1-enyl)-<i>sn</i>-3-phosphoglycerol"	["a 1-alkenylphosphoglycerol"]	null	null	
"1-Alkenylglycerophosphoethanolamines"	"a 1-O-(alk-1-enyl)-<i>sn</i>-glycero-3-phosphoethanolamine"	["a 1-alkenylglycerophosphoethanolamine"]	null	null	
"1-Alkyl-2-acetyl-sn-glycero-3-phosphates"	"a 1-alkyl-2-acetyl-<i>sn</i>-glycero 3-phosphate"	[]	null	null	
"1-Alkyl-2-acyl-glycerol-3-phosphate"	"a 2-acyl-1-alkyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"1-Alkyl-2-acyl-glycerol-P-Etn"	"a plasmanylethanolamine"	["an <i>O</i>-1-alkyl-2-acyl-<i>sn</i>-glycero-3-phosphoethanolamine", "a 2-acyl-1-alkyl-<i>sn</i>-glycero-3-phosphoethanolamine"]	null	null	
"1-ALKYL-GLYCERONE-3-PHOSPHATE"	"a 1-alkyl-glycerone 3-phosphate"	["a dihydroxyacetone phosphate alkyl ether", "an alkyl-glycerone 3-phosphate", "an O-alkylglycerone phosphate"]	null	null	
"1-Alkyl-sn-glycero-3-phosphocholines"	"a 1-alkyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine"	["1-radyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine", "1-organyl-2-lyso-<i>sn</i>-glycero-3-phosphocholine"]	null	null	
"1-Alkyl-sn-glycerol-3-phosphates"	"a 1-alkyl-<i>sn</i>-glycerol 3-phosphate"	["a 1-alkyl-sn-glycerol 3-phosphate", "1-O-alkyl-sn-glycerol 3-phosphate"]	null	null	
"1-alpha-Linolenoyl-2-acyl-glycerolipids"	"a 1-&alpha;-linolenoyl 2-acyl-[glycerolipid]"	[]	null	null	
"1-Alpha-Linolenoyl-L-Phosphatidate"	"a 1-&alpha;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"1-AMINO-PROPAN-2-OL"	"(<i>R</i>)-1-aminopropan-2-ol"	["(<i>R</i>)-1-aminopropanol", "D-1-amino-2-propanol", "D-1-aminopropan-2-ol"]	"C3H10NO"	76.118	
"1-AMINO-PROPAN-2-ONE-3-PHOSPHATE"	"3-amino-1-hydroxyacetone 1-phosphate"	["1-amino-propan-2-one 3-phosphate", "3-amino-2-oxopropyl phosphate"]	"C3H7NO5P"	168.066	
"1-Benzopyrans"	"a 1-benzopyran"	[]	null	null	
"1-BETA-D-GALACTOSYL-2-2-HYDROXYACYLS"	"a 1-(&beta;-D-galactosyl)-2-(2-hydroxyacyl)sphingosine"	[]	null	null	
"1-CHLORO-24-DINITROBENZENE"	"1-chloro-2,4-dinitrobenzene"	["CDNB"]	"C6H3N2O4Cl"	202.554	
"1-DEOXYXYLONOJIRIMYCIN"	"1-deoxyxylonojirimycin"	[]	"C5H12NO3"	134.155	
"1-ETHYLADENINE"	"<i>N</i><sup>1</sup>-ethyladenine"	[]	"C7H9N5"	163.182	
"1-gamma-linolenoyl-2-acyl-glycerolipids"	"a 1-&gamma;-linolenoyl 2-acyl-[glycerolipid]"	[]	null	null	
"1-gamma-Linolenoyl-L-Phosphatidate"	"a 1-&gamma;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"1-Haloalkanes"	"a 1-haloalkane"	[]	null	null	
"1-Hydroxy-2-oxolimonenes"	"a 1-hydroxymenth-8-en-2-one"	["a 1-hydroxy-2-oxolimonene"]	"C10H16O2"	168.235	
"1-KETO-2-METHYLVALERATE"	"(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate"	["(<i>R</i>)-2,3-dihydroxy-3-methylvalerate"]	"C6H11O4"	147.15	
"1-Linoleoyl-2-acyl-glycerolipids"	"a 1-linoleoyl 2-acyl-[glycerolipid]"	[]	null	null	
"1-Linoleoyl-L-Phosphatidate"	"a 1-linoleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"1-Lyso-phospholipids"	"a 1-lyso-phospholipid"	[]	null	null	
"1-Lysophosphatidylglycerols"	"a 2-acyl-1-lyso-phosphatidylglycerol"	["a 1-lyso-2-acyl-<i>sn</i>-glycero-3-phosphoglycerol"]	null	null	
"1-Lysophosphatidylserines"	"a 2-acyl-1-lyso-phosphatidylserine"	["a 2-acyl-1-lyso-<i>sn</i>-glycero-3-phospho-L-serine"]	null	null	
"1-O-ALKYL-2-ACETYL-3-ACYL-SN-GLYCEROL"	"a 2-acetyl-3-acyl-1-<i>O</i>-alkyl-<i>sn</i>-glycerol"	[]	null	null	
"1-O-ALKYL-2-ACETYL-SN-GLYCEROL"	"1-<i>O</i>-alkyl-2-acetyl-<i>sn</i>-glycerol"	["a 1-alkyl-2-acetyl-<i>sn</i>-glycerol"]	null	null	
"1-oleoyl-2-acyl-glycerolipids"	"a 1-oleoyl 2-acyl-[glycerolipid]"	[]	null	null	
"1-Oleoyl-L-Phosphatidate"	"a 1-oleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"1-Palmitoyl-2-Acyl-Glycerol-P"	"a 1-palmitoyl-2-acyl-<i>sn</i>-glycerol 3-phosphate"	[]	null	null	
"1-PALMITOYLGLYCEROL-3-PHOSPHATE"	"1-palmitoyl-<i>sn</i>-glycerol 3-phosphate"	[]	"C19H37O7P"	408.471	
"1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH"	"a 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate"	["a 1-phosphatidyl-myo-inositol 3,4-bisphosphate", "1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4'-bisphosphate)", "PtdIns(3,4)P<sub>2</sub>"]	null	null	
"1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH"	"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate"	["PtdIns(3,5)P<sub>2</sub>"]	null	null	
