# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:53:47
"id"	"stoichiometry"	"common_name"
"CPLX-123_RXN"	{"CPLX-123": 1, "PC00033": null, "HYPOXANTHINE": null}	"PurR-Hypoxanthine DNA-binding transcriptional repressor"
"CPLX-124_CPD0-1112_RXN"	{"CPLX-124": 1, "CPD0-1112": null, "PC00086": null}	"RhaS-L-rhamnose DNA-binding transcriptional activator"
"CPLX-124_RHAMNOSE_RXN"	{"CPLX-124": 1, "RHAMNOSE": null, "PC00086": null}	"RhaS-L-rhamnose DNA-binding transcriptional activator"
"CPLX-125_RXN"	{"CPLX-125": 1, "TRP": null, "PC00007": null}	"TrpR-Tryptophan DNA-binding transcriptional repressor"
"CPLX-127_RXN"	{"CPLX-127": 1, "PC00061": null, "FRU1P": null}	"Cra-fructose-1-phosphate"
"CPLX-172_RXN"	{"CPLX-172": 1, "PC00003": null, "ARABINOSE": null}	"AraC-L-arabinose DNA-binding transcriptional activator"
"CPLX0-226_RXN"	{"CPLX0-226": 1, "PC00004": null, "CAMP": null}	"CRP-cAMP DNA-binding transcriptional dual regulator"
"CPLX0-228_RXN"	{"CPLX0-228": 1, "PC00005": null, "ARG": null}	"ArgR-L-arginine DNA-binding transcriptional dual regulator"
"CPLX0-2781_RXN"	{"CPLX0-2781": 1, "PC00040": null, "ACETYLSERINE": null}	"CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator"
"CPLX0-6_RXN"	{"CPLX0-6": 1, "CPLX0-2541": null, "CPD-3": null}	"ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding transcriptional dual regulator"
"CPLX0-7541_RXN"	{"CPLX0-7541": 1, "ALAS-MONOMER": null, "L-ALPHA-ALANINE": null}	"AlaS-L-alanine DNA-binding transcriptional repressor"
"CPLX0-7605_RXN"	{"CPLX0-7605": 1, "PD04099": null, "PYRUVATE": null}	"IclR-pyruvate DNA-binding transcriptional repressor"
"CPLX0-7606_RXN"	{"CPLX0-7606": 1, "PD04099": null, "GLYOX": null}	"IclR-glyox"
"CPLX0-7618_RXN"	{"CPLX0-7618": 1, "G7137-MONOMER": null, "NI+2": null}	"RcnR-nickel"
"CPLX0-7619_RXN"	{"CPLX0-7619": 1, "G7137-MONOMER": null, "CO+2": null}	"RcnR-Co<SUP>2+</SUP>"
"CPLX0-7639_RXN"	{"CPLX0-7639": 1, "FE+2": -2, "PD00260": -2}	"Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator"
"CPLX0-7650_RXN"	{"CPLX0-7650": 1, "PD00444": null, "FUCULOSE-1P": null}	"FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator"
"CPLX0-7651_RXN"	{"CPLX0-7651": 1, "PD01352": null, "URACIL": null}	"RutR-uracil"
"CPLX0-7670_RXN"	{"CPLX0-7670": 1, "CPLX0-7669": null, "LYS": null}	"ArgP-lysine"
"CPLX0-7671_RXN"	{"CPLX0-7671": 1, "CPLX0-7669": null, "ARG": null}	"ArgP-arginine  DNA-binding transcriptional dual regulator"
"CPLX0-7677_RXN"	{"CPLX0-7677": 1, "EG11969-MONOMER": null, "ZN+2": null}	"ZntR-Zn<sup>2+</sup> transcriptional activator"
"CPLX0-7680_RXN"	{"CPLX0-7680": 1, "CPLX0-7679": null, "ZN+2": -4}	"Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor"
"CPLX0-7681_RXN"	{"CPLX0-7681": 1, "EG11146-MONOMER": null, "XANTHOSINE": null}	"XapR-xanthosine DNA-binding transcriptional activator"
"CPLX0-7689_RXN"	{"CPLX0-7689": 1, "EG11962-MONOMER": null, "L-LACTATE": null}	"DNA-binding transcriptional dual regulator LldR-L-lactate"
"CPLX0-7701_RXN"	{"CPLX0-7701": 1, "G6420-MONOMER": null, "MN+2": null}	"MntR-Mn<sup>2+</sup>"
"CPLX0-7702_RXN"	{"CPLX0-7702": 1, "G6263-MONOMER": null, "CU+": null}	"CueR-Cu<sup>+</sup>"
"CPLX0-7714_RXN"	{"CPLX0-7714": 1, "CPLX0-7713": null, "D-SERINE": null}	"DsdC-D-serine DNA-binding transcriptional dual regulator"
"CPLX0-7715_RXN"	{"CPLX0-7715": 1, "PD00200": null, "2-ACETO-LACTATE": null}	"IlvY-2-acetolactate DNA-binding transcriptional dual regulator"
"CPLX0-7716_RXN"	{"CPLX0-7716": 1, "G6889-MONOMER": null, "METHYL-GLYOXAL": null}	"NemR-methylglyoxal"
"CPLX0-7729_RXN"	{"CPLX0-7729": 1, "G6720-MONOMER": null, "CPD-207": null}	"PaaX-phenylacetyl-CoA"
"CPLX0-7735_RXN"	{"CPLX0-7735": 1, "CPLX0-7733": null, "ASN": null}	"AsnC-L-asparagine"
"CPLX0-7736_RXN"	{"CPLX0-7736": 1, "EG12235-MONOMER": null, "CPD-763": null}	"ArsR-arsenite"
"CPLX0-7739_RXN"	{"CPLX0-7739": 1, "EG12235-MONOMER": null, "ANTIMONITE": null}	"ArsR-antimonite"
"CPLX0-7742_RXN"	{"CPLX0-7742": 1, "CPLX0-7418": null, "CPD-8179": null}	"MprA-2,4-dinitrophenol"
"CPLX0-7743_RXN"	{"CPLX0-7743": 1, "CPLX0-7418": null, "CPD-7970": null}	"MprA-CCCP"
"CPLX0-7746_RXN"	{"CPLX0-7746": 1, "G7262-MONOMER": null, "CPD0-881": null}	"MurR-MurNAc-6-P"
"CPLX0-7749_RXN"	{"CPLX0-7749": 1, "G6799-MONOMER": null, "DIHYDROXYPENTANEDIONE": null}	"LsrR-DHPD"
"CPLX0-7750_RXN"	{"CPLX0-7750": 1, "G6799-MONOMER": null, "CPD-10551": null}	"LsrR-P-DPD"
"CPLX0-7751_RXN"	{"CPLX0-7751": 1, "EG11212-MONOMER": null, "NITRIC-OXIDE": null}	"NsrR-nitric oxide"
"CPLX0-7752_RXN"	{"CPLX0-7752": 1, "CPLX0-7759": null, "HOMO-CYS": null}	"MetR-L-homocysteine"
