"id"	"stoichiometry"	"common_name"	
"1-PFK_RXN"	{"1-PFK":1,"1-PFK-MONOMER":-2}	null	
"2OXOGLUTARATEDEH-CPLX_RXN"	{"2OXOGLUTARATEDEH-CPLX":1,"E1O":-1,"E2O":-1,"E3-CPLX":-1}	"2-oxoglutarate dehydrogenase complex"	
"3-ISOPROPYLMALDEHYDROG-CPLX_RXN"	{"3-ISOPROPYLMALDEHYDROG-CPLX":1,"3-ISOPROPYLMALDEHYDROG-MONOMER":-2}	null	
"3-ISOPROPYLMALISOM-CPLX_RXN"	{"3-ISOPROPYLMALISOM-CPLX":1,"LEUC-MONOMER":-1,"LEUD-MONOMER":-1}	"3-isopropylmalate dehydratase"	
"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_RXN"	{"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX":1,"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER":-10}	null	
"3-OXOACYL-ACP-SYNTHII-CPLX_RXN"	{"3-OXOACYL-ACP-SYNTHII-CPLX":1,"3-OXOACYL-ACP-SYNTHII-MONOMER":-2}	"3-oxoacyl-[acyl carrier protein] synthase 2"	
"6PFK-1-CPX_RXN"	{"6PFK-1-CPX":1,"6PFK-1-MONOMER":-4}	"6-phosphofructokinase 1"	
"6PFK-2-CPX_RXN"	{"6PFK-2-CPX":1,"6PFK-2-MONOMER":-2}	"6-phosphofructokinase 2"	
"6PGLUCONDEHYDROG-CPLX_RXN"	{"6PGLUCONDEHYDROG-CPLX":1,"6PGLUCONDEHYDROG-MONOMER":-2}	null	
"7-ALPHA-HYDROXYSTEROID-DEH-CPLX_RXN"	{"7-ALPHA-HYDROXYSTEROID-DEH-CPLX":1,"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER":-4}	null	
"7KAPSYN-CPLX_RXN"	{"7KAPSYN-CPLX":1,"7KAPSYN-MONOMER":-2}	null	
"ABC-10-CPLX_RXN"	{"ABC-10-CPLX":1,"FEPC-MONOMER":-2,"FEPD-MONOMER":-1,"FEPG-MONOMER":-1,"FEPB-MONOMER":-1}	"ferric enterobactin ABC transporter"	
"ABC-11-CPLX_RXN"	{"ABC-11-CPLX":1,"FHUC-MONOMER":-2,"FHUB-MONOMER":-1,"FHUD-MONOMER":-1}	"iron(III) hydroxamate ABC transporter"	
"ABC-12-CPLX_RXN"	{"ABC-12-CPLX":1,"GLNQ-MONOMER":-2,"GLNP-MONOMER":-2,"GLNH-MONOMER":-1}	"L-glutamine ABC transporter"	
