"name"	"comments"	"mw"	"location"	"reactionId"	"id"
"1-phosphofructokinase"		[0.0, 0.0, 0.0, 0.0, 0.0, 67499.574, 0.0, 0.0, 0.0]	["c"]	"1-PFK_RXN"	"1-PFK"
"2-oxoglutarate dehydrogenase complex"		[0.0, 0.0, 0.0, 0.0, 0.0, 2417969.644, 0.0, 0.0, 0.0]	["i"]	"2OXOGLUTARATEDEH-CPLX_RXN"	"2OXOGLUTARATEDEH-CPLX"
"3-isopropylmalate dehydrogenase"		[0.0, 0.0, 0.0, 0.0, 0.0, 79008.170, 0.0, 0.0, 0.0]	["c"]	"3-ISOPROPYLMALDEHYDROG-CPLX_RXN"	"3-ISOPROPYLMALDEHYDROG-CPLX"
"isopropylmalate isomerase"		[0.0, 0.0, 0.0, 0.0, 0.0, 72352.514, 0.0, 0.0, 0.0]	["c"]	"3-ISOPROPYLMALISOM-CPLX_RXN"	"3-ISOPROPYLMALISOM-CPLX"
"3-methyl-2-oxobutanoate hydroxymethyltransferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 282274.890, 0.0, 0.0, 0.0]	["c"]	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_RXN"	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"
"KASII"		[0.0, 0.0, 0.0, 0.0, 0.0, 86011.656, 0.0, 0.0, 0.0]	["c"]	"3-OXOACYL-ACP-SYNTHII-CPLX_RXN"	"3-OXOACYL-ACP-SYNTHII-CPLX"
"6-phosphofructokinase I"		[0.0, 0.0, 0.0, 0.0, 0.0, 139336.624, 0.0, 0.0, 0.0]	["c"]	"6PFK-1-CPX_RXN"	"6PFK-1-CPX"
"6-phosphofructokinase II"		[0.0, 0.0, 0.0, 0.0, 0.0, 64896.106, 0.0, 0.0, 0.0]	["c"]	"6PFK-2-CPX_RXN"	"6PFK-2-CPX"
"6-phosphogluconate dehydrogenase (decarboxylating)"		[0.0, 0.0, 0.0, 0.0, 0.0, 102936.730, 0.0, 0.0, 0.0]	["c"]	"6PGLUCONDEHYDROG-CPLX_RXN"	"6PGLUCONDEHYDROG-CPLX"
"7-&alpha;-hydroxysteroid dehydrogenase"		[0.0, 0.0, 0.0, 0.0, 0.0, 106962.412, 0.0, 0.0, 0.0]	["c"]	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX_RXN"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"
"8-amino-7-oxononanoate synthase"		[0.0, 0.0, 0.0, 0.0, 0.0, 83184.862, 0.0, 0.0, 0.0]	["c"]	"7KAPSYN-CPLX_RXN"	"7KAPSYN-CPLX"
"ferric enterobactin ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 162604.501, 0.0, 0.0, 0.0]	["i"]	"ABC-10-CPLX_RXN"	"ABC-10-CPLX"
"iron (III) hydroxamate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 231585.633, 0.0, 0.0, 0.0]	["i"]	"ABC-11-CPLX_RXN"	"ABC-11-CPLX"
"glutamine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 129323.189, 0.0, 0.0, 0.0]	["i"]	"ABC-12-CPLX_RXN"	"ABC-12-CPLX"
"glutamate / aspartate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 112510.312, 0.0, 0.0, 0.0]	["i"]	"ABC-13-CPLX_RXN"	"ABC-13-CPLX"
"histidine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 137286.117, 0.0, 0.0, 0.0]	["i"]	"ABC-14-CPLX_RXN"	"ABC-14-CPLX"
"branched chain amino acid ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 173065.907, 0.0, 0.0, 0.0]	["i"]	"ABC-15-CPLX_RXN"	"ABC-15-CPLX"
"maltose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 214601.229, 0.0, 0.0, 0.0]	["i"]	"ABC-16-CPLX_RXN"	"ABC-16-CPLX"
"methyl-&beta;-D-galactoside / galactose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 219650.439, 0.0, 0.0, 0.0]	["i"]	"ABC-18-CPLX_RXN"	"ABC-18-CPLX"
"molybdate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 155468.547, 0.0, 0.0, 0.0]	["i"]	"ABC-19-CPLX_RXN"	"ABC-19-CPLX"
"arabinose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 214260.596, 0.0, 0.0, 0.0]	["i"]	"ABC-2-CPLX_RXN"	"ABC-2-CPLX"
"nickel ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 180848.014, 0.0, 0.0, 0.0]	["i"]	"ABC-20-CPLX_RXN"	"ABC-20-CPLX"
"YadG/YadH ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 63171.587, 0.0, 0.0, 0.0]	["i"]	"ABC-21-CPLX_RXN"	"ABC-21-CPLX"
"peptide ABC transporter OppABCDF"		[0.0, 0.0, 0.0, 0.0, 0.0, 201747.986, 0.0, 0.0, 0.0]	["i"]	"ABC-22-CPLX_RXN"	"ABC-22-CPLX"
"phosphonate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 141854.438, 0.0, 0.0, 0.0]	["i"]	"ABC-23-CPLX_RXN"	"ABC-23-CPLX"
"putrescine / spermidine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 185046.085, 0.0, 0.0, 0.0]	["i"]	"ABC-24-CPLX_RXN"	"ABC-24-CPLX"
"putrescine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 190664.979, 0.0, 0.0, 0.0]	["i"]	"ABC-25-CPLX_RXN"	"ABC-25-CPLX"
"glycine betaine / proline ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 199571.286, 0.0, 0.0, 0.0]	["i"]	"ABC-26-CPLX_RXN"	"ABC-26-CPLX"
"phosphate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 161528.064, 0.0, 0.0, 0.0]	["i"]	"ABC-27-CPLX_RXN"	"ABC-27-CPLX"
"ribose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 207944.328, 0.0, 0.0, 0.0]	["i"]	"ABC-28-CPLX_RXN"	"ABC-28-CPLX"
"peptide ABC transporter SapABCDF"		[0.0, 0.0, 0.0, 0.0, 0.0, 197393.314, 0.0, 0.0, 0.0]	["i"]	"ABC-29-CPLX_RXN"	"ABC-29-CPLX"
"lysine / arginine / ornithine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 136795.400, 0.0, 0.0, 0.0]	["i"]	"ABC-3-CPLX_RXN"	"ABC-3-CPLX"
"leucine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 173367.199, 0.0, 0.0, 0.0]	["i"]	"ABC-304-CPLX_RXN"	"ABC-304-CPLX"
"thiamin ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 205227.260, 0.0, 0.0, 0.0]	["i"]	"ABC-32-CPLX_RXN"	"ABC-32-CPLX"
"xylose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 230735.612, 0.0, 0.0, 0.0]	["i"]	"ABC-33-CPLX_RXN"	"ABC-33-CPLX"
"glycerol-3-phosphate / glycerol-2-phosphate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 192258.567, 0.0, 0.0, 0.0]	["i"]	"ABC-34-CPLX_RXN"	"ABC-34-CPLX"
"protoheme IX ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 123002.665, 0.0, 0.0, 0.0]	["i"]	"ABC-35-CPLX_RXN"	"ABC-35-CPLX"
"arginine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 132007.097, 0.0, 0.0, 0.0]	["i"]	"ABC-4-CPLX_RXN"	"ABC-4-CPLX"
"YehW/YehX/YehY/YehZ ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 133661.481, 0.0, 0.0, 0.0]	["i"]	"ABC-40-CPLX_RXN"	"ABC-40-CPLX"
"peptide ABC transporter YejABEF"		[0.0, 0.0, 0.0, 0.0, 0.0, 265598.195, 0.0, 0.0, 0.0]	["i"]	"ABC-41-CPLX_RXN"	"ABC-41-CPLX"
"D-allose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 215040.100, 0.0, 0.0, 0.0]	["i"]	"ABC-42-CPLX_RXN"	"ABC-42-CPLX"
"phospholipid ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 178820.514, 0.0, 0.0, 0.0]	["i"]	"ABC-45-CPLX_RXN"	"ABC-45-CPLX"
"galactofuranose / galactopyranose ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 195626.903, 0.0, 0.0, 0.0]	["i"]	"ABC-46-CPLX_RXN"	"ABC-46-CPLX"
"YnjC/YnjD ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 78506.835, 0.0, 0.0, 0.0]	["i"]	"ABC-48-CPLX_RXN"	"ABC-48-CPLX"
"glutathione ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 259680.768, 0.0, 0.0, 0.0]	["i"]	"ABC-49-CPLX_RXN"	"ABC-49-CPLX"
"vitamin B12 ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 153455.816, 0.0, 0.0, 0.0]	["i"]	"ABC-5-CPLX_RXN"	"ABC-5-CPLX"
"YdcS/YdcT/YdcV/YdcU ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 142425.468, 0.0, 0.0, 0.0]	["i"]	"ABC-51-CPLX_RXN"	"ABC-51-CPLX"
"YhdW/YhdX/YhdY/YhdZ ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 146731.019, 0.0, 0.0, 0.0]	["i"]	"ABC-52-CPLX_RXN"	"ABC-52-CPLX"
"LptBFG ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 133544.094, 0.0, 0.0, 0.0]	["i"]	"ABC-53-CPLX_RXN"	"ABC-53-CPLX"
"FtsE/FtsX ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 87435.628, 0.0, 0.0, 0.0]	["i"]	"ABC-54-CPLX_RXN"	"ABC-54-CPLX"
"YcjN/YcjO/YcjP ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 111280.687, 0.0, 0.0, 0.0]	["i"]	"ABC-55-CPLX_RXN"	"ABC-55-CPLX"
"aliphatic sulfonate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 147895.577, 0.0, 0.0, 0.0]	["i"]	"ABC-56-CPLX_RXN"	"ABC-56-CPLX"
"YbhF/YbhR/YbhS ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 146748.781, 0.0, 0.0, 0.0]	["i"]	"ABC-57-CPLX_RXN"	"ABC-57-CPLX"
"autoinducer-2 ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 219195.688, 0.0, 0.0, 0.0]	["i"]	"ABC-58-CPLX_RXN"	"ABC-58-CPLX"
"YddO/YddP/YddQ/YddR/YddS ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 197610.689, 0.0, 0.0, 0.0]	["i"]	"ABC-59-CPLX_RXN"	"ABC-59-CPLX"
"glutathione / L-cysteine  efflux transporter CydDC"		[0.0, 0.0, 0.0, 0.0, 0.0, 127972.857, 0.0, 0.0, 0.0]	["i"]	"ABC-6-CPLX_RXN"	"ABC-6-CPLX"
"YphD/YphE/YphF ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 124555.396, 0.0, 0.0, 0.0]	["i"]	"ABC-60-CPLX_RXN"	"ABC-60-CPLX"
"YbbA/YbbP ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 113870.683, 0.0, 0.0, 0.0]	["i"]	"ABC-61-CPLX_RXN"	"ABC-61-CPLX"
"LolCDE ABC lipoprotein transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 139490.250, 0.0, 0.0, 0.0]	["i"]	"ABC-62-CPLX_RXN"	"ABC-62-CPLX"
"Zn2+ ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 144977.406, 0.0, 0.0, 0.0]	["i"]	"ABC-63-CPLX_RXN"	"ABC-63-CPLX"
"taurine ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 150498.196, 0.0, 0.0, 0.0]	["i"]	"ABC-64-CPLX_RXN"	"ABC-64-CPLX"
"sulfate / thiosulfate / selenite / selenate  ABC transporter  CysAUWCysP"		[0.0, 0.0, 0.0, 0.0, 0.0, 182558.545, 0.0, 0.0, 0.0]	["i"]	"ABC-7-CPLX_RXN"	"ABC-7-CPLX"
"sulfate / thiosulfate / selenate / selenite ABC transporter CysAUWSbp"		[0.0, 0.0, 0.0, 0.0, 0.0, 181601.255, 0.0, 0.0, 0.0]	["i"]	"ABC-70-CPLX_RXN"	"ABC-70-CPLX"
"dipeptide ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 203504.921, 0.0, 0.0, 0.0]	["i"]	"ABC-8-CPLX_RXN"	"ABC-8-CPLX"
"ferric dicitrate ABC transporter"		[0.0, 0.0, 0.0, 0.0, 0.0, 158574.910, 0.0, 0.0, 0.0]	["i"]	"ABC-9-CPLX_RXN"	"ABC-9-CPLX"
"acetoacetyl-CoA transferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 92948.016, 0.0, 0.0, 0.0]	["c"]	"ACETOACETYL-COA-TRANSFER-CPLX_RXN"	"ACETOACETYL-COA-TRANSFER-CPLX"
"acetohydroxybutanoate synthase / acetolactate synthase"		[0.0, 0.0, 0.0, 0.0, 0.0, 143053.074, 0.0, 0.0, 0.0]	["c"]	"ACETOLACTSYNI-CPLX_RXN"	"ACETOLACTSYNI-CPLX"
"acetohydroxybutanoate synthase / acetolactate synthase"		[0.0, 0.0, 0.0, 0.0, 0.0, 65549.561, 0.0, 0.0, 0.0]	["c"]	"ACETOLACTSYNII-CPLX_RXN"	"ACETOLACTSYNII-CPLX"
"acetolactate synthase / acetohydroxybutanoate synthase"		[0.0, 0.0, 0.0, 0.0, 0.0, 161900.774, 0.0, 0.0, 0.0]	["c"]	"ACETOLACTSYNIII-CPLX_RXN"	"ACETOLACTSYNIII-CPLX"
"acetyl-CoA acetyltransferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 161406.660, 0.0, 0.0, 0.0]	["c"]	"ACETYL-COA-ACETYLTRANSFER-CPLX_RXN"	"ACETYL-COA-ACETYLTRANSFER-CPLX"
"acetyl-CoA carboxyltransferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 137121.546, 0.0, 0.0, 0.0]	["c"]	"ACETYL-COA-CARBOXYLTRANSFER-CPLX_RXN"	"ACETYL-COA-CARBOXYLTRANSFER-CPLX"
"acetylglutamate kinase"		[0.0, 0.0, 0.0, 0.0, 0.0, 54044.832, 0.0, 0.0, 0.0]	["c"]	"ACETYLGLUTKIN-CPLX_RXN"	"ACETYLGLUTKIN-CPLX"
"acetylornithine deacetylase"		[0.0, 0.0, 0.0, 0.0, 0.0, 84664.816, 0.0, 0.0, 0.0]	["c"]	"ACETYLORNDEACET-CPLX_RXN"	"ACETYLORNDEACET-CPLX"
"N-succinyldiaminopimelate aminotransferase / acetylornithine aminotransferase"		[0.0, 0.0, 0.0, 0.0, 0.0, 87512.152, 0.0, 0.0, 0.0]	["c"]	"ACETYLORNTRANSAM-CPLX_RXN"	"ACETYLORNTRANSAM-CPLX"
"N-acetylneuraminate lyase"		[0.0, 0.0, 0.0, 0.0, 0.0, 130354.264, 0.0, 0.0, 0.0]	["c"]	"ACNEULY-CPLX_RXN"	"ACNEULY-CPLX"
"citrate lyase [acyl carrier protein] component"		[0.0, 0.0, 0.0, 0.0, 0.0, 64111.776, 0.0, 0.0, 0.0]	["c"]	"ACPSUB-CPLX_RXN"	"ACPSUB-CPLX"
"cysteine synthase A"		[0.0, 0.0, 0.0, 0.0, 0.0, 68973.500, 0.0, 0.0, 0.0]	["c"]	"ACSERLYA-CPLX_RXN"	"ACSERLYA-CPLX"
"cysteine synthase B"		[0.0, 0.0, 0.0, 0.0, 0.0, 65252.404, 0.0, 0.0, 0.0]	["c"]	"ACSERLYB-CPLX_RXN"	"ACSERLYB-CPLX"
