frameId	Name	Location	Composition	Composition	Formation process	Comments
1-PFK	1-phosphofructokinase	"[""CCO-CYTOSOL""]"	(2) 1-PFK-MONOMER ==> 1-PFK	"{""reactant"": {""1-PFK-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""1-PFK"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
3-ISOPROPYLMALDEHYDROG-CPLX	3-isopropylmalate dehydrogenase	"[""CCO-CYTOSOL""]"	(2) 3-ISOPROPYLMALDEHYDROG-MONOMER ==> 3-ISOPROPYLMALDEHYDROG-CPLX	"{""reactant"": {""3-ISOPROPYLMALDEHYDROG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""3-ISOPROPYLMALDEHYDROG-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
3-ISOPROPYLMALISOM-CPLX	isopropylmalate isomerase	"[""CCO-CYTOSOL""]"	LEUC-MONOMER + LEUD-MONOMER ==> 3-ISOPROPYLMALISOM-CPLX	"{""reactant"": {""LEUC-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}, ""LEUD-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 1}}, ""product"": {""3-ISOPROPYLMALISOM-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	3-methyl-2-oxobutanoate hydroxymethyltransferase	"[""CCO-CYTOSOL"", ""CCO-MEMBRANE""]"	(10) 3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER ==> 3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	"{""reactant"": {""3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"": {""compartment"": [""CCO-MEMBRANE"", ""CCO-CYTOSOL""], ""stoichiometry"": 10}}, ""product"": {""3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
3-OXOACYL-ACP-SYNTHII-CPLX	KASII	"[""CCO-CYTOSOL""]"	(2) 3-OXOACYL-ACP-SYNTHII-MONOMER ==> 3-OXOACYL-ACP-SYNTHII-CPLX	"{""reactant"": {""3-OXOACYL-ACP-SYNTHII-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""3-OXOACYL-ACP-SYNTHII-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
6PFK-1-CPX	6-phosphofructokinase I	"[""CCO-CYTOSOL""]"	(4) 6PFK-1-MONOMER ==> 6PFK-1-CPX	"{""reactant"": {""6PFK-1-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 4}}, ""product"": {""6PFK-1-CPX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
6PFK-2-CPX	6-phosphofructokinase II	"[""CCO-CYTOSOL""]"	(2) 6PFK-2-MONOMER ==> 6PFK-2-CPX	"{""reactant"": {""6PFK-2-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""6PFK-2-CPX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
6PGLUCONDEHYDROG-CPLX	6-phosphogluconate dehydrogenase (decarboxylating)	"[""CCO-CYTOSOL""]"	(2) 6PGLUCONDEHYDROG-MONOMER ==> 6PGLUCONDEHYDROG-CPLX	"{""reactant"": {""6PGLUCONDEHYDROG-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""6PGLUCONDEHYDROG-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
7-ALPHA-HYDROXYSTEROID-DEH-CPLX	7-&alpha;-hydroxysteroid dehydrogenase	"[""CCO-CYTOSOL""]"	(4) 7-ALPHA-HYDROXYSTEROID-DEH-MONOMER ==> 7-ALPHA-HYDROXYSTEROID-DEH-CPLX	"{""reactant"": {""7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 4}}, ""product"": {""7-ALPHA-HYDROXYSTEROID-DEH-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
7KAPSYN-CPLX	8-amino-7-oxononanoate synthase	"[""CCO-CYTOSOL""]"	(2) 7KAPSYN-MONOMER ==> 7KAPSYN-CPLX	"{""reactant"": {""7KAPSYN-MONOMER"": {""compartment"": [""CCO-CYTOSOL""], ""stoichiometry"": 2}}, ""product"": {""7KAPSYN-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
ABC-10-CPLX	ferric enterobactin ABC transporter	"[""CCO-PM-BAC-NEG"", ""CCO-CYTOSOL"", ""CCO-PERI-BAC""]"	FEPG-MONOMER + FEPD-MONOMER + (2) FEPC-MONOMER + FEPB-MONOMER ==> ABC-10-CPLX	"{""reactant"": {""FEPG-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""FEPD-MONOMER"": {""compartment"": [""CCO-PM-BAC-NEG""], ""stoichiometry"": 1}, ""FEPC-MONOMER"": {""compartment"": [""CCO-CYTOSOL"", ""CCO-PM-BAC-NEG""], ""stoichiometry"": 2}, ""FEPB-MONOMER"": {""compartment"": [""CCO-PERI-BAC""], ""stoichiometry"": 1}}, ""product"": {""ABC-10-CPLX"": {""compartment"": """", ""stoichiometry"": 1}}}"	Complexation
