Frame ID	Name	Neutral formula	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Media Concentration (mM)	Biomass concentration (mmol/gDSW)	Biomass location	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
10fthf	10-Formyltetrahydrofolate	C20H23N7O7	C20H21N7O7	-2	471.4279000000		0.000223	c			[]	
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	C27H52O5	C27H52O5	0	456.7028000000						[]	
12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	C31H60O5	C31H60O5	0	512.8100000000						[]	
12dgr141	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	C31H56O5	C31H56O5	0	508.7784000000						[]	
12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	C35H68O5	C35H68O5	0	568.9172000000						[]	
12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	C35H64O5	C35H64O5	0	564.8856000000						[]	
12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	C39H76O5	C39H76O5	0	625.0244000000						[]	
12dgr181	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	C39H72O5	C39H72O5	0	620.9928000000						[]	
12ppd-R	(R)-Propane-1,2-diol	C3H8O2	C3H8O2	0	76.0942000000						[]	
12ppd-S	(S)-Propane-1,2-diol	C3H8O2	C3H8O2	0	76.0942000000						[]	
13dpg	3-Phospho-D-glyceroyl phosphate	C3H8O10P2	C3H5O10P2	-3	263.0105000000						[]	
14glucan	1,4-alpha-D-glucan	C36H62O31	C36H62O31	0	990.8548000000						[]	
15dap	1,5-Diaminopentane	C5H16N2	C5H16N2	2	104.1954000000						[]	
1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	C17H36NO7P	0	397.4454000000						[]	
1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P1	C19H40NO7P	0	425.4990000000						[]	
1agpe141	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P1	C19H38NO7P	0	423.4832000000						[]	
1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	C21H44NO7P	0	453.5526000000						[]	
1agpe161	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P1	C21H42NO7P	0	451.5368000000						[]	
1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P1	C23H48NO7P	0	481.6062000000						[]	
1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1	C23H46NO7P	0	479.5904000000						[]	
1agpg120	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H37O9P1	C18H36O9P	-1	427.4474000000						[]	
1agpg140	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H41O9P1	C20H40O9P	-1	455.5010000000						[]	
1agpg141	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H39O9P1	C20H38O9P	-1	453.4852000000						[]	
1agpg160	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H45O9P1	C22H44O9P	-1	483.5546000000						[]	
1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H43O9P1	C22H42O9P	-1	481.5388000000						[]	
1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H48O9P1	C24H48O9P	-1	511.6082000000						[]	
1agpg181	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H47O9P1	C24H46O9P	-1	509.5924000000						[]	
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	C15H31O7P1	C15H30O7P	-1	353.3690000000						[]	
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H37O7P1	C19H36O7P	-1	407.4604000000						[]	
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H39O7P1	C19H38O7P	-1	409.4762000000						[]	
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H41O7P1	C21H40O7P	-1	435.5140000000						[]	
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	C21H43O7P1	C21H42O7P	-1	437.5298000000						[]	
1pyr5c	1-Pyrroline-5-carboxylate	C5H7NO2	C5H6NO2	-1	112.1074000000						[]	
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H33O7P1	C17H32O7P	-1	379.4068000000						[]	
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H35O7P1	C17H34O7P	-1	381.4226000000						[]	
23camp	2',3'-Cyclic AMP	C10H12N5O6P	C10H11N5O6P	-1	328.1999000000						[]	
23ccmp	2',3'-Cyclic CMP	C9H12N3O7P	C9H11N3O7P	-1	304.1739000000						[]	
23cgmp	2',3'-Cyclic GMP	C10H12N5O7P	C10H11N5O7P	-1	344.1989000000						[]	
23cump	2',3'-Cyclic UMP	C9H11N2O8P	C9H10N2O8P	-1	305.1580000000						[]	
23dappa	2,3-diaminopropionate	C3H8N2O2	C3H9N2O2	1	105.1161000000						[]	
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	C7H8O4	C7H7O4	-1	155.1283000000						[]	
23dhb	2,3-Dihydroxybenzoate	C7H6O4	C7H5O4	-1	153.1125000000						[]	
23dhba	(2,3-Dihydroxybenzoyl)adenylate	C17H18N5O10P	C17H17N5O10P	-1	482.3203000000						[]	
23dhbzs	2,3-dihydroxybenzoylserine	C10H11NO6	C10H10NO6	-1	240.1900000000						[]	
23dhdp	2,3-Dihydrodipicolinate	C7H7NO4	C7H5NO4	-2	167.1195000000						[]	
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H10O4	C5H9O4	-1	133.1221000000						[]	
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H12O4	C6H11O4	-1	147.1489000000						[]	
23doguln	2,3-Dioxo-L-gulonate	C6H7O7	C6H7O7	-1	191.1143000000						[]	
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H19N4O12P	C13H16N4O12P	-3	451.2594000000						[]	
25dkglcn	2,5-diketo-D-gluconate	C6H7O7	C6H7O7	-1	191.1143000000						[]	
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	C9H14N5O8P	C9H15N5O8P	-1	352.2185000000						[]	
26dap-LL	LL-2,6-Diaminoheptanedioate	C7H14N2O4	C7H14N2O4	0	190.1976000000						[]	
26dap-M	meso-2,6-Diaminoheptanedioate	C7H14N2O4	C7H14N2O4	0	190.1976000000						[]	
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	C17H36NO7P	0	397.4454000000						[]	
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P1	C19H40NO7P	0	425.4990000000						[]	
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P1	C19H38NO7P	0	423.4832000000						[]	
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	C21H44NO7P	0	453.5526000000						[]	
2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P1	C21H42NO7P	0	451.5368000000						[]	
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P1	C23H48NO7P	0	481.6062000000						[]	
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1	C23H46NO7P	0	479.5904000000						[]	
2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H37O9P1	C18H36O9P	-1	427.4474000000						[]	
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H41O9P1	C20H40O9P	-1	455.5010000000						[]	
2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H39O9P1	C20H38O9P	-1	453.4852000000						[]	
2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H45O9P1	C22H44O9P	-1	483.5546000000						[]	
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H43O9P1	C22H42O9P	-1	481.5388000000						[]	
2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H49O9P1	C24H48O9P	-1	511.6082000000						[]	
2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H47O9P1	C24H46O9P	-1	509.5924000000						[]	
