Frame ID	Name	Process	EC	Stoichiometry (pH 7.2)	Enzyme	Direction	Comments
FEIST_12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	Metabolism		12dgr120[p] --> 12dgr120[c]		forward only	
FEIST_12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	Metabolism		12dgr140[p] --> 12dgr140[c]		forward only	
FEIST_12DGR141tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)	Metabolism		12dgr141[p] --> 12dgr141[c]		forward only	
FEIST_12DGR160tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)	Metabolism		12dgr160[p] --> 12dgr160[c]		forward only	
FEIST_12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)	Metabolism		12dgr161[p] --> 12dgr161[c]		forward only	
FEIST_12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	Metabolism		12dgr180[p] --> 12dgr180[c]		forward only	
FEIST_12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)	Metabolism		12dgr181[p] --> 12dgr181[c]		forward only	
FEIST_12PPDRtex_0	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-R[e] <==> 12ppd-R[p]	MONOMER0-282	reversible	
FEIST_12PPDRtex_1	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-R[e] <==> 12ppd-R[p]	EG10671-MONOMER	reversible	
FEIST_12PPDRtex_2	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-R[e] <==> 12ppd-R[p]	G6700-MONOMER	reversible	
FEIST_12PPDRtex_3	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-R[e] <==> 12ppd-R[p]	EG10670-MONOMER	reversible	
FEIST_12PPDRtpp	(R)-Propane-1,2-diol facilitated transport (periplasm)	Metabolism		12ppd-R[p] <==> 12ppd-R[c]		reversible	
FEIST_12PPDStex_0	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-S[e] <==> 12ppd-S[p]	MONOMER0-282	reversible	
FEIST_12PPDStex_1	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-S[e] <==> 12ppd-S[p]	EG10671-MONOMER	reversible	
FEIST_12PPDStex_2	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-S[e] <==> 12ppd-S[p]	G6700-MONOMER	reversible	
FEIST_12PPDStex_3	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Metabolism		12ppd-S[e] <==> 12ppd-S[p]	EG10670-MONOMER	reversible	
FEIST_12PPDStpp	(S)-Propane-1,2-diol facilitated transport (periplasm)	Metabolism		12ppd-S[p] <==> 12ppd-S[c]		reversible	
FEIST_14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)	Metabolism		14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]	ABC-16-CPLX	forward only	
FEIST_14GLUCANtexi	1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible	Metabolism		14glucan[e] --> 14glucan[p]	EG10528-MONOMER	forward only	
FEIST_23CAMPtex_0	23cAMP transport via diffusion (extracellular to periplasm)	Metabolism		23camp[e] <==> 23camp[p]	MONOMER0-282	reversible	
FEIST_23CAMPtex_1	23cAMP transport via diffusion (extracellular to periplasm)	Metabolism		23camp[e] <==> 23camp[p]	EG10671-MONOMER	reversible	
FEIST_23CAMPtex_2	23cAMP transport via diffusion (extracellular to periplasm)	Metabolism		23camp[e] <==> 23camp[p]	G6700-MONOMER	reversible	
FEIST_23CAMPtex_3	23cAMP transport via diffusion (extracellular to periplasm)	Metabolism		23camp[e] <==> 23camp[p]	EG10670-MONOMER	reversible	
FEIST_23CCMPtex_0	23cCMP transport via diffusion (extracellular to periplasm)	Metabolism		23ccmp[e] <==> 23ccmp[p]	MONOMER0-282	reversible	
FEIST_23CCMPtex_1	23cCMP transport via diffusion (extracellular to periplasm)	Metabolism		23ccmp[e] <==> 23ccmp[p]	EG10671-MONOMER	reversible	
FEIST_23CCMPtex_2	23cCMP transport via diffusion (extracellular to periplasm)	Metabolism		23ccmp[e] <==> 23ccmp[p]	G6700-MONOMER	reversible	
FEIST_23CCMPtex_3	23cCMP transport via diffusion (extracellular to periplasm)	Metabolism		23ccmp[e] <==> 23ccmp[p]	EG10670-MONOMER	reversible	
FEIST_23CGMPtex_0	23cGMP transport via diffusion (extracellular to periplasm)	Metabolism		23cgmp[e] <==> 23cgmp[p]	MONOMER0-282	reversible	
FEIST_23CGMPtex_1	23cGMP transport via diffusion (extracellular to periplasm)	Metabolism		23cgmp[e] <==> 23cgmp[p]	EG10671-MONOMER	reversible	
FEIST_23CGMPtex_2	23cGMP transport via diffusion (extracellular to periplasm)	Metabolism		23cgmp[e] <==> 23cgmp[p]	G6700-MONOMER	reversible	
FEIST_23CGMPtex_3	23cGMP transport via diffusion (extracellular to periplasm)	Metabolism		23cgmp[e] <==> 23cgmp[p]	EG10670-MONOMER	reversible	
FEIST_23CUMPtex_0	23cUMP transport via diffusion (extracellular to periplasm)	Metabolism		23cump[e] <==> 23cump[p]	MONOMER0-282	reversible	
FEIST_23CUMPtex_1	23cUMP transport via diffusion (extracellular to periplasm)	Metabolism		23cump[e] <==> 23cump[p]	EG10671-MONOMER	reversible	
FEIST_23CUMPtex_2	23cUMP transport via diffusion (extracellular to periplasm)	Metabolism		23cump[e] <==> 23cump[p]	G6700-MONOMER	reversible	
FEIST_23CUMPtex_3	23cUMP transport via diffusion (extracellular to periplasm)	Metabolism		23cump[e] <==> 23cump[p]	EG10670-MONOMER	reversible	
FEIST_23DAPPAt2pp	2,3-diaminopropionate transport in via proton symport	Metabolism		23dappa[p] + h[p] --> 23dappa[c] + h[c]		forward only	
FEIST_23DAPPAtex_0	2,3-diaminopropionate transport via diffusion	Metabolism		23dappa[e] <==> 23dappa[p]	MONOMER0-282	reversible	
FEIST_23DAPPAtex_1	2,3-diaminopropionate transport via diffusion	Metabolism		23dappa[e] <==> 23dappa[p]	EG10671-MONOMER	reversible	
FEIST_23DAPPAtex_2	2,3-diaminopropionate transport via diffusion	Metabolism		23dappa[e] <==> 23dappa[p]	G6700-MONOMER	reversible	
FEIST_23DAPPAtex_3	2,3-diaminopropionate transport via diffusion	Metabolism		23dappa[e] <==> 23dappa[p]	EG10670-MONOMER	reversible	
