"rna id"	"ratio to 16SrRNA"
"alaX-tRNA[c]"	0.096
"valV-tRNA[c]"	0.0367
"trpT-tRNA[c]"	0.0367
"metY-tRNA[c]"	0.0367
"glyV-tRNA[c]"	0.0375
"cysT-tRNA[c]"	0.12
"ileX-tRNA[c]"	0.0625
"glyU-tRNA[c]"	0.1467
"argX-tRNA[c]"	0.1467
"metW-tRNA[c]"	0.1467
"lysV-tRNA[c]"	0.04
"leuU-tRNA[c]"	0.04
"thrT-tRNA[c]"	0.15
"gltV-tRNA[c]"	0.08
"alaV-tRNA[c]"	0.15
"argV-tRNA[c]"	0.06
"alaW-tRNA[c]"	0.06
"leuV-tRNA[c]"	0.15
"serU-tRNA[c]"	0.15
"leuZ-tRNA[c]"	0.0375
"leuW-tRNA[c]"	0.0375
"glyX-tRNA[c]"	0.0375
"hisR-tRNA[c]"	0.1
"glyY-tRNA[c]"	0.1
"RNA0-300[c]"	0.1
"serV-tRNA[c]"	0.18
"glyW-tRNA[c]"	0.04
"glnU-tRNA[c]"	0.065
"glnX-tRNA[c]"	0.04
"lysT-tRNA[c]"	0.065
"argY-tRNA[c]"	0.1525
"tyrT-tRNA[c]"	0.1525
"tyrU-tRNA[c]"	0.1525
"valY-tRNA[c]"	0.1525
"proK-tRNA[c]"	0.14
"argQ-tRNA[c]"	0.14
"leuQ-tRNA[c]"	0.125
"proM-tRNA[c]"	0.125
"gltW-tRNA[c]"	0.125
"glnW-tRNA[c]"	0.125
"valT-tRNA[c]"	0.08
"asnV-tRNA[c]"	0.08
"glnV-tRNA[c]"	0.08
"pheU-tRNA[c]"	0.08
"thrW-tRNA[c]"	0.12
"ileV-tRNA[c]"	0.135
"proL-tRNA[c]"	0.135
"gltU-tRNA[c]"	0.135
"argW-tRNA[c]"	0.12
"metZ-tRNA[c]"	0.135
"gltT-tRNA[c]"	0.08
"metT-tRNA[c]"	0.24
"thrU-tRNA[c]"	0.09
"alaT-tRNA[c]"	0.0367
"argZ-tRNA[c]"	0.0367
"aspT-tRNA[c]"	0.0367
"serX-tRNA[c]"	0.05
"leuX-tRNA[c]"	0.05
"alaU-tRNA[c]"	0.0625
"aspU-tRNA[c]"	0.0625
"asnT-tRNA[c]"	0.0625
"lysW-tRNA[c]"	0.06
"RNA0-306[c]"	0.06
"RNA0-305[c]"	0.07
"RNA0-304[c]"	0.1
"RNA0-303[c]"	0.06
"RNA0-302[c]"	0.03
"RNA0-301[c]"	0.17
"leuT-tRNA[c]"	0.03
"metU-tRNA[c]"	0.14
"asnU-tRNA[c]"	0.045
"valU-tRNA[c]"	0.045
"valX-tRNA[c]"	0.12
"argU-tRNA[c]"	0.12
"serW-tRNA[c]"	0.01
"valW-tRNA[c]"	0.07
"selC-tRNA[c]"	0.1
"glyT-tRNA[c]"	0.06
"aspV-tRNA[c]"	0.13
"serT-tRNA[c]"	0.06
"ileT-tRNA[c]"	0.096
"pheV-tRNA[c]"	0.096
"tyrV-tRNA[c]"	0.09
"ileU-tRNA[c]"	0.07
"leuP-tRNA[c]"	0.096
"thrV-tRNA[c]"	0.096
