"Reaction ID"	"Enzyme"	"Comments"
"ACCOAC"	"ACETYL-COA-CARBOXYLMULTI-CPLX"	
"ACGAptspp"	"((CPLX-167 or CPLX-157) and PTSH-MONOMER and CPLX0-7938))"	"(PTS system for N-acetyl-D-glucosamine OR PTS system for glucose) AND general PTS components"
"ACMANAptspp"	"(CPLX-165 and PTSH-MONOMER and CPLX0-7938)"	"PTS system for mannose AND general PTS components"
"ACMUMptspp"	"(CPLX0-7 and PTSH-MONOMER and CPLX0-7938)"	"PTS system for murine AND general PTS components"
"ASCBptspp"	"(EIISGA and PTSH-MONOMER and CPLX0-7938)"	"L-ascorbate PTS permiase AND general PTS components"
"ATPS4rpp"	"(ATPSYN-CPLX or (ATPSYN-CPLX and EG10106-MONOMER)"	"ATP synthase or ATP synthase with AtpI which is non-essential in E. coli"
"CITL"	"(ACECITLY-CPLX and G6340-MONOMER)"	"Citrate lyase and citX"
"DHAPT"	"(CPLX0-2081 and PTSH-MONOMER and CPLX0-7938)"	"Dihydroxy acetone kinase and general PTS system components. Not actually involved in PTS transport but uses those enzymes."
"ECAP1pp"	"CPLX0-3976"	"Enterobacterial Common Antigen Biosynthesis Protein Complex"
"ECAP2pp"	"CPLX0-3976"	"Enterobacterial Common Antigen Biosynthesis Protein Complex"
"ECAP3pp"	"CPLX0-3976"	"Enterobacterial Common Antigen Biosynthesis Protein Complex"
"FE3DHBZStonex"	"((CPLX0-1923 and G6414-MONOMER) or (CPLX0-1923 and EG10155-MONOMER))"	"Ton transport system and fiu or ton transport system and cirA"
"FHL"	"((FHLMULTI-CPLX and G7307-MONOMER) or (CPLX0-250 and G7307-MONOMER))"	"formate dehydrogenase 3 and hyfJ or formate dehydrogenase 4 and hyfJ. Changed from Feist rules to make sense."
"FRUpts2pp"	"(CPLX-165 and PTSH-MONOMER and CPLX0-7938)"	"PTS system for mannose AND general PTS components"
"FRUptspp"	"(CPLX-158 and PTSH-MONOMER and CPLX0-7938)"	"PTS system for fructose AND general PTS components"
"GALTptspp"	"(CPLX0-231 and PTSH-MONOMER and CPLX0-7938)"	"PTS system for galactose AND general PTS components"
