"Enzyme Frame ID"	"EC"	"Reaction ID"	"Reaction stoichiometry"	"Direction"	"Turnover Forward (s^-1)"	"Turnover Reverse (s^-1)"	"Comments"
"[""ADHC-MONOMER""]"	"1.1.1.1"	"ALCD19"	"[c] : glyald + h + nadh <==> glyc + nad"	"reversible"			
"[""ADHC-MONOMER""]"	"1.1.1.1"	"ALCD2x"	"[c] : etoh + nad <==> acald + h + nadh"	"reversible"			
"[""ADHE-MONOMER""]"	"1.1.1.1"	"ALCD2x"	"[c] : etoh + nad <==> acald + h + nadh"	"reversible"			
"[""ADHP-MONOMER""]"	"1.1.1.1"	"ALCD2x"	"[c] : etoh + nad <==> acald + h + nadh"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR100"	"[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR120"	"[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR121"	"[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp"	"forward only"		0	
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR140"	"[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR141"	"[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp"	"forward only"		0	
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR160"	"[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR161"	"[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp"	"forward only"		0	
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR180"	"[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR181"	"[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp"	"forward only"		0	
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR40"	"[c] : actACP + h + nadph <==> 3haACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR60"	"[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp"	"reversible"			
"[""3-OXOACYL-ACP-REDUCT-MONOMER""]"	"1.1.1.100"	"3OAR80"	"[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp"	"reversible"			
"[""THREODEHYD-MONOMER""]"	"1.1.1.103"	"THRD"	"[c] : nad + thr-L --> 2aobut + h + nadh"	"forward only"		0	
"[""DTDPDEHYRHAMREDUCT-MONOMER""]"	"1.1.1.133"	"TDPDRR"	"[c] : dtdp4d6dm + h + nadph --> dtdprmn + nadp"	"forward only"		0	
"[""SORB6PDEHYDROG-MONOMER""]"	"1.1.1.140"	"SBTPD"	"[c] : nad + sbt6p <==> f6p + h + nadh"	"reversible"			
"[""G6286-MONOMER""]"	"1.1.1.154"	"URDGLYCD"	"[c] : nad + urdglyc --> h + nadh + oxur"	"forward only"		0	
"[""UDPNACETYLMURAMATEDEHYDROG-MONOMER""]"	"1.1.1.158"	"UAPGR"	"[c] : h + nadph + uaccg --> nadp + uamr"	"forward only"		0	
"[""2-DEHYDROPANTOATE-REDUCT-MONOMER""]"	"1.1.1.169"	"DPR"	"[c] : 2dhp + h + nadph --> nadp + pant-R"	"forward only"		0	
"[""KETOLREDUCTOISOM-MONOMER""]"	"1.1.1.169"	"DPR"	"[c] : 2dhp + h + nadph --> nadp + pant-R"	"forward only"		0	
"[""MANNPDEHYDROG-MONOMER""]"	"1.1.1.17"	"M1PD"	"[c] : mnl1p + nad <==> f6p + h + nadh"	"reversible"			
"[""RIBOFLAVINSYNDEAM-MONOMER""]"	"1.1.1.193"	"APRAUR"	"[c] : 5apru + h + nadph --> 5aprbu + nadp"	"forward only"		0	
"[""CPLX0-761""]"	"1.1.1.204"	"XAND"	"[c] : h2o + nad + xan --> h + nadh + urate"	"forward only"		0	
"[""IMP-DEHYDROG-MONOMER""]"	"1.1.1.205"	"IMPD"	"[c] : h2o + imp + nad --> h + nadh + xmp"	"forward only"		0	
"[""GLYCDEH-MONOMER""]"	"1.1.1.21"	"LALDO2x"	"[c] : h + mthgxl + nadh --> lald-D + nad"	"forward only"		0	
"[""MONOMER-43""]"	"1.1.1.215"	"2DGLCNRy"	"[c] : 2dhglcn + h + nadph --> glcn + nadp"	"forward only"		0	
"[""UGD-MONOMER""]"	"1.1.1.22"	"UDPGD"	"[c] : h2o + (2) nad + udpg --> (3) h + (2) nadh + udpglcur"	"forward only"		0	
"[""HISTDEHYD-MONOMER""]"	"1.1.1.23"	"HISTD"	"[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh"	"forward only"		0	
"[""AROE-MONOMER""]"	"1.1.1.25"	"SHK3Dr"	"[c] : 3dhsk + h + nadph <==> nadp + skm"	"reversible"			
"[""EG11234-MONOMER""]"	"1.1.1.25"	"SHK3Dr"	"[c] : 3dhsk + h + nadph <==> nadp + skm"	"reversible"			
"[""G6539-MONOMER""]"	"1.1.1.26"	"GLYCLTDy"	"[c] : glx + h + nadph --> glyclt + nadp"	"forward only"		0	
"[""MONOMER-43""]"	"1.1.1.26"	"GLYCLTDy"	"[c] : glx + h + nadph --> glyclt + nadp"	"forward only"		0	
"[""DLACTDEHYDROGFAD-MONOMER""]"	"1.1.1.28"	"LDH_D"	"[c] : lac-D + nad <==> h + nadh + pyr"	"reversible"			
"[""DLACTDEHYDROGNAD-MONOMER""]"	"1.1.1.28"	"LDH_D"	"[c] : lac-D + nad <==> h + nadh + pyr"	"reversible"			
"[""ASPKINIHOMOSERDEHYDROGI-MONOMER""]"	"1.1.1.3"	"HSDy"	"[c] : hom-L + nadp <==> aspsa + h + nadph"	"reversible"			
"[""ASPKINIIHOMOSERDEHYDROGII-MONOMER""]"	"1.1.1.3"	"HSDy"	"[c] : hom-L + nadp <==> aspsa + h + nadph"	"reversible"			
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD1i"	"[c] : 3hbcoa + nad --> aacoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD2i"	"[c] : 3hhcoa + nad --> 3ohcoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD3i"	"[c] : 3hocoa + nad --> 3oocoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD4i"	"[c] : 3hdcoa + nad --> 3odcoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD5i"	"[c] : 3hddcoa + nad --> 3oddcoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD6i"	"[c] : 3htdcoa + nad --> 3otdcoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD7i"	"[c] : 3hhdcoa + nad --> 3ohdcoa + h + nadh"	"forward only"		0	
"[""FADB-MONOMER""]"	"1.1.1.35"	"HACD8i"	"[c] : 3hodcoa + nad --> 3oodcoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD1i"	"[c] : 3hbcoa + nad --> aacoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD2i"	"[c] : 3hhcoa + nad --> 3ohcoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD3i"	"[c] : 3hocoa + nad --> 3oocoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD4i"	"[c] : 3hdcoa + nad --> 3odcoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD5i"	"[c] : 3hddcoa + nad --> 3oddcoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD6i"	"[c] : 3htdcoa + nad --> 3otdcoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD7i"	"[c] : 3hhdcoa + nad --> 3ohdcoa + h + nadh"	"forward only"		0	
"[""G7212-MONOMER""]"	"1.1.1.35"	"HACD8i"	"[c] : 3hodcoa + nad --> 3oodcoa + h + nadh"	"forward only"		0	
"[""MALATE-DEHASE-MONOMER""]"	"1.1.1.37"	"MDH"	"[c] : mal-L + nad <==> h + nadh + oaa"	"reversible"			
"[""MALIC-NAD-MONOMER""]"	"1.1.1.38"	"ME1"	"[c] : mal-L + nad --> co2 + nadh + pyr"	"forward only"		0	
"[""MALIC-NADP-MONOMER""]"	"1.1.1.40"	"ME2"	"[c] : mal-L + nadp --> co2 + nadph + pyr"	"forward only"		0	
"[""ISOCITDEH-SUBUNIT""]"	"1.1.1.42"	"ICDHyr"	"[c] : icit + nadp <==> akg + co2 + nadph"	"reversible"			
"[""6PGLUCONDEHYDROG-MONOMER""]"	"1.1.1.44"	"GND"	"[c] : 6pgc + nadp --> co2 + nadph + ru5p-D"	"forward only"		0	
"[""GLU6PDEHYDROG-MONOMER""]"	"1.1.1.49"	"G6PDH2r"	"[c] : g6p + nadp <==> 6pgl + h + nadph"	"reversible"			
"[""MANNONOXIDOREDUCT-MONOMER""]"	"1.1.1.57"	"MANAO"	"[c] : mana + nad <==> fruur + h + nadh"	"reversible"			
"[""ALTRO-OXIDOREDUCT-MONOMER""]"	"1.1.1.58"	"TAGURr"	"[c] : altrn + nad <==> h + nadh + tagur"	"reversible"			
"[""GLYCDEH-MONOMER""]"	"1.1.1.6"	"GLYCDx"	"[c] : glyc + nad --> dha + h + nadh"	"forward only"		0	
"[""G6278-MONOMER""]"	"1.1.1.60"	"TRSARr"	"[c] : 2h3oppan + h + nadh <==> glyc-R + nad"	"reversible"			
"[""TSA-REDUCT-MONOMER""]"	"1.1.1.60"	"TRSARr"	"[c] : 2h3oppan + h + nadh <==> glyc-R + nad"	"reversible"			
"[""GLUCONREDUCT-MONOMER""]"	"1.1.1.69"	"5DGLCNR"	"[c] : 5dglcn + h + nadph <==> glcn + nadp"	"reversible"			
"[""LACTALDREDUCT-MONOMER""]"	"1.1.1.77"	"LCARS"	"[c] : h + lald-L + nadh <==> 12ppd-S + nad"	"reversible"			
"[""G6986-MONOMER""]"	"1.1.1.83"	"MALDDH"	"[c] : mal-D + nad --> co2 + nadh + pyr"	"forward only"		0	
"[""3-ISOPROPYLMALDEHYDROG-MONOMER""]"	"1.1.1.85"	"IPMD"	"[c] : 3c2hmp + nad --> 3c4mop + h + nadh"	"forward only"		0	
"[""KETOLREDUCTOISOM-MONOMER""]"	"1.1.1.86"	"KARA1"	"[c] : 23dhmb + nadp <==> alac-S + h + nadph"	"reversible"			
"[""KETOLREDUCTOISOM-MONOMER""]"	"1.1.1.86"	"KARA2"	"[c] : 2ahbut + h + nadph <==> 23dhmp + nadp"	"reversible"			
"[""GLYC3PDEHYDROGBIOSYN-MONOMER""]"	"1.1.1.94"	"G3PD2"	"[c] : glyc3p + nadp <==> dhap + h + nadph"	"reversible"			
