# formula weight is in  (units.g / units.mol)
"molecule id"	"exchange molecule location"	"formula weight"
"GLC"	"[p]"	"None"
"ACET"	"[p]"	"None"
"FUM"	"[p]"	"None"
"MAL"	"[p]"	"None"
"SUC"	"[p]"	"None"
"OXYGEN-MOLECULE"	"[p]"	"None"
"AMMONIUM"	"[c]"	"None"
"NA+"	"[p]"	"None"
"Pi"	"[p]"	"None"
"K+"	"[p]"	"None"
"SULFATE"	"[p]"	"None"
"FE+2"	"[p]"	"None"
"FE+3"	"[p]"	"None"
"CA+2"	"[p]"	"None"
"CL-"	"[p]"	"None"
"CO+2"	"[p]"	"None"
"MG+2"	"[p]"	"None"
"MN+2"	"[p]"	"None"
"NI+2"	"[p]"	"None"
"ZN+2"	"[p]"	"None"
"WATER"	"[p]"	"None"
"CARBON-DIOXIDE"	"[p]"	"None"
"CPD0-1958"	"[p]"	"None"
"L-SELENOCYSTEINE"	"[c]"	"None"
"GLC-D-LACTONE"	"[c]"	"None"
"CYTOSINE"	"[c]"	"None"
"CYTIDINE"	"[c]"	"None"
"ARABINOSE"	"[c]"	"None"
"CPD-183"	"[p]"	"None"
"INDOLE"	"[p]"	"None"
"NITRATE"	"[p]"	"None"
"NITRITE"	"[p]"	"None"
"S-ADENOSYLMETHIONINE"	"[c]"	"None"
"CPD-520"	"[p]"	"None"
"TUNGSTATE"	"[p]"	"None"
"L-ALPHA-ALANINE"	"[p]"	"89.09"
"ARG"	"[p]"	"210.7"
"ASN"	"[p]"	"132.1"
"L-ASPARTATE"	"[p]"	"171.2"
"CYS"	"[p]"	"175.6"
"GLT"	"[p]"	"185.3"
"GLN"	"[p]"	"146.2"
"GLY"	"[p]"	"75.07"
"HIS"	"[p]"	"209.6"
"ILE"	"[p]"	"131.2"
"LEU"	"[p]"	"131.2"
"LYS"	"[p]"	"182.7"
"MET"	"[p]"	"149.2"
"PHE"	"[p]"	"165.2"
"PRO"	"[p]"	"115.1"
"SER"	"[p]"	"105.1"
"THR"	"[p]"	"119.1"
"TRP"	"[p]"	"204.2"
"TYR"	"[p]"	"181.2"
"VAL"	"[p]"	"117.2"
"MI-PENTAKISPHOSPHATE"	"[p]"	"None"
"HYPOXANTHINE"	"[p]"	"None"
"CARBON-MONOXIDE"	"[p]"	"None"
"HYDROGEN-MOLECULE"	"[c]"	"None"
"CPD0-2167"	"[c]"	"None"
"CPD-239"	"[p]"	"None"
"UNDECAPRENYL-DIPHOSPHATE"	"[p]"	"None"
"GLYCOLLATE"	"[c]"	"None"
"CPD-10774"	"[p]"	"None"
"BETAINE"	"[p]"	"None"
# "CPD-10774"	"[c]"	"None"
"CH33ADO"	"[c]"	"None"
"URACIL"	"[p]"	"None"
"METOH"	"[p]"	"None"
"CPD-1772"	"[c]"	"None"
"4FE-4S"	"[c]"	"None"
"CPD-560"	"[p]"	"None"
"CPD-108"	"[p]"	"None"
"THYMINE"	"[p]"	"None"
"S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE"	"[c]"	"None"
"UREA"	"[p]"	"None"
"FORMATE"	"[p]"	"None"
"D-ALANINE"	"[p]"	"None"
"CPD-534"	"[p]"	"None"
"GLYCEROL"	"[p]"	"None"
"GLYCOLALDEHYDE"	"[c]"	"None"
"D-LACTATE"	"[p]"	"None"
"BUTANAL"	"[c]"	"None"
"CPD-564"	"[c]"	"None"
"XANTHINE"	"[p]"	"None"
"PROTON"	"[p]"	"None"
"ETOH"	"[p]"	"None"
"IMIDAZOLE-PYRUVATE"	"[c]"	"None"
