# File from reconstruction/ecoli/flat/fold_changes.tsv for comparison purposes
"TF"	"Target"	"F_avg"	"F_sd"	"F_corrected"	"Regulation_direct"	"PS"	"PS_corrected"	"kd (units.mol/units.L)"
"araC"	"araD"	0.35	0.0	NaN	-2	8	5	2e-13
"araC"	"araA"	0.7	0.04	NaN	-2	8	5	2e-13
"araC"	"araB"	0.64	0.1	NaN	-2	8	5	2e-13
"araC"	"araJ"	0.37	0.14	NaN	1	8	5	2e-13
#"leuO"	"leuO"	6.16	2.46	NaN	3	13	4	5.689e-09
"leuO"	"bglJ"	9.73	0.0	NaN	1	13	4	5.689e-09
"leuO"	"bglF"	0.8	0.1	NaN	1	13	4	5.689e-09
"leuO"	"cas2"	0.85	0.71	NaN	1	13	4	5.689e-09
"leuO"	"cas1"	1.72	0.06	NaN	1	13	4	5.689e-09
"leuO"	"casE"	2.11	0.15	NaN	1	13	4	5.689e-09
"leuO"	"casD"	2.56	0.06	NaN	1	13	4	5.689e-09
"leuO"	"casC"	2.43	0.98	NaN	1	13	4	5.689e-09
"leuO"	"casB"	2.68	0.1	NaN	1	13	4	5.689e-09
"leuO"	"casA"	3.21	0.94	NaN	1	13	4	5.689e-09
"leuO"	"bglG"	1.55	0.6	NaN	1	13	4	5.689e-09
"phoB"	"phoB"	3.52	1.74	NaN	1	33	9	5.689e-09
"phoB"	"phnF"	3.66	0.96	NaN	1	33	9	5.689e-09
"phoB"	"phoE"	4.55	0.83	NaN	1	33	9	5.689e-09
"phoB"	"phoA"	4.9	0.09	NaN	1	33	9	5.689e-09
"phoB"	"ugpQ"	1.21	0.22	NaN	3	33	9	5.689e-09
"phoB"	"ugpC"	1.24	0.35	NaN	3	33	9	5.689e-09
"phoB"	"ugpE"	1.35	0.06	NaN	3	33	9	5.689e-09
"phoB"	"ugpA"	1.57	0.22	NaN	4	33	9	5.689e-09
"phoB"	"ugpB"	2.67	0.4	NaN	3	33	9	5.689e-09
"phoB"	"pstB"	3.56	0.15	NaN	1	33	9	5.689e-09
"phoB"	"pstA"	3.12	0.5	NaN	1	33	9	5.689e-09
"phoB"	"pstC"	3.25	1.0	NaN	1	33	9	5.689e-09
"phoB"	"pstS"	4.47	0.49	NaN	1	33	9	5.689e-09
"phoB"	"phnN"	2.41	0.23	NaN	1	33	9	5.689e-09
"phoB"	"psiF"	4.57	1.34	NaN	1	33	9	5.689e-09
"phoB"	"phoR"	1.7	0.47	NaN	1	33	9	5.689e-09
"phoB"	"phoH"	2.1	1.79	NaN	1	33	9	5.689e-09
"phoB"	"phoU"	3.41	0.16	NaN	1	33	9	5.689e-09
"phoB"	"psiE"	2.8	1.3	NaN	1	33	9	5.689e-09
"phoB"	"phnP"	0.84	0.43	NaN	1	33	9	5.689e-09
"phoB"	"phnO"	1.6	0.24	NaN	1	33	9	5.689e-09
"phoB"	"phnM"	3.38	0.0	NaN	1	33	9	5.689e-09
"phoB"	"phnL"	3.74	0.0	NaN	1	33	9	5.689e-09
"phoB"	"phnK"	2.28	0.93	NaN	1	33	9	5.689e-09
"phoB"	"phnJ"	3.25	0.92	NaN	1	33	9	5.689e-09
"phoB"	"phnI"	4.06	0.0	NaN	1	33	9	5.689e-09
"phoB"	"phnH"	3.51	1.3	NaN	1	33	9	5.689e-09
"phoB"	"phnG"	3.15	1.41	NaN	1	33	9	5.689e-09
"phoB"	"phnE_2"	4.97	1.87	NaN	1	33	9	5.689e-09
"phoB"	"phnE_1"	4.06	1.81	NaN	1	33	9	5.689e-09
"phoB"	"phnD"	4.98	1.83	NaN	1	33	9	5.689e-09
"phoB"	"phnC"	5.56	0.0	NaN	1	33	9	5.689e-09
"fur"	"fecR"	2.21	0.19	NaN	-1	67	23	5.689e-09
"fur"	"fecI"	2.0	0.09	NaN	-1	67	23	5.689e-09
"fur"	"fhuA"	0.98	0.35	NaN	-1	67	23	5.689e-09
"fur"	"fhuC"	0.7	0.0	NaN	-1	67	23	5.689e-09
"fur"	"fhuD"	0.6	0.0	NaN	-1	67	23	5.689e-09
"fur"	"fhuB"	0.27	0.05	NaN	-1	67	23	5.689e-09
"fur"	"entD"	1.8	0.59	NaN	-1	67	23	5.689e-09
"fur"	"fepA"	2.61	0.82	NaN	-1	67	23	5.689e-09
"fur"	"fes"	2.61	0.28	NaN	-1	67	23	5.689e-09
"fur"	"entF"	2.94	0.24	NaN	-1	67	23	5.689e-09
"fur"	"fepC"	1.06	0.2	NaN	-1	67	23	5.689e-09
"fur"	"fepG"	0.65	0.16	NaN	-1	67	23	5.689e-09
"fur"	"fepD"	0.79	0.18	NaN	-1	67	23	5.689e-09
"fur"	"entS"	1.09	0.15	NaN	-2	67	23	5.689e-09
"fur"	"fepB"	1.39	0.02	NaN	-1	67	23	5.689e-09
"fur"	"entC"	2.63	0.59	NaN	-1	67	23	5.689e-09
"fur"	"entE"	2.99	0.52	NaN	-1	67	23	5.689e-09
"fur"	"entB"	2.88	0.31	NaN	-1	67	23	5.689e-09
"fur"	"entA"	2.73	0.25	NaN	-1	67	23	5.689e-09
"fur"	"gpmA"	1.56	0.26	NaN	-1	67	23	5.689e-09
"fur"	"oppA"	1.42	0.0	NaN	-1	67	23	5.689e-09
"fur"	"oppB"	0.62	0.0	NaN	-1	67	23	5.689e-09
"fur"	"oppC"	0.59	0.0	NaN	-1	67	23	5.689e-09
"fur"	"oppD"	0.9	0.0	NaN	-1	67	23	5.689e-09
"fur"	"oppF"	0.7	0.0	NaN	-1	67	23	5.689e-09
"fur"	"tonB"	1.31	0.7	NaN	-2	67	23	5.689e-09
"fur"	"sufE"	1.65	0.43	NaN	-1	67	23	5.689e-09
"fur"	"sufS"	2.12	0.41	NaN	-1	67	23	5.689e-09
"fur"	"sufC"	1.93	0.39	NaN	-1	67	23	5.689e-09
"fur"	"sufB"	2.07	0.51	NaN	-1	67	23	5.689e-09
"fur"	"sufA"	2.48	0.71	NaN	-1	67	23	5.689e-09
"fur"	"cirA"	2.73	1.42	NaN	-1	67	23	5.689e-09
"fur"	"exbD"	1.31	0.36	NaN	-1	67	23	5.689e-09
"fur"	"exbB"	1.53	0.55	NaN	-1	67	23	5.689e-09
"fur"	"garK"	0.49	0.11	NaN	-1	67	23	5.689e-09
"fur"	"garR"	0.5	0.16	NaN	-1	67	23	5.689e-09
"fur"	"garL"	0.32	0.0	NaN	-1	67	23	5.689e-09
"fur"	"sodA"	0.36	0.0	NaN	-1	67	23	5.689e-09
"fur"	"fecE"	0.43	0.1	NaN	-1	67	23	5.689e-09
"fur"	"fecD"	0.79	0.07	NaN	-1	67	23	5.689e-09
"fur"	"fecC"	0.56	0.08	NaN	-1	67	23	5.689e-09
"fur"	"fecB"	1.2	0.88	NaN	-1	67	23	5.689e-09
"fur"	"fecA"	1.67	0.88	NaN	-1	67	23	5.689e-09
"fur"	"fhuF"	1.49	0.52	NaN	-1	67	23	5.689e-09
"fur"	"fepE"	1.52	0.0	NaN	-1	67	23	5.689e-09
"fur"	"entH"	2.78	0.26	NaN	-1	67	23	5.689e-09
"fur"	"nohA"	0.06	0.0	NaN	-1	67	23	5.689e-09
"fur"	"ftnA"	1.3	0.71	NaN	1	67	23	5.689e-09
"fur"	"gspO"	0.38	0.04	NaN	-1	67	23	5.689e-09
"lrp"	"aidB"	0.41	0.02	NaN	-1	51	23	1.5e-09
"lrp"	"ilvI"	1.12	0.02	NaN	2	51	23	1.5e-09
"lrp"	"ilvH"	1.18	0.04	NaN	2	51	23	1.5e-09
"lrp"	"oppA"	1.04	0.01	NaN	-1	51	23	1.5e-09
"lrp"	"oppB"	0.52	0.01	NaN	-1	51	23	1.5e-09
"lrp"	"oppC"	0.44	0.0	NaN	-1	51	23	1.5e-09
"lrp"	"serA"	0.8	0.03	NaN	2	51	23	1.5e-09
"lrp"	"livJ"	2.7	0.03	NaN	-1	51	23	1.5e-09
"lrp"	"tdh"	1.35	0.01	NaN	1	51	23	1.5e-09
"lrp"	"kbl"	1.51	0.01	NaN	1	51	23	1.5e-09
"lrp"	"ilvE"	0.54	0.03	NaN	-1	51	23	1.5e-09
"lrp"	"ilvD"	0.44	0.01	NaN	-1	51	23	1.5e-09
"lrp"	"osmC"	1.21	0.02	NaN	2	51	23	1.5e-09
"lrp"	"ilvG_1"	0.8	0.04	NaN	-1	51	23	1.5e-09
"lrp"	"ilvM"	0.83	0.0	NaN	-1	51	23	1.5e-09
"lrp"	"osmY"	1.27	0.04	NaN	-1	51	23	1.5e-09
"torR"	"torA"	0.72	0.0	NaN	1	7	3	5.689e-09
"torR"	"torD"	1.17	0.0	NaN	1	7	3	5.689e-09
"phoP"	"rstA"	0.67	0.0	NaN	1	20	15	5.689e-09
"phoP"	"phoQ"	1.17	0.0	NaN	-2	20	15	5.689e-09
"phoP"	"rstB"	0.66	0.0	NaN	1	20	15	5.689e-09
"phoP"	"slyB"	0.7	0.0	NaN	2	20	15	5.689e-09
"phoP"	"mgrB"	1.14	0.0	NaN	1	20	15	5.689e-09
"phoP"	"yrbL"	1.31	0.0	NaN	1	20	15	5.689e-09
"narL"	"dcuR"	0.41	0.22	NaN	-1	64	17	5.689e-09
"narL"	"dmsA"	2.05	0.57	NaN	-1	64	17	5.689e-09
"narL"	"dmsB"	1.89	0.23	NaN	-1	64	17	5.689e-09
"narL"	"dmsC"	0.74	0.25	NaN	-1	64	17	5.689e-09
"narL"	"pflB"	0.9	0.28	NaN	-1	64	17	5.689e-09
"narL"	"focA"	1.12	0.2	NaN	-1	64	17	5.689e-09
"narL"	"narK"	2.44	1.39	NaN	1	64	17	5.689e-09
"narL"	"narG"	2.75	1.56	NaN	1	64	17	5.689e-09
"narL"	"narH"	2.8	1.23	NaN	1	64	17	5.689e-09
"narL"	"narJ"	2.57	1.06	NaN	1	64	17	5.689e-09
"narL"	"narI"	2.75	1.67	NaN	1	64	17	5.689e-09
"narL"	"ynfE"	1.7	0.3	NaN	-1	64	17	5.689e-09
"narL"	"ynfF"	1.74	0.95	NaN	-1	64	17	5.689e-09
"narL"	"ynfG"	1.27	0.78	NaN	-1	64	17	5.689e-09
"narL"	"ynfH"	0.83	0.51	NaN	-1	64	17	5.689e-09
"narL"	"fdhF"	1.49	0.76	NaN	-1	64	17	5.689e-09
"narL"	"dcuA"	0.49	0.29	NaN	-1	64	17	5.689e-09
"narL"	"aspA"	0.69	0.18	NaN	-1	64	17	5.689e-09
"narL"	"frdC"	1.23	0.76	NaN	-1	64	17	5.689e-09
"narL"	"hcr"	1.37	0.61	NaN	1	64	17	5.689e-09
"narL"	"hcp"	1.54	0.96	NaN	1	64	17	5.689e-09
"narL"	"ogt"	2.0	0.54	NaN	1	64	17	5.689e-09
"narL"	"dmsD"	0.55	0.17	NaN	-1	64	17	5.689e-09
"narL"	"yoaG"	4.63	0.75	NaN	1	64	17	5.689e-09
"narL"	"yeaR"	5.63	0.43	NaN	1	64	17	5.689e-09
"narL"	"dcuS"	0.8	0.11	NaN	-1	64	17	5.689e-09
"hns"	"leuO"	2.11	0.64	NaN	-1	90	41	5.689e-09
"hns"	"appY"	3.33	0.69	NaN	-1	90	41	5.689e-09
"hns"	"lrp"	0.78	0.08	NaN	-1	90	41	5.689e-09
"hns"	"ydeO"	3.21	1.92	NaN	-1	90	41	5.689e-09
"hns"	"rcsB"	0.41	0.17	NaN	-1	90	41	5.689e-09
"hns"	"evgA"	1.73	0.75	NaN	-1	90	41	5.689e-09
"hns"	"stpA"	2.6	2.05	NaN	-1	90	41	5.689e-09
"hns"	"adiY"	2.35	0.55	NaN	-1	90	41	5.689e-09
"hns"	"cadC"	1.25	0.57	NaN	-1	90	41	5.689e-09
"hns"	"lacZ"	0.79	0.29	NaN	-1	90	41	5.689e-09
"hns"	"cydA"	0.56	0.0	NaN	-1	90	41	5.689e-09
"hns"	"cydB"	0.63	0.24	NaN	-1	90	41	5.689e-09
"hns"	"proW"	2.07	0.68	NaN	-1	90	41	5.689e-09
"hns"	"proX"	2.66	0.8	NaN	-1	90	41	5.689e-09
"hns"	"nirB"	1.29	0.04	NaN	-1	90	41	5.689e-09
"hns"	"nirD"	1.16	0.0	NaN	-1	90	41	5.689e-09
"hns"	"nirC"	1.07	0.0	NaN	-1	90	41	5.689e-09
"hns"	"cysG"	0.41	0.15	NaN	-1	90	41	5.689e-09
"hns"	"proV"	0.87	0.28	NaN	-1	90	41	5.689e-09
"hns"	"lacA"	0.72	0.04	NaN	-1	90	41	5.689e-09
"hns"	"dps"	1.53	0.74	NaN	-1	90	41	5.689e-09
"hns"	"hlyE"	4.02	1.44	NaN	-2	90	41	5.689e-09
"hns"	"yciE"	3.66	1.05	NaN	-1	90	41	5.689e-09
"hns"	"yciF"	4.04	0.84	NaN	-1	90	41	5.689e-09
"hns"	"yciG"	4.13	1.0	NaN	-1	90	41	5.689e-09
"hns"	"ydeP"	2.62	1.49	NaN	-1	90	41	5.689e-09
"hns"	"ftnA"	1.57	0.55	NaN	-1	90	41	5.689e-09
"hns"	"hchA"	1.9	0.6	NaN	-1	90	41	5.689e-09
"hns"	"rcsD"	0.46	0.13	NaN	-1	90	41	5.689e-09
"hns"	"evgS"	1.53	0.23	NaN	-1	90	41	5.689e-09
"hns"	"gspB"	0.91	0.09	NaN	-1	90	41	5.689e-09
"hns"	"gspA"	2.16	0.12	NaN	-1	90	41	5.689e-09
"hns"	"gspC"	2.35	0.3	NaN	-1	90	41	5.689e-09
"hns"	"gspD"	2.33	0.25	NaN	-1	90	41	5.689e-09
"hns"	"gspE"	1.21	0.61	NaN	-1	90	41	5.689e-09
"hns"	"gspF"	1.59	0.4	NaN	-1	90	41	5.689e-09
"hns"	"gspG"	2.11	0.37	NaN	-1	90	41	5.689e-09
"hns"	"gspH"	0.85	0.74	NaN	-1	90	41	5.689e-09
"hns"	"gspJ"	0.69	0.16	NaN	-1	90	41	5.689e-09
"hns"	"gspK"	0.46	0.06	NaN	-1	90	41	5.689e-09
"hns"	"gspO"	0.32	0.0	NaN	-1	90	41	5.689e-09
"hns"	"chiA"	0.64	0.2	NaN	-1	90	41	5.689e-09
"hns"	"fimB"	3.28	0.9	NaN	-1	90	41	5.689e-09
"hns"	"fimE"	2.11	1.07	NaN	-1	90	41	5.689e-09
"hns"	"yjjP"	1.11	0.23	NaN	-1	90	41	5.689e-09
"tyrR"	"aroP"	1.71	0.0	NaN	-1	11	8	5e-09
"tyrR"	"aroG"	0.66	0.01	NaN	-1	11	8	5e-09
"tyrR"	"tyrP"	0.3	0.0	NaN	2	11	8	5e-09
"tyrR"	"tyrA"	2.06	0.04	NaN	-1	11	8	5e-09
"tyrR"	"aroF"	2.74	0.07	NaN	-1	11	8	5e-09
"tyrR"	"tyrB"	0.54	0.0	NaN	-1	11	8	5e-09
"fnr"	"narL"	0.61	0.24	NaN	-1	97	28	5.689e-09
#"fnr"	"fnr"	0.65	0.24	NaN	-1	97	28	5.689e-09
"fnr"	"fhlA"	0.7	0.31	NaN	1	97	28	5.689e-09
"fnr"	"nikR"	0.2	0.05	NaN	1	97	28	5.689e-09
"fnr"	"cydA"	0.88	0.64	NaN	-3	97	28	5.689e-09
"fnr"	"cydB"	0.67	0.57	NaN	-3	97	28	5.689e-09
"fnr"	"moeB"	0.16	0.04	NaN	-1	97	28	5.689e-09
"fnr"	"moeA"	0.19	0.15	NaN	-1	97	28	5.689e-09
"fnr"	"ndh"	1.26	0.64	NaN	-1	97	28	5.689e-09
"fnr"	"hemA"	0.16	0.05	NaN	-1	97	28	5.689e-09
"fnr"	"ynfH"	1.14	0.35	NaN	1	97	28	5.689e-09
"fnr"	"ccmA"	0.2	0.07	NaN	1	97	28	5.689e-09
"fnr"	"nuoI"	0.3	0.0	NaN	-1	97	28	5.689e-09
