Enzyme Frame ID	EC	Reaction ID	Reaction stoichiometry	Direction	Forward	Units	Reverse	Units	Comments	Km
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT120	[c] : 1ddecg3p + ddcaACP --> ACP + pa120	forward only			0			[]
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT140	[c] : 1tdecg3p + myrsACP --> ACP + pa140	forward only			0			[]
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT141	[c] : 1tdec7eg3p + tdeACP --> ACP + pa141	forward only			0			[]
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT160	[c] : 1hdecg3p + palmACP --> ACP + pa160	forward only			0			[]
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT161	[c] : 1hdec9eg3p + hdeACP --> ACP + pa161	forward only			0			[]
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT180	[c] : 1odecg3p + ocdcaACP --> ACP + pa180	forward only			0			[]
"[""1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER""]"	2.3.1.51	FEIST_AGPAT181	[c] : 1odec11eg3p + octeACP --> ACP + pa181	forward only			0			[]
"[""1-PFK-MONOMER""]"	2.7.1.56	FEIST_FRUK	[c] : atp + f1p --> adp + fdp + h	forward only			0			"[{""literature"": ""641683"", ""substrate"": ""ATP"", ""kmValue"": ""0.12"", ""ligandStructureId"": ""1395"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6, 37&deg;C"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""2.7.1.56""}, {""literature"": ""641686"", ""substrate"": ""D-Fructose 1-phosphate"", ""kmValue"": ""0.13"", ""ligandStructureId"": ""22630"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the presence of 50 mM KCl"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""2.7.1.56""}, {""literature"": ""641683"", ""substrate"": ""D-Fructose 1-phosphate"", ""kmValue"": ""0.25"", ""ligandStructureId"": ""22630"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.6, 37&deg;C"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""2.7.1.56""}, {""literature"": ""641686"", ""substrate"": ""ATP"", ""kmValue"": ""0.35"", ""ligandStructureId"": ""1395"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the presence of 5 mM KCl"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""2.7.1.56""}, {""literature"": ""641686"", ""substrate"": ""fructose 1-phosphate"", ""kmValue"": ""0.36"", ""ligandStructureId"": ""22630"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the absence of KCl"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""2.7.1.56""}, {""literature"": ""641686"", ""substrate"": ""ATP"", ""kmValue"": ""0.6"", ""ligandStructureId"": ""1395"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.1, 30&deg;C, in the presence of 50 mM KCl"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""2.7.1.56""}]"
"[""2-DEHYDROPANTOATE-REDUCT-MONOMER""]"	1.1.1.169	FEIST_DPR	[c] : 2dhp + h + nadph --> nadp + pant-R	forward only	8		0		Escherichia coli	"[{""literature"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.002"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0003, mutant E256A"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.0029"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0006, mutant E256D"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.0038"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0003, mutant K176C, alkylated"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""beta-NADPH"", ""kmValue"": ""0.004"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286108"", ""substrate"": ""NADPH"", ""kmValue"": ""0.004"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0004"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.004"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0004"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286110"", ""substrate"": ""NADPH"", ""kmValue"": ""0.004"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.0066"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.0016, mutant K176C"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286108"", ""substrate"": ""NADP+"", ""kmValue"": ""0.007"", ""ligandStructureId"": ""11306"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.002"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""687675"", ""substrate"": ""NADPH"", ""kmValue"": ""0.007"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 27&deg;C, wild-type enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""NADPH"", ""kmValue"": ""0.016"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.003, mutant K176A"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""thio-NADPH"", ""kmValue"": ""0.018"", ""ligandStructureId"": ""11409"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286110"", ""substrate"": ""NADPH"", ""kmValue"": ""0.02"", ""ligandStructureId"": ""36259"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""687675"", ""substrate"": ""2-dehydropantoate"", ""kmValue"": ""0.03"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 27&deg;C, wild-type enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""alpha-NADPH"", ""kmValue"": ""0.036"", ""ligandStructureId"": ""11378"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.038"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.009, mutant K176C, alkylated"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286110"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.06"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.07"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.01, mutant K176C"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""3'-NADPH"", ""kmValue"": ""0.075"", ""ligandStructureId"": ""11412"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""2-oxopantoate"", ""kmValue"": ""0.12"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286108"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.12"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.008"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.12"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.008"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286110"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.12"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": """", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286108"", ""substrate"": ""Pantoate"", ""kmValue"": ""0.26"", ""ligandStructureId"": ""72529"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.04"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""0.95"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-0.29, mutant E256D"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""3-methyl-2-oxo-n-valerate"", ""kmValue"": ""3.8"", ""ligandStructureId"": ""21700"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""7.5"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-2.9, mutant K256A"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""654677"", ""substrate"": ""2-oxoisovalerate"", ""kmValue"": ""8.7"", ""ligandStructureId"": ""21178"", ""kmValueMaximum"": """", ""commentary"": ""pH 7.5, 25&deg;C, recombinant enzyme"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}, {""literature"": ""286109"", ""substrate"": ""ketopantoate"", ""kmValue"": ""40"", ""ligandStructureId"": ""21750"", ""kmValueMaximum"": """", ""commentary"": ""+/-6, mutant K176A"", ""organism"": ""Escherichia coli"", ""ecNumber"": ""1.1.1.169""}]"
"[""2-ISOPROPYLMALATESYN-MONOMER""]"	4.1.3.12	FEIST_IPPS	[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h	forward only			0			[]
