abbreviation	original abbreviation	officialName	equation	reconstruction directionality	subSystem	proteinClass	Enzyme association	reaction with marvin charges (pH7)	reaction with marvin charges (pH 7.2)	delta G (pH 7)	mM delta G (pH 7)	min delta G (pH 7)	max delta G (pH 7)	delta G (pH 7.2)	uncertainty in delta G (pH 7 or pH 7.2)	mM delta G (pH 7.2)	min delta G (pH 7.2)	max delta G (pH 7.2)	directionality without uncertainty (pH 7.2)	directionality with uncertainty (pH 7.2)	Manual enzyme annotation comments
ACCOAC	ACCOAC	acetyl-CoA carboxylase	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	forward only	Membrane Lipid Metabolism	6.4.1.2	ACETYL-COA-CARBOXYLMULTI-CPLX	accoa + atp + hco3 --> adp + h + malcoa + pi	accoa + atp + hco3 --> adp + h + malcoa + pi	-1	-1	-14.6	12.5	-0.9	2.2	-0.9	-14.4	12.6	reversible	reversible	
ACGAptspp_0	ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	acgam[p] + pep[c] --> acgam6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-167 and PTSH-MONOMER and CPLX0-7938)	acgam[p] + pep --> acgam6p + pyr	acgam[p] + pep --> acgam6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	(PTS system for N-acetyl-D-glucosamine OR PTS system for glucose) AND general PTS components
ACGAptspp_1	ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	acgam[p] + pep[c] --> acgam6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-157 and PTSH-MONOMER and CPLX0-7938)	acgam[p] + pep --> acgam6p + pyr	acgam[p] + pep --> acgam6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	(PTS system for N-acetyl-D-glucosamine OR PTS system for glucose) AND general PTS components
ACMANAptspp	ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)	acmana[p] + pep[c] --> acmanap[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-165 and PTSH-MONOMER and CPLX0-7938)	acmana[p] + pep --> acmanap + pyr	acmana[p] + pep --> acmanap + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for mannose AND general PTS components
ACMUMptspp	ACMUMptspp	N-acetylmuramate transport via PEP:Pyr PTS (periplasm)	acmum[p] + pep[c] --> acmum6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX0-7 and PTSH-MONOMER and CPLX0-7938)	acmum[p] + pep --> acmum6p + pyr	acmum[p] + pep --> acmum6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for murine AND general PTS components
ADMDC	ADMDC	adenosylmethionine decarboxylase	[c] : amet + h --> ametam + co2	forward only	Arginine and Proline Metabolism	4.1.1.50	(SAMDC-ALPHA-MONOMER and SAMDC-BETA-MONOMER)	amet + h --> ametam + co2	amet + h --> ametam + co2	-3.1	-7.2	-25.3	-2.5	-3.3	1.6	-7.4	-25.6	-2.7	forward only	forward only	Proenzyme SpeD forms two monomers which act as a complex
ASCBptspp	ASCBptspp	L-ascorbate transport via PEP:Pyr PTS (periplasm)	ascb-L[p] + pep[c] --> ascb6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(EIISGA and PTSH-MONOMER and CPLX0-7938)	ascb-L[p] + pep --> ascb6p + pyr	ascb-L[p] + pep --> ascb6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	L-ascorbate PTS permiase AND general PTS components
ASNN_0	ASNN	L-asparaginase	[c] : asn-L + h2o --> asp-L + nh4	forward only	Alanine and Aspartate Metabolism	3.5.1.1	(MONOMER0-2 and MONOMER0-3)	asn-L + h2o --> asp-L + nh4	asn-L + h2o --> asp-L + nh4	-4.9	-9	-16.2	-2.7	-4.9	2.6	-9	-16.2	-2.7	forward only	forward only	Proenzyme IaaA forms two monomers which act as a complex
ASNN_1	ASNN	L-asparaginase	[c] : asn-L + h2o --> asp-L + nh4	forward only	Alanine and Aspartate Metabolism	3.5.1.1	ANSA-MONOMER	asn-L + h2o --> asp-L + nh4	asn-L + h2o --> asp-L + nh4	-4.9	-9	-16.2	-2.7	-4.9	2.6	-9	-16.2	-2.7	forward only	forward only	Proenzyme IaaA forms two monomers which act as a complex
ASP1DC	ASP1DC	aspartate 1-decarboxylase	[c] : asp-L + h --> ala-B + co2	forward only	Cofactor and Prosthetic Group Biosynthesis	4.1.1.11	(MONOMER0-1842 and MONOMER0-1843)	asp-L + h --> ala-B + co2	asp-L + h --> ala-B + co2	-3.1	-7.2	-25.3	-2.5	-3.3	1.6	-7.4	-25.6	-2.7	forward only	forward only	Proenzyme PanD forms two monomers which act as a complex.  Note that EcoCyc indicates that the reactive complex is a tetramer of heterodimers.
ATPS4rpp_0	ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	adp[c] + (4) h[p] + pi[c] <==> atp[c] + (3) h[c] + h2o[c]	reversible	Oxidative Phosphorylation	3.6.3.14	ATPSYN-CPLX	adp + (4) h[p] + pi <==> atp + (3) h + h2o	adp + (4) h[p] + pi <==> atp + (3) h + h2o	6.7	1.3	-8.2	5.3	6.6	2.2	1.2	-8.3	5.2	reversible	reversible	ATP synthase or ATP synthase with AtpI which is non-essential in E. coli
ATPS4rpp_1	ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	adp[c] + (4) h[p] + pi[c] <==> atp[c] + (3) h[c] + h2o[c]	reversible	Oxidative Phosphorylation	3.6.3.14	(ATPSYN-CPLX and EG10106-MONOMER)	adp + (4) h[p] + pi <==> atp + (3) h + h2o	adp + (4) h[p] + pi <==> atp + (3) h + h2o	6.7	1.3	-8.2	5.3	6.6	2.2	1.2	-8.3	5.2	reversible	reversible	ATP synthase or ATP synthase with AtpI which is non-essential in E. coli
CITL	CITL	Citrate lyase	[c] : cit --> ac + oaa	forward only	Citric Acid Cycle	4.1.3.6	(ACECITLY-CPLX and G6340-MONOMER)	cit --> ac + oaa	cit --> ac + oaa	1.5	-2.6	-9.8	3.7	1.5	2	-2.6	-9.8	3.7	reversible	reversible	Citrate lyase and citX
DHAPT	DHAPT	Dihydroxyacetone phosphotransferase	[c] : dha + pep --> dhap + pyr	forward only	Alternate Carbon Metabolism		(CPLX0-2081 and PTSH-MONOMER and CPLX0-7938)	dha + pep --> dhap + pyr	dha + pep --> dhap + pyr	-9.1	-9.1	-18.1	-0.1	-9.1	1.8	-9.1	-18.2	-0.1	forward only	reversible	Dihydroxy acetone kinase and general PTS system components. Not actually involved in PTS transport but uses those enzymes.
ECAP1pp	ECAP1pp	enterobacterial common antigen polymerase (periplasm)	[p] : (2) unagamuf --> eca2und + h + udcpdp	forward only	Lipopolysaccharide Biosynthesis / Recycling		CPLX0-3976	[p] : (2) unagamuf[p] --> eca2und[p] + udcpdp[p]	[p] : (2) unagamuf[p] --> eca2und[p] + udcpdp[p]	-1.4	-1.4	-12.3	9.6	-1.4	1.8	-1.4	-12.3	9.6	reversible	reversible	Enterobacterial Common Antigen Biosynthesis Protein Complex
ECAP2pp	ECAP2pp	enterobacterial common antigen polymerase (periplasm)	[p] : eca2und + unagamuf --> eca3und + h + udcpdp	forward only	Lipopolysaccharide Biosynthesis / Recycling		CPLX0-3976	[p] : eca2und[p] + unagamuf[p] --> eca3und[p] + udcpdp[p]	[p] : eca2und[p] + unagamuf[p] --> eca3und[p] + udcpdp[p]	-1.4	-1.4	-12.3	9.6	-1.4	1.8	-1.4	-12.3	9.6	reversible	reversible	Enterobacterial Common Antigen Biosynthesis Protein Complex
ECAP3pp	ECAP3pp	enterobacterial common antigen polymerase (periplasm)	[p] : eca3und + unagamuf --> eca4und + h + udcpdp	forward only	Lipopolysaccharide Biosynthesis / Recycling		CPLX0-3976	[p] : eca3und[p] + unagamuf[p] --> eca4und[p] + udcpdp[p]	[p] : eca3und[p] + unagamuf[p] --> eca4und[p] + udcpdp[p]	-1.4	-1.4	-12.3	9.6	-1.4	1.8	-1.4	-12.3	9.6	reversible	reversible	Enterobacterial Common Antigen Biosynthesis Protein Complex
FE3DHBZStonex_0	FE3DHBZStonex	ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h[c]	forward only	Transport, Outer Membrane		(CPLX0-1923 and G6414-MONOMER)	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	reversible	reversible	Ton transport system and fiu or ton transport system and cirA
FE3DHBZStonex_1	FE3DHBZStonex	ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h[c]	forward only	Transport, Outer Membrane		(CPLX0-1923 and EG10155-MONOMER)	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	reversible	reversible	Ton transport system and fiu or ton transport system and cirA
FHL_0	FHL	Formate-hydrogen lyase	[c] : for + h --> co2 + h2	forward only	Pyruvate Metabolism		(FHLMULTI-CPLX and G7307-MONOMER)	for + h --> co2 + h2	for + h --> co2 + h2	5.4	-0.6	-21	2.3	5.1	2.6	-0.9	-21.3	2	reversible	reversible	formate dehydrogenase 3 and hyfJ or formate dehydrogenase 4 and hyfJ. Changed from Feist rules to make sense.
FHL_1	FHL	Formate-hydrogen lyase	[c] : for + h --> co2 + h2	forward only	Pyruvate Metabolism		(CPLX0-250 and G7307-MONOMER)	for + h --> co2 + h2	for + h --> co2 + h2	5.4	-0.6	-21	2.3	5.1	2.6	-0.9	-21.3	2	reversible	reversible	formate dehydrogenase 3 and hyfJ or formate dehydrogenase 4 and hyfJ. Changed from Feist rules to make sense.
FRUpts2pp	FRUpts2pp	Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)	fru[p] + pep[c] --> f6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-165 and PTSH-MONOMER and CPLX0-7938)	fru[p] + pep --> f6p + pyr	fru[p] + pep --> f6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for mannose AND general PTS components
FRUptspp	FRUptspp	D-fructose transport via PEP:Pyr PTS (periplasm)	fru[p] + pep[c] --> f1p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-158 and PTSH-MONOMER and CPLX0-7938)	fru[p] + pep --> f1p + pyr	fru[p] + pep --> f1p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for fructose AND general PTS components
GALTptspp	GALTptspp	Galactitol transport via PEP:Pyr PTS (periplasm)	galt[p] + pep[c] --> galt1p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX0-231 and PTSH-MONOMER and CPLX0-7938)	galt[p] + pep --> galt1p + pyr	galt[p] + pep --> galt1p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for galactose AND general PTS components
GAMptspp	GAMptspp	D-glucosamine transport via PEP:Pyr PTS (periplasm)	gam[p] + pep[c] --> gam6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-165 and PTSH-MONOMER and CPLX0-7938)	gam[p] + pep --> gam6p + pyr	gam[p] + pep --> gam6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for mannose AND general PTS components
GLCptspp_0	GLCptspp	D-glucose transport via PEP:Pyr PTS (periplasm)	glc-D[p] + pep[c] --> g6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-157 and PTSH-MONOMER and CPLX0-7938)	glc-D[p] + pep --> g6p + pyr	glc-D[p] + pep --> g6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	(PTS system for glucose, mannose, or maltose) AND general PTS components
GLCptspp_1	GLCptspp	D-glucose transport via PEP:Pyr PTS (periplasm)	glc-D[p] + pep[c] --> g6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-165 and PTSH-MONOMER and CPLX0-7938)	glc-D[p] + pep --> g6p + pyr	glc-D[p] + pep --> g6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	(PTS system for glucose, mannose, or maltose) AND general PTS components
GLCptspp_2	GLCptspp	D-glucose transport via PEP:Pyr PTS (periplasm)	glc-D[p] + pep[c] --> g6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-164 and PTSH-MONOMER and CPLX0-7938)	glc-D[p] + pep --> g6p + pyr	glc-D[p] + pep --> g6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	(PTS system for glucose, mannose, or maltose) AND general PTS components
GLYCL	GLYCL	Glycine Cleavage System	[c] : gly + nad + thf --> co2 + mlthf + nadh + nh4	forward only	Folate Metabolism		GCVMULTI-CPLX	gly + nad + thf --> co2 + mlthf + nadh + nh4	gly + nad + thf --> co2 + mlthf + nadh + nh4	2.3	-1.8	-29	11.9	2.3	7	-1.8	-29	11.9	reversible	reversible	Glycine cleavage system
GTHRDHpp	GTHRDHpp	glutathione hydralase (periplasmic)	[p] : gthrd + h2o --> cgly + glu-L	forward only	Cofactor and Prosthetic Group Biosynthesis		(MONOMER0-4195 and MONOMER0-4196)	[p] : gthrd[p] + h2o[p] --> cgly[p] + glu-L[p]	[p] : gthrd[p] + h2o[p] --> cgly[p] + glu-L[p]	-0.3	-4.4	-12.6	3.8	-0.3	2.5	-4.4	-12.6	3.8	reversible	reversible	Proenzyme Ggt forms two monomers which act as a complex
HYD1pp	HYD1pp	hydrogenase (ubiquinone-8: 2 protons) (periplasm)	(2) h[c] + h2[c] + q8[c] --> (2) h[p] + q8h2[c]	forward only	Oxidative Phosphorylation	1.18.99.1	FORMHYDROG2-CPLX	(2) h + h2 + q8 --> (2) h[p] + q8h2	(2) h + h2 + q8 --> (2) h[p] + q8h2	-25.6	-13.3	-17.8	-3.8	-25.6	7.8	-13.3	-17.8	-3.8	forward only	reversible	Hydrogenase 2. Changed form Feist to require the full complex.
HYD2pp	HYD2pp	Hydrogenase (menaquinone8: 2 protons) (periplasm)	(2) h[c] + h2[c] + mqn8[c] --> (2) h[p] + mql8[c]	forward only	Oxidative Phosphorylation	1.18.99.1	FORMHYDROG2-CPLX	(2) h + h2 + mqn8 --> (2) h[p] + mql8	(2) h + h2 + mqn8 --> (2) h[p] + mql8	-30.1	-17.8	-22.3	-8.3	-30.1	8.2	-17.8	-22.3	-8.3	forward only	forward only	Hydrogenase 2. Changed form Feist to require the full complex.
HYD3pp	HYD3pp	Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)	2dmmq8[c] + (2) h[c] + h2[c] --> 2dmmql8[c] + (2) h[p]	forward only	Oxidative Phosphorylation	1.18.99.1	FORMHYDROG2-CPLX	2dmmq8 + (2) h + h2 --> 2dmmql8 + (2) h[p]	2dmmq8 + (2) h + h2 --> 2dmmql8 + (2) h[p]	-28.6	-16.3	-20.8	-6.8	-28.6	7.7	-16.3	-20.8	-6.8	forward only	reversible	Hydrogenase 2. Changed form Feist to require the full complex.
INDOLEt2pp	INDOLEt2pp	Indole transport via proton symport, irreversible (periplasm)	h[c] + indole[c] --> h[p] + indole[p]	forward only	Transport, Inner Membrane			h + indole --> h[p] + indole[p]	h + indole --> h[p] + indole[p]	0	3.2	-1.3	8.6	0	1.5	3.2	-1.3	8.6	reversible	reversible	Removed complex based on literature. (http://jb.asm.org/content/193/8/1793.full.pdf)
Kabcpp	Kabcpp	Potassium ABC transporter (periplasm)	atp[c] + h2o[c] + k[p] --> adp[c] + h[c] + k[c] + pi[c]	forward only	Inorganic Ion Transport and Metabolism		ATPASE-1-CPLX	atp + h2o + k[p] --> adp + h + k + pi	atp + h2o + k[p] --> adp + h + k + pi	-6.7	-14.3	-27	-3.5	-6.6	2.2	-14.2	-26.9	-3.4	forward only	forward only	Potassium transporting ATPase
Kt2pp_0	Kt2pp	potassium transport in via proton symport (periplasm)	h[p] + k[p] --> h[c] + k[c]	forward only	Inorganic Ion Transport and Metabolism		SAPD-MONOMER and TRKA-MONOMER and TRKG-MONOMER	h[p] + k[p] --> h + k	h[p] + k[p] --> h + k	0	-6.6	-12.1	-2.1	0	1.5	-6.6	-12.1	-2.1	forward only	forward only	Taken directly from Feist. Does not form complex and SAPD-MONOMER forms a peptide ABC transporter complex.
Kt2pp_1	Kt2pp	potassium transport in via proton symport (periplasm)	h[p] + k[p] --> h[c] + k[c]	forward only	Inorganic Ion Transport and Metabolism		SAPD-MONOMER and TRKA-MONOMER and TRKH-MONOMER	h[p] + k[p] --> h + k	h[p] + k[p] --> h + k	0	-6.6	-12.1	-2.1	0	1.5	-6.6	-12.1	-2.1	forward only	forward only	Taken directly from Feist. Does not form complex and SAPD-MONOMER forms a peptide ABC transporter complex.
MALTptspp	MALTptspp	maltose transport via PEP:Pyr PTS (periplasm)	malt[p] + pep[c] --> malt6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-164 and PTSH-MONOMER and CPLX0-7938)	malt[p] + pep --> malt6p + pyr	malt[p] + pep --> malt6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	Maltose/glucose PTS permiase AND general PTS components
MANGLYCptspp	MANGLYCptspp	2-O-alpha-mannosyl-D-glycerate transport via PEP:Pyr PTS (periplasm)	manglyc[p] + pep[c] --> man6pglyc[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-163 and PTSH-MONOMER and CPLX0-7938)	manglyc[p] + pep --> man6pglyc + pyr	manglyc[p] + pep --> man6pglyc + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	2-O-α-mannosyl-D-glycerate PTS permease AND general PTS components
MANptspp	MANptspp	D-mannose transport via PEP:Pyr PTS (periplasm)	man[p] + pep[c] --> man6p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-165 and PTSH-MONOMER and CPLX0-7938)	man[p] + pep --> man6p + pyr	man[p] + pep --> man6p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	PTS system for mannose AND general PTS components
MNLptspp	MNLptspp	mannitol transport via PEP:Pyr PTS (periplasm)	mnl[p] + pep[c] --> mnl1p[c] + pyr[c]	forward only	Transport, Inner Membrane		(CPLX-166 and PTSH-MONOMER and CPLX0-7938)	mnl[p] + pep --> mnl1p + pyr	mnl[p] + pep --> mnl1p + pyr	-9.1	-9.1	-19.1	-0.1	-9.1	1.8	-9.1	-19.1	-0.1	forward only	reversible	mannitol PTS permease AND general PTS components
NO3R1pp_0	NO3R1pp	Nitrate reductase (Ubiquinol-8) (periplasm)	(2) h[c] + no3[c] + q8h2[c] --> (2) h[p] + h2o[c] + no2[c] + q8[c]	forward only	Oxidative Phosphorylation	1.7.99.4	NARW-MONOMER and NITRATREDUCTZ-CPLX	(2) h + no3 + q8h2 --> (2) h[p] + h2o + no2 + q8	(2) h + no3 + q8h2 --> (2) h[p] + h2o + no2 + q8	-17.6	-11.2	-20.2	-2.2	-17.6	8.1	-11.2	-20.2	-2.2	forward only	reversible	
NO3R1pp_1	NO3R1pp	Nitrate reductase (Ubiquinol-8) (periplasm)	(2) h[c] + no3[c] + q8h2[c] --> (2) h[p] + h2o[c] + no2[c] + q8[c]	forward only	Oxidative Phosphorylation	1.7.99.4	NARJ-MONOMER and NITRATREDUCTA-CPLX	(2) h + no3 + q8h2 --> (2) h[p] + h2o + no2 + q8	(2) h + no3 + q8h2 --> (2) h[p] + h2o + no2 + q8	-17.6	-11.2	-20.2	-2.2	-17.6	8.1	-11.2	-20.2	-2.2	forward only	reversible	
NO3R2bpp	NO3R2bpp	Nitrate reductase (Menaquinol-8) (periplasm)	mql8[c] + no3[p] --> h2o[p] + mqn8[c] + no2[p]	forward only	Nitrogen Metabolism	1.7.99.4	NAP-CPLX	mql8 + no3[p] --> h2o[p] + mqn8 + no2[p]	mql8 + no3[p] --> h2o[p] + mqn8 + no2[p]	-13.1	-13.1	-23	-3.1	-13.1	8.5	-13.1	-23	-3.1	forward only	reversible	Added NapG and NapH to complex
